device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1408025937,2902197419392,"(0.4865764379501343, 0.2268407791852951)","(-6.475797176361084, 237.18650817871094, 79.49182891845703)",1,3.4759979248046875,1,"(-28.13290786743164, 44.38059997558594, 589.92333984375)",1,"(0.4892660081386566, 0.21363092958927155)","(-4.982394695281982, 241.06356811523438, 80.90293884277344)",1,3.3758087158203125,1,"(33.838008880615234, 50.450721740722656, 590.088623046875)",1
1408042824,2902197436279,"(0.4871828258037567, 0.22665290534496307)","(-6.139097690582275, 237.24163818359375, 79.51190948486328)",1,3.4771728515625,1,"(-28.25894546508789, 44.36130142211914, 589.8219604492188)",1,"(0.4889175593852997, 0.21353335678577423)","(-5.1758832931518555, 241.0922088623047, 80.9133529663086)",1,3.3795166015625,1,"(33.70927810668945, 50.448974609375, 590.010498046875)",1
1408059148,2902197452604,"(0.4838619530200958, 0.22715824842453003)","(-7.9830403327941895, 237.0933380126953, 79.45792388916016)",1,3.476043701171875,1,"(-28.310842514038086, 44.367469787597656, 589.7166137695312)",1,"(0.4901270568370819, 0.20920266211032867)","(-4.504287242889404, 242.3632354736328, 81.37596893310547)",1,3.3801422119140625,1,"(33.630027770996094, 50.45573043823242, 589.9205932617188)",1
1408075949,2902197469405,"(0.4810420870780945, 0.19974792003631592)","(-9.54878044128418, 245.13816833496094, 82.385986328125)",1,3.4742889404296875,1,"(-28.358789443969727, 44.428794860839844, 589.6309814453125)",1,"(0.4845283329486847, 0.1830020695924759)","(-7.613027572631836, 250.0530242919922, 84.17486572265625)",1,3.3679656982421875,1,"(33.53707504272461, 50.557029724121094, 589.8314819335938)",1
1408092744,2902197486200,"(0.4828968048095703, 0.2004150152206421)","(-8.51893138885498, 244.94236755371094, 82.3147201538086)",1,3.468292236328125,1,"(-28.346710205078125, 44.49342727661133, 589.6732177734375)",1,"(0.4826473593711853, 0.1844465583562851)","(-8.657443046569824, 249.6290740966797, 84.02052307128906)",1,3.3642120361328125,1,"(33.55868911743164, 50.61034393310547, 589.8895263671875)",1
1408109114,2902197502570,"(0.48246335983276367, 0.20080122351646423)","(-8.759625434875488, 244.8290252685547, 82.2734603881836)",1,3.46429443359375,1,"(-28.321313858032227, 44.52339553833008, 589.7183837890625)",1,"(0.48558929562568665, 0.18462173640727997)","(-7.023915767669678, 249.57766723632812, 84.00179290771484)",1,3.3674468994140625,1,"(33.591888427734375, 50.62702178955078, 589.933837890625)",1
1408125863,2902197519319,"(0.4822617471218109, 0.19879929721355438)","(-8.871574401855469, 245.4165802001953, 82.48731994628906)",1,3.459213256835937,1,"(-28.243066787719727, 44.550262451171875, 589.6287231445312)",1,"(0.4813716411590576, 0.18169526755809784)","(-9.365814208984375, 250.43655395507812, 84.31446075439453)",1,3.370452880859375,1,"(33.69390869140625, 50.64714431762695, 589.8264770507812)",1
1408142664,2902197536120,"(0.4816962778568268, 0.1988970786333084)","(-9.185540199279785, 245.3878936767578, 82.47684478759766)",1,3.4503631591796875,1,"(-28.162038803100586, 44.55477523803711, 589.5321044921875)",1,"(0.482914000749588, 0.18063680827617645)","(-8.509391784667969, 250.7471923828125, 84.4275131225586)",1,3.36895751953125,1,"(33.75787353515625, 50.62968826293945, 589.7232055664062)",1
1408158982,2902197552438,"(0.4815492033958435, 0.19810016453266144)","(-9.267205238342285, 245.6217498779297, 82.56196594238281)",1,3.44708251953125,1,"(-28.138118743896484, 44.552467346191406, 589.5569458007812)",1,"(0.4860791265964508, 0.18009592592716217)","(-6.751926422119141, 250.9059600830078, 84.48529052734375)",1,3.3697967529296875,1,"(33.78042221069336, 50.618404388427734, 589.7450561523438)",1
1408175779,2902197569236,"(0.482256144285202, 0.1988016813993454)","(-8.87466049194336, 245.41586303710938, 82.48705291748047)",1,3.435791015625,1,"(-28.132444381713867, 44.535091400146484, 589.6203002929688)",1,"(0.48432040214538574, 0.18164846301078796)","(-7.728475570678711, 250.45030212402344, 84.31941223144531)",1,3.3658599853515625,1,"(33.804527282714844, 50.60234832763672, 589.8148803710938)",1
1408192584,2902197586041,"(0.48285821080207825, 0.1983177661895752)","(-8.54038143157959, 245.55792236328125, 82.53875732421875)",1,3.422348022460937,1,"(-28.18922233581543, 44.52446365356445, 589.7579345703125)",1,"(0.4848940968513489, 0.18194679915905)","(-7.409941673278809, 250.36273193359375, 84.2875747680664)",1,3.356185913085937,1,"(33.76929473876953, 50.60091781616211, 589.9369506835938)",1
1408208948,2902197602405,"(0.4829707145690918, 0.1985975205898285)","(-8.477893829345703, 245.47581481933594, 82.50886535644531)",1,3.4163818359375,1,"(-28.232906341552734, 44.51243209838867, 589.7601318359375)",1,"(0.48175719380378723, 0.18625402450561523)","(-9.151715278625488, 249.09857177734375, 83.82745361328125)",1,3.35400390625,1,"(33.74465560913086, 50.60195541381836, 589.9613647460938)",1
1408225695,2902197619152,"(0.4820893704891205, 0.19761893153190613)","(-8.967275619506836, 245.76303100585938, 82.61341857910156)",1,3.400054931640625,1,"(-28.29416847229004, 44.502559661865234, 589.7734375)",1,"(0.4836060702800751, 0.18329663574695587)","(-8.125104904174805, 249.96653747558594, 84.14337921142578)",1,3.3527374267578125,1,"(33.669090270996094, 50.58810806274414, 589.9764404296875)",1
1408242504,2902197635961,"(0.4816657602787018, 0.19764362275600433)","(-9.202476501464844, 245.7557830810547, 82.61075592041016)",1,3.3920135498046875,1,"(-28.33780288696289, 44.49752426147461, 589.701904296875)",1,"(0.48384109139442444, 0.18263673782348633)","(-7.994595527648926, 250.16021728515625, 84.21385192871094)",1,3.3512115478515625,1,"(33.62870788574219, 50.5894889831543, 589.9169921875)",1
1408258818,2902197652275,"(0.4807364046573639, 0.19893983006477356)","(-9.718528747558594, 245.3753662109375, 82.47228240966797)",1,3.389312744140625,1,"(-28.34798812866211, 44.49835968017578, 589.669189453125)",1,"(0.4844505488872528, 0.18060927093029022)","(-7.656194686889648, 250.75527954101562, 84.43045806884766)",1,3.3477783203125,1,"(33.613136291503906, 50.5937614440918, 589.8883666992188)",1
1408275610,2902197669067,"(0.48140421509742737, 0.19815067946910858)","(-9.347708702087402, 245.60696411132812, 82.55657196044922)",1,3.379180908203125,1,"(-28.347639083862305, 44.497554779052734, 589.6935424804688)",1,"(0.4841371774673462, 0.1797339767217636)","(-7.830199718475342, 251.01217651367188, 84.52394104003906)",1,3.3409576416015625,1,"(33.6214714050293, 50.61009216308594, 589.9150390625)",1
1408292424,2902197685882,"(0.4808861017227173, 0.20131079852581024)","(-9.635383605957031, 244.67947387695312, 82.21903228759766)",1,3.369003295898437,1,"(-28.324541091918945, 44.480350494384766, 589.7139282226562)",1,"(0.4838906526565552, 0.18213096261024475)","(-7.96710205078125, 250.30870056152344, 84.26788330078125)",1,3.3289794921875,1,"(33.64606857299805, 50.60002899169922, 589.9268798828125)",1
1408308784,2902197702242,"(0.4808412194252014, 0.19950813055038452)","(-9.660308837890625, 245.2085418701172, 82.41161346435547)",1,3.366073608398437,1,"(-28.31218719482422, 44.458221435546875, 589.7661743164062)",1,"(0.48311325907707214, 0.18592199683189392)","(-8.3987398147583, 249.19602966308594, 83.86288452148438)",1,3.338836669921875,1,"(33.669700622558594, 50.58967971801758, 589.9657592773438)",1
1408325526,2902197718984,"(0.48080843687057495, 0.19779404997825623)","(-9.678529739379883, 245.71163940429688, 82.59471130371094)",1,3.353546142578125,1,"(-28.29412841796875, 44.4141845703125, 589.8526000976562)",1,"(0.4826987385749817, 0.1827939748764038)","(-8.628898620605469, 250.11407470703125, 84.19705963134766)",1,3.32598876953125,1,"(33.71159744262695, 50.516902923583984, 590.0640258789062)",1
1408342344,2902197735802,"(0.48160722851753235, 0.20133839547634125)","(-9.234964370727539, 244.67137145996094, 82.21607208251953)",1,3.3531036376953125,1,"(-28.282506942749023, 44.365631103515625, 589.9405517578125)",1,"(0.48165953159332275, 0.1859542429447174)","(-9.205930709838867, 249.18658447265625, 83.85948181152344)",1,3.3224334716796875,1,"(33.735286712646484, 50.46885299682617, 590.1367797851562)",1
1408358654,2902197752112,"(0.48204028606414795, 0.2024737447500229)","(-8.99452018737793, 244.33816528320312, 82.09478759765625)",1,3.342498779296875,1,"(-28.273468017578125, 44.34807586669922, 589.94384765625)",1,"(0.48205938935279846, 0.18816791474819183)","(-8.983943939208984, 248.53688049316406, 83.62298583984375)",1,3.3184967041015625,1,"(33.74238204956055, 50.447044372558594, 590.1454467773438)",1
1408375440,2902197768898,"(0.481918066740036, 0.20132304728031158)","(-9.062390327453613, 244.67587280273438, 82.21773529052734)",1,3.343719482421875,1,"(-28.246519088745117, 44.342525482177734, 589.8690795898438)",1,"(0.484311580657959, 0.19031189382076263)","(-7.733389377593994, 247.90762329101562, 83.39399719238281)",1,3.3280487060546875,1,"(33.75197219848633, 50.42258071899414, 590.050537109375)",1
1408392264,2902197785722,"(0.48273560404777527, 0.20102658867835999)","(-8.608427047729492, 244.76287841796875, 82.2494125366211)",1,3.3475494384765625,1,"(-28.191225051879883, 44.35686111450195, 589.6639404296875)",1,"(0.4832777678966522, 0.18829141557216644)","(-8.307406425476074, 248.50062561035156, 83.60982513427734)",1,3.325103759765625,1,"(33.78089904785156, 50.43516159057617, 589.8679809570312)",1
1408408620,2902197802079,"(0.48268747329711914, 0.1999005377292633)","(-8.63517951965332, 245.09336853027344, 82.36969757080078)",1,3.3403778076171875,1,"(-28.149106979370117, 44.396724700927734, 589.6306762695312)",1,"(0.4844086170196533, 0.18625608086585999)","(-7.679508209228516, 249.09796142578125, 83.82726287841797)",1,3.319580078125,1,"(33.804080963134766, 50.45891571044922, 589.8309936523438)",1
1408425356,2902197818815,"(0.4826163053512573, 0.20483137667179108)","(-8.674690246582031, 243.64620971679688, 81.84293365478516)",1,3.336532592773437,1,"(-28.06587028503418, 44.49094772338867, 589.6984252929688)",1,"(0.4830911457538605, 0.19148389995098114)","(-8.41100788116455, 247.5635986328125, 83.26879119873047)",1,3.3181610107421875,1,"(33.906761169433594, 50.563236236572266, 589.8973388671875)",1
1408442184,2902197835643,"(0.48195382952690125, 0.2027609646320343)","(-9.04251766204834, 244.25384521484375, 82.06409454345703)",1,3.3268585205078125,1,"(-27.97981834411621, 44.5839729309082, 589.8150634765625)",1,"(0.48150762915611267, 0.1910800337791443)","(-9.290289878845215, 247.68212890625, 83.31192779541016)",1,3.3109283447265625,1,"(34.000648498535156, 50.65421676635742, 589.9878540039062)",1
1408458489,2902197851948,"(0.48287034034729004, 0.19986598193645477)","(-8.533616065979004, 245.103515625, 82.37336730957031)",1,3.328094482421875,1,"(-27.941774368286133, 44.63473892211914, 589.9052734375)",1,"(0.4834041893482208, 0.18688347935676575)","(-8.237218856811523, 248.91384887695312, 83.76021575927734)",1,3.309173583984375,1,"(34.040496826171875, 50.69598388671875, 590.0638427734375)",1
1408475272,2902197868731,"(0.48388761281967163, 0.19986560940742493)","(-7.9687910079956055, 245.10362243652344, 82.37342834472656)",1,3.334442138671875,1,"(-27.8961124420166, 44.674354553222656, 589.92919921875)",1,"(0.4834545850753784, 0.18754842877388)","(-8.209232330322266, 248.71865844726562, 83.68917083740234)",1,3.318328857421875,1,"(34.10065841674805, 50.72097396850586, 590.0851440429688)",1
1408492104,2902197885563,"(0.5057653784751892, 0.13618047535419464)","(4.1789984703063965, 263.79498291015625, 89.17646789550781)",1,3.331771850585937,1,"(-27.736907958984375, 44.804115295410156, 590.0421752929688)",1,"(0.5131185054779053, 0.12079914659261703)","(8.261860847473145, 268.3092956542969, 90.81958770751953)",1,3.313079833984375,1,"(34.196224212646484, 50.81563186645508, 590.2039794921875)",1
1408508455,2902197901914,"(0.5349487066268921, 0.089632049202919)","(20.383235931396484, 277.4567565917969, 94.14897155761719)",1,3.3429107666015625,1,"(-27.579648971557617, 44.90838623046875, 590.2407836914062)",1,"(0.5404242873191833, 0.07533970475196838)","(23.42355728149414, 281.6515197753906, 95.67574310302734)",1,3.2998046875,1,"(34.29364776611328, 50.90496063232422, 590.3692016601562)",1
1408525187,2902197918647,"(0.5579873323440552, 0.08685988187789917)","(33.17557907104492, 278.2703857421875, 94.44512176513672)",1,3.346908569335937,1,"(-27.493967056274414, 44.89155197143555, 590.3748779296875)",1,"(0.5579277276992798, 0.06627269834280014)","(33.14250564575195, 284.3125915527344, 96.64431762695312)",1,3.2931365966796875,1,"(34.40513610839844, 50.86989974975586, 590.4994506835938)",1
1408542030,2902197935490,"(0.555324375629425, 0.08282981812953949)","(31.696977615356445, 279.4531555175781, 94.87562561035156)",1,3.349594116210937,1,"(-27.59115982055664, 44.81560516357422, 590.5436401367188)",1,"(0.5611750483512878, 0.06441975384950638)","(34.945579528808594, 284.8564453125, 96.84224700927734)",1,3.3062896728515625,1,"(34.357688903808594, 50.79976272583008, 590.627197265625)",1
1408558325,2902197951785,"(0.5589906573295593, 0.08181319385766983)","(33.732696533203125, 279.75152587890625, 94.9842300415039)",1,3.339096069335937,1,"(-27.64190673828125, 44.770668029785156, 590.52685546875)",1,"(0.5612563490867615, 0.0658932477235794)","(34.9907112121582, 284.42401123046875, 96.6848373413086)",1,3.305770874023437,1,"(34.33314514160156, 50.773826599121094, 590.6738891601562)",1
1408575103,2902197968563,"(0.5603809356689453, 0.08427634090185165)","(34.50466537475586, 279.0285949707031, 94.72112274169922)",1,3.3430633544921875,1,"(-27.700246810913086, 44.720062255859375, 590.5327758789062)",1,"(0.5623360276222229, 0.07006646692752838)","(35.59027099609375, 283.1991882324219, 96.23905944824219)",1,3.3040771484375,1,"(34.28916549682617, 50.73820877075195, 590.6808471679688)",1
1408591950,2902197985410,"(0.558385968208313, 0.08310385048389435)","(33.396915435791016, 279.37274169921875, 94.84635162353516)",1,3.350189208984375,1,"(-27.718204498291016, 44.7015495300293, 590.5313720703125)",1,"(0.5630037188529968, 0.0707549974322319)","(35.960975646972656, 282.9971008300781, 96.16548919677734)",1,3.304428100585937,1,"(34.27192306518555, 50.74394226074219, 590.6757202148438)",1
1408608291,2902198001751,"(0.5573974251747131, 0.08426528424024582)","(32.84804916381836, 279.0318908691406, 94.72227478027344)",1,3.3509521484375,1,"(-27.730239868164062, 44.71344757080078, 590.6773681640625)",1,"(0.5634474158287048, 0.06785067170858383)","(36.207366943359375, 283.8495178222656, 96.47575378417969)",1,3.306976318359375,1,"(34.27189636230469, 50.766212463378906, 590.7974853515625)",1
1408625017,2902198018477,"(0.5573266744613647, 0.08406717330217361)","(32.80879592895508, 279.09002685546875, 94.74341583251953)",1,3.3591766357421875,1,"(-27.756135940551758, 44.75382614135742, 590.9830932617188)",1,"(0.5657528638839722, 0.06504718959331512)","(37.487464904785156, 284.67236328125, 96.77522277832031)",1,3.316314697265625,1,"(34.293678283691406, 50.8320198059082, 591.1497192382812)",1
1408641870,2902198035330,"(0.5623937845230103, 0.07945055514574051)","(35.62232208251953, 280.4449462890625, 95.23661804199219)",1,3.36407470703125,1,"(-27.764951705932617, 44.82181167602539, 591.3965454101562)",1,"(0.5681540369987488, 0.06223635748028755)","(38.820701599121094, 285.4972839355469, 97.07547760009766)",1,3.3353729248046875,1,"(34.34700012207031, 50.8992919921875, 591.5350952148438)",1
