device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1278866247,2902068258643,"(0.5958705544471741, 0.7512467503547668)","(54.21053695678711, 83.27542114257812, 23.472789764404297)",1,3.5101470947265625,1,"(-29.967754364013672, 56.62376022338867, 576.3626708984375)",1,"(0.5840048789978027, 0.7101995944976807)","(47.62201690673828, 95.3226089477539, 27.857593536376953)",1,3.5086669921875,1,"(32.5584602355957, 63.66025924682617, 576.9611206054688)",1
1278882952,2902068275349,"(0.595930278301239, 0.7483596801757812)","(54.243675231933594, 84.12278747558594, 23.78117561340332)",1,3.5072021484375,1,"(-29.954687118530273, 56.688724517822266, 576.2234497070312)",1,"(0.5850654244422913, 0.7150657773017883)","(48.21088790893555, 93.89441680908203, 27.337743759155273)",1,3.5144805908203125,1,"(32.56178665161133, 63.719505310058594, 576.7901611328125)",1
1278899830,2902068292227,"(0.5954736471176147, 0.7474760413169861)","(53.990116119384766, 84.38212585449219, 23.87560272216797)",1,3.504730224609375,1,"(-29.961345672607422, 56.744510650634766, 576.0010375976562)",1,"(0.5856122374534607, 0.7127508521080017)","(48.51449966430664, 94.57383728027344, 27.585073471069336)",1,3.497772216796875,1,"(32.535343170166016, 63.78367233276367, 576.5870971679688)",1
1278916213,2902068308610,"(0.5940300226211548, 0.7510685324668884)","(53.188533782958984, 83.32774353027344, 23.49185562133789)",1,3.5087432861328125,1,"(-29.977590560913086, 56.77375030517578, 575.9050903320312)",1,"(0.5839340686798096, 0.7096763849258423)","(47.58270263671875, 95.4761734008789, 27.91349983215332)",1,3.5008697509765625,1,"(32.51172637939453, 63.8185920715332, 576.5)",1
1278932867,2902068325264,"(0.5939553380012512, 0.7518200278282166)","(53.147090911865234, 83.10718536376953, 23.41153907775879)",1,3.517791748046875,1,"(-30.024818420410156, 56.78053665161133, 575.6964111328125)",1,"(0.5853353142738342, 0.7082973122596741)","(48.36075973510742, 95.88089752197266, 28.060810089111328)",1,3.501205444335937,1,"(32.42437744140625, 63.858524322509766, 576.2594604492188)",1
1278949750,2902068342147,"(0.5954659581184387, 0.7516322135925293)","(53.985877990722656, 83.16230773925781, 23.431604385375977)",1,3.5092315673828125,1,"(-30.08676528930664, 56.74264907836914, 575.42431640625)",1,"(0.586010754108429, 0.7117938995361328)","(48.73577880859375, 94.85469055175781, 27.687280654907227)",1,3.4965362548828125,1,"(32.3432502746582, 63.86201858520508, 576.0308837890625)",1
1278966083,2902068358480,"(0.5955137014389038, 0.7491973638534546)","(54.012367248535156, 83.87692260742188, 23.691701889038086)",1,3.5167999267578125,1,"(-30.125316619873047, 56.70625686645508, 575.3457641601562)",1,"(0.5847687721252441, 0.7117415070533752)","(48.04618453979492, 94.87005615234375, 27.692888259887695)",1,3.49365234375,1,"(32.3036003112793, 63.853878021240234, 575.96435546875)",1
1278982783,2902068375181,"(0.5958284735679626, 0.7466195225715637)","(54.18715286254883, 84.6335220336914, 23.967077255249023)",1,3.521591186523437,1,"(-30.172576904296875, 56.63901901245117, 575.2349853515625)",1,"(0.5861909985542297, 0.7088488936424255)","(48.835853576660156, 95.71907043457031, 28.001855850219727)",1,3.493072509765625,1,"(32.22068405151367, 63.79359817504883, 575.854248046875)",1
1278999670,2902068392068,"(0.5899361371994019, 0.7465651035308838)","(50.91538619995117, 84.64949035644531, 23.97288703918457)",1,3.524383544921875,1,"(-30.224498748779297, 56.58964538574219, 575.28564453125)",1,"(0.5815728902816772, 0.7135907411575317)","(46.271636962890625, 94.32733917236328, 27.495359420776367)",1,3.4938507080078125,1,"(32.170928955078125, 63.75364303588867, 575.916748046875)",1
1279016049,2902068408447,"(0.5856965780258179, 0.7489110827445984)","(48.561302185058594, 83.96094512939453, 23.72228240966797)",1,3.52777099609375,1,"(-30.25792694091797, 56.58053207397461, 575.3565063476562)",1,"(0.575472891330719, 0.7195577621459961)","(42.884586334228516, 92.57603454589844, 26.857925415039062)",1,3.494125366210937,1,"(32.15857696533203, 63.73567581176758, 575.9981689453125)",1
1279032697,2902068425095,"(0.5862277746200562, 0.7528567314147949)","(48.85622787475586, 82.80293273925781, 23.30079460144043)",1,3.517684936523437,1,"(-30.260387420654297, 56.576229095458984, 575.4549560546875)",1,"(0.5751985311508179, 0.7183456420898438)","(42.732242584228516, 92.93180847167969, 26.98737144470215)",1,3.4962310791015625,1,"(32.16099548339844, 63.695011138916016, 576.116943359375)",1
1279049590,2902068441988,"(0.5861944556236267, 0.7517294883728027)","(48.83776092529297, 83.1337661743164, 23.421213150024414)",1,3.519378662109375,1,"(-30.232315063476562, 56.5902099609375, 575.4861450195312)",1,"(0.5734077095985413, 0.7153798937797546)","(41.737850189208984, 93.80220794677734, 27.304166793823242)",1,3.486907958984375,1,"(32.184043884277344, 63.6806526184082, 576.1325073242188)",1
1279065918,2902068458316,"(0.5866894125938416, 0.7493354678153992)","(49.1126594543457, 83.83635711669922, 23.676939010620117)",1,3.526885986328125,1,"(-30.207035064697266, 56.59419631958008, 575.3904418945312)",1,"(0.573496401309967, 0.7168485522270203)","(41.787109375, 93.37116241455078, 27.14728546142578)",1,3.472320556640625,1,"(32.19346237182617, 63.673831939697266, 576.0330810546875)",1
1279082613,2902068475011,"(0.5863950252532959, 0.7524864673614502)","(48.94916534423828, 82.91156768798828, 23.340364456176758)",1,3.52032470703125,1,"(-30.165925979614258, 56.609615325927734, 575.2999877929688)",1,"(0.5758095383644104, 0.7135816812515259)","(43.071468353271484, 94.32997131347656, 27.496318817138672)",1,3.461532592773437,1,"(32.206016540527344, 63.692562103271484, 575.9253540039062)",1
1279099510,2902068491909,"(0.5874784588813782, 0.7477670907974243)","(49.55071258544922, 84.2967300415039, 23.84450912475586)",1,3.515960693359375,1,"(-30.146751403808594, 56.64325714111328, 575.3677978515625)",1,"(0.5757097601890564, 0.7112030982971191)","(43.01610565185547, 95.02812194824219, 27.750404357910156)",1,3.456756591796875,1,"(32.21635818481445, 63.73590850830078, 575.9871215820312)",1
1279115884,2902068508283,"(0.5867345333099365, 0.7474984526634216)","(49.13765335083008, 84.37557220458984, 23.873199462890625)",1,3.512924194335937,1,"(-30.15176010131836, 56.66922378540039, 575.504150390625)",1,"(0.5774000287055969, 0.7088697552680969)","(43.954654693603516, 95.71287536621094, 27.999658584594727)",1,3.46087646484375,1,"(32.212860107421875, 63.762046813964844, 576.1036376953125)",1
1279132529,2902068524928,"(0.587403416633606, 0.7454618811607361)","(49.50904083251953, 84.9732894897461, 24.090734481811523)",1,3.503875732421875,1,"(-30.177791595458984, 56.70415496826172, 575.8336791992188)",1,"(0.5766717195510864, 0.707870602607727)","(43.55024719238281, 96.00614929199219, 28.10637092590332)",1,3.46136474609375,1,"(32.219703674316406, 63.822547912597656, 576.487548828125)",1
1279149430,2902068541829,"(0.5881463885307312, 0.7416825294494629)","(49.9216423034668, 86.08250427246094, 24.494426727294922)",1,3.504791259765625,1,"(-30.219575881958008, 56.71063232421875, 576.2262573242188)",1,"(0.5755933523178101, 0.7130303382873535)","(42.95146942138672, 94.49179077148438, 27.555166244506836)",1,3.454986572265625,1,"(32.22124481201172, 63.85637664794922, 576.840576171875)",1
1279165754,2902068558153,"(0.5865817666053772, 0.7435068488121033)","(49.05286407470703, 85.54704284667969, 24.2995548248291)",1,3.5072784423828125,1,"(-30.23935890197754, 56.71883010864258, 576.3923950195312)",1,"(0.5763631463050842, 0.7142432928085327)","(43.37892532348633, 94.13582611083984, 27.425579071044922)",1,3.4651336669921875,1,"(32.22402572631836, 63.87303161621094, 577.01416015625)",1
1279182444,2902068574843,"(0.5853938460350037, 0.7465261220932007)","(48.39326477050781, 84.66092681884766, 23.9770565032959)",1,3.4998321533203125,1,"(-30.254451751708984, 56.732017517089844, 576.5990600585938)",1,"(0.574164092540741, 0.7118991017341614)","(42.157840728759766, 94.8238525390625, 27.67601203918457)",1,3.439437866210937,1,"(32.23228454589844, 63.88847351074219, 577.2479858398438)",1
1279199350,2902068591749,"(0.5565276145935059, 0.744189977645874)","(32.36508560180664, 85.3465805053711, 24.226587295532227)",1,3.50164794921875,1,"(-30.358795166015625, 56.73321533203125, 576.5975341796875)",1,"(0.5539712309837341, 0.7033220529556274)","(30.945615768432617, 97.34113311767578, 28.592267990112305)",1,3.4332733154296875,1,"(32.127037048339844, 63.878780364990234, 577.2432861328125)",1
