device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1113849415,818664317634,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113866049,818664334268,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113882695,818664350915,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113899302,818664367522,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113915969,818664384189,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113932609,818664400829,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113949255,818664417476,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113965889,818664434110,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113982529,818664450750,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1113999146,818664467368,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114015809,818664484031,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114032449,818664500671,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114049039,818664517261,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114065729,818664533952,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114082369,818664550592,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114098996,818664567219,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114115649,818664583873,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114132289,818664600514,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114148883,818664617108,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114165569,818664633794,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114182209,818664650435,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114198840,818664667066,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114215489,818664683715,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114232129,818664700356,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114248733,818664716960,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114265409,818664733636,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114282049,818664750277,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114298699,818664766927,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114315339,818664783567,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114331979,818664800207,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114348591,818664816820,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114365259,818664833488,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114381899,818664850128,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114398548,818664866778,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114415179,818664883409,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114431870,818664900100,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114448441,818664916671,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114465104,818664933335,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114481744,818664949975,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114498397,818664966628,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114515024,818664983256,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114531664,818664999896,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114548289,818665016521,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114564944,818665033176,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114581584,818665049817,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114598182,818665066415,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114614864,818665083097,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114631596,818665099830,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114648134,818665116368,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114664784,818665133018,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114681424,818665149658,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114698022,818665166257,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114714704,818665182939,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114731390,818665199625,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114747974,818665216210,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114764624,818665232860,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114781264,818665249500,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114797866,818665266102,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114814544,818665282781,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114831230,818665299467,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114847809,818665316046,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114864455,818665332693,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114881095,818665349333,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114897683,818665365921,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114914375,818665382613,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114931061,818665399300,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114947691,818665415930,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114964341,818665432580,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1114981073,818665449313,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.36789798736572266, 0.9422272443771362)","(-72.27217864990234, 27.124048233032227, 3.035400390625)",1,2.7438812255859375,1,"(-16.493453979492188, 7.0872483253479, 609.78955078125)",1
1114997611,818665465851,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4222044050693512, 0.8795993328094482)","(-42.29485321044922, 45.39741897583008, 9.686312675476074)",1,3.2664642333984375,1,"(-16.538368225097656, 7.190343856811523, 609.7870483398438)",1
1115014307,818665482547,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1115031085,818665499325,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.45132389664649963, 0.707524299621582)","(-26.220796585083008, 95.60484313964844, 27.960311889648438)",1,3.8201904296875,1,"(-17.269737243652344, 7.575156211853027, 621.015380859375)",1
1115047535,818665515776,"(0.4382225573062897, 0.7386115789413452)","(-33.4527702331543, 86.5343017578125, 24.65887451171875)",1,3.5832061767578125,1,"(-79.6222915649414, 5.666769504547119, 621.7423095703125)",1,"(0.45192912220954895, 0.6793372631072998)","(-25.88672637939453, 103.82914733886719, 30.95370864868164)",1,3.89239501953125,1,"(-17.752986907958984, 7.818521976470947, 625.415771484375)",1
1115064273,818665532514,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1115081097,818665549338,"(0.42624253034591675, 0.6887319684028625)","(-40.0657958984375, 101.0879898071289, 29.955995559692383)",1,3.701019287109375,1,"(-81.06272888183594, 6.330023765563965, 628.8402099609375)",1,"(0.44448521733283997, 0.6802168488502502)","(-29.99576187133789, 103.57249450683594, 30.860286712646484)",1,3.90814208984375,1,"(-18.731897354125977, 8.494054794311523, 633.9916381835938)",1
1115097409,818665565651,"(0.43433108925819397, 0.6912778615951538)","(-35.60086441040039, 100.34516143798828, 29.68560791015625)",1,3.71282958984375,1,"(-81.94110870361328, 6.8098955154418945, 632.2777099609375)",1,"(0.4425917863845825, 0.6776511073112488)","(-31.04094123840332, 104.32111358642578, 31.13276481628418)",1,3.9567413330078125,1,"(-19.194360733032227, 8.897565841674805, 637.0601196289062)",1
1115114141,818665582383,"(0.4328424632549286, 0.7031448483467102)","(-36.42262649536133, 96.88265991210938, 28.425363540649414)",1,3.74822998046875,1,"(-82.2691879272461, 7.0124831199646, 633.7166748046875)",1,"(0.4455030858516693, 0.6773632764816284)","(-29.433895111083984, 104.40510559082031, 31.163328170776367)",1,3.972747802734375,1,"(-19.523090362548828, 9.198807716369629, 639.0065307617188)",1
1115131109,818665599351,"(0.4361490309238434, 0.7060999870300293)","(-34.59738540649414, 96.02044677734375, 28.1115779876709)",1,3.7709503173828125,1,"(-82.82601165771484, 7.4213433265686035, 635.4774780273438)",1,"(0.4465693235397339, 0.6746320724487305)","(-28.845348358154297, 105.20201110839844, 31.4533748626709)",1,3.9756317138671875,1,"(-19.948040008544922, 9.636463165283203, 640.6170654296875)",1
1115147348,818665615590,"(0.4343533515930176, 0.7069653272628784)","(-35.58859634399414, 95.76793670654297, 28.0196475982666)",1,3.7855987548828125,1,"(-83.25165557861328, 7.851197242736816, 636.5880126953125)",1,"(0.44531622529029846, 0.6742702722549438)","(-29.537057876586914, 105.30758666992188, 31.491804122924805)",1,3.9845733642578125,1,"(-20.312461853027344, 10.093749046325684, 641.64892578125)",1
1115164107,818665632350,"(0.4328465759754181, 0.7005941867828369)","(-36.42033386230469, 97.62689208984375, 28.696226119995117)",1,3.789703369140625,1,"(-83.44052124023438, 8.047216415405273, 637.1256713867188)",1,"(0.44283294677734375, 0.675834596157074)","(-30.907825469970703, 104.85112762451172, 31.32569122314453)",1,3.9832611083984375,1,"(-20.540367126464844, 10.398027420043945, 642.3430786132812)",1
1115181121,818665649364,"(0.43610334396362305, 0.7033333778381348)","(-34.62260055541992, 96.82765197753906, 28.405366897583008)",1,3.783843994140625,1,"(-83.82479095458984, 8.446192741394043, 638.0043334960938)",1,"(0.44436177611351013, 0.6804459691047668)","(-30.06390380859375, 103.50562286376953, 30.83595085144043)",1,3.989959716796875,1,"(-20.911771774291992, 10.821324348449707, 643.2883911132812)",1
1115197282,818665665525,"(0.47374486923217773, 0.7403472661972046)","(-13.844340324401855, 86.02787780761719, 24.47457504272461)",1,3.8010406494140625,1,"(-84.14862060546875, 8.728062629699707, 640.2344970703125)",1,"(0.47718632221221924, 0.7194246649742126)","(-11.944643020629883, 92.1325912475586, 26.696468353271484)",1,4.0097503662109375,1,"(-21.15964698791504, 11.056861877441406, 645.25537109375)",1
1115214073,818665682317,"(0.5193426012992859, 0.77897709608078)","(11.325774192810059, 74.75656127929688, 20.372167587280273)",1,3.777740478515625,1,"(-84.04186248779297, 8.798605918884277, 640.3974609375)",1,"(0.5302087664604187, 0.774806559085846)","(17.323904037475586, 75.97344207763672, 20.81505012512207)",1,3.9974822998046875,1,"(-21.170101165771484, 11.104767799377441, 645.48046875)",1
1115231035,818665699279,"(0.5723860859870911, 0.8426620364189148)","(40.6059684753418, 56.1748046875, 13.608954429626465)",1,3.7791748046875,1,"(-83.76124572753906, 8.978930473327637, 638.842529296875)",1,"(0.5741873383522034, 0.8247578740119934)","(41.60024642944336, 61.39883804321289, 15.51035213470459)",1,3.980712890625,1,"(-21.235754013061523, 11.180913925170898, 643.8993530273438)",1
1115247206,818665715450,"(0.565483570098877, 0.8365581035614014)","(36.79572677612305, 57.9557991027832, 14.257184982299805)",1,3.77947998046875,1,"(-84.04541015625, 9.26820182800293, 639.1526489257812)",1,"(0.5710409879684448, 0.8299218416213989)","(39.86344909667969, 59.89211654663086, 14.961935043334961)",1,3.9874420166015625,1,"(-21.50654411315918, 11.342499732971191, 644.1849975585938)",1
1115263943,818665732187,"(0.5693734288215637, 0.8381341099739075)","(38.94294357299805, 57.49598693847656, 14.089799880981445)",1,3.775604248046875,1,"(-84.20756530761719, 9.441569328308105, 639.7315063476562)",1,"(0.5743625164031982, 0.8340684175491333)","(41.69694900512695, 58.6822509765625, 14.52160358428955)",1,4.0012664794921875,1,"(-21.690263748168945, 11.476995468139648, 645.0000610351562)",1
1115280951,818665749196,"(0.5676769614219666, 0.8283379673957825)","(38.00645446777344, 60.3542594909668, 15.130144119262695)",1,3.7982177734375,1,"(-84.42145538330078, 9.808172225952148, 640.3858032226562)",1,"(0.5705665946006775, 0.8325546979904175)","(39.60158157348633, 59.12392044067383, 14.682317733764648)",1,4.00732421875,1,"(-21.900598526000977, 11.708066940307617, 645.6529541015625)",1
1115297131,818665765376,"(0.5675251483917236, 0.829251229763031)","(37.922698974609375, 60.08778762817383, 15.033183097839355)",1,3.8027191162109375,1,"(-84.63636779785156, 10.220460891723633, 640.96728515625)",1,"(0.5695787072181702, 0.832367479801178)","(39.05628967285156, 59.17854309082031, 14.70220947265625)",1,4.0107269287109375,1,"(-22.100576400756836, 11.960649490356445, 646.1981811523438)",1
1115313909,818665782154,"(0.5664880871772766, 0.8318461775779724)","(37.350215911865234, 59.33063507080078, 14.757610321044922)",1,3.78924560546875,1,"(-84.72663116455078, 10.396637916564941, 641.0875854492188)",1,"(0.5725234746932983, 0.832288384437561)","(40.68181610107422, 59.201622009277344, 14.710588455200195)",1,4.0065765380859375,1,"(-22.253828048706055, 12.117494583129883, 646.34228515625)",1
1115330866,818665799112,"(0.5652861595153809, 0.8307814598083496)","(36.686771392822266, 59.64128875732422, 14.870672225952148)",1,3.7833251953125,1,"(-84.9330825805664, 10.706504821777344, 641.4064331054688)",1,"(0.5720291137695312, 0.8301308155059814)","(40.40888214111328, 59.831153869628906, 14.939766883850098)",1,4.0037994384765625,1,"(-22.48642921447754, 12.321958541870117, 646.7027587890625)",1
1115347061,818665815307,"(0.565174400806427, 0.833044171333313)","(36.625057220458984, 58.981075286865234, 14.630337715148926)",1,3.7770233154296875,1,"(-85.2586441040039, 10.9636869430542, 642.1776123046875)",1,"(0.5715875625610352, 0.8305686712265015)","(40.16517639160156, 59.703372955322266, 14.89327335357666)",1,4.0131072998046875,1,"(-22.76597023010254, 12.465597152709961, 647.4141235351562)",1
1115363778,818665832024,"(0.5655227899551392, 0.8382765650749207)","(36.817359924316406, 57.45442581176758, 14.074694633483887)",1,3.7812652587890625,1,"(-85.4089584350586, 11.044075965881348, 642.4521484375)",1,"(0.5705363750457764, 0.8353632688522339)","(39.58491516113281, 58.304439544677734, 14.384114265441895)",1,4.008575439453125,1,"(-22.947959899902344, 12.530046463012695, 647.7957153320312)",1
1115380878,818665849125,"(0.5671083331108093, 0.8379539847373962)","(37.69257736206055, 57.548545837402344, 14.108945846557617)",1,3.76953125,1,"(-85.69746398925781, 11.177946090698242, 642.7901000976562)",1,"(0.5713919997215271, 0.837273359298706)","(40.057193756103516, 57.74711227416992, 14.181241035461426)",1,4.0061187744140625,1,"(-23.216259002685547, 12.604057312011719, 648.1236572265625)",1
1115396989,818665865236,"(0.5635760426521301, 0.8420172333717346)","(35.742767333984375, 56.36299133300781, 13.677467346191406)",1,3.771209716796875,1,"(-85.92417907714844, 11.364770889282227, 643.0516357421875)",1,"(0.5722047686576843, 0.8348860144615173)","(40.505828857421875, 58.443702697753906, 14.434762954711914)",1,4.0095977783203125,1,"(-23.4334716796875, 12.69791316986084, 648.3594360351562)",1
1115413744,818665881991,"(0.5619487762451172, 0.8398391604423523)","(34.84452819824219, 56.99844741821289, 13.908746719360352)",1,3.77618408203125,1,"(-86.05199432373047, 11.464322090148926, 643.3729248046875)",1,"(0.5724092721939087, 0.8309773206710815)","(40.61875915527344, 59.584171295166016, 14.849828720092773)",1,4.0113067626953125,1,"(-23.569255828857422, 12.784276008605957, 648.7808837890625)",1
1115430794,818665899041,"(0.5622451305389404, 0.8383908867835999)","(35.00811004638672, 57.42109298706055, 14.062529563903809)",1,3.767822265625,1,"(-86.29500579833984, 11.678702354431152, 644.0736083984375)",1,"(0.5707901120185852, 0.8289154171943665)","(39.72496795654297, 60.185791015625, 15.068843841552734)",1,4.004425048828125,1,"(-23.74069595336914, 12.92127799987793, 649.4758911132812)",1
1115446914,818665915162,"(0.5631589293479919, 0.8377379179000854)","(35.51249313354492, 57.61159133911133, 14.13192081451416)",1,3.7612152099609375,1,"(-86.54951477050781, 11.8837308883667, 644.8403930664062)",1,"(0.5704765319824219, 0.8362264633178711)","(39.55180740356445, 58.05258560180664, 14.292418479919434)",1,4.0047454833984375,1,"(-23.907794952392578, 13.058032035827637, 650.19140625)",1
