device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1494925269,2902284319507,"(0.6026632785797119, 0.4361630082130432)","(57.98225402832031, 175.75128173828125, 57.131202697753906)",1,3.730072021484375,1,"(-30.89138412475586, 39.798789978027344, 597.3233032226562)",1,"(0.6088133454322815, 0.4214141070842743)","(61.39701843261719, 180.0800323486328, 58.706764221191406)",1,3.5488433837890625,1,"(31.131797790527344, 46.657493591308594, 597.7942504882812)",1
1494942089,2902284336327,"(0.6051492691040039, 0.4472660720348358)","(59.36259078979492, 172.4925537109375, 55.945152282714844)",1,3.7092132568359375,1,"(-30.914846420288086, 39.82225799560547, 597.2664794921875)",1,"(0.6079833507537842, 0.43533462285995483)","(60.936214447021484, 175.994384765625, 57.21973419189453)",1,3.55224609375,1,"(31.141063690185547, 46.6802978515625, 597.7567749023438)",1
1494958388,2902284352626,"(0.6030108332633972, 0.4516439735889435)","(58.175167083740234, 171.20765686035156, 55.47749328613281)",1,3.727325439453125,1,"(-30.921260833740234, 39.83510208129883, 597.2125854492188)",1,"(0.6086900234222412, 0.43424662947654724)","(61.32862091064453, 176.31369018554688, 57.33592224121094)",1,3.5469970703125,1,"(31.139705657958984, 46.68559646606445, 597.7013549804688)",1
1494975185,2902284369424,"(0.6020459532737732, 0.451353520154953)","(57.63945007324219, 171.2929229736328, 55.50847625732422)",1,3.7249603271484375,1,"(-30.925912857055664, 39.837215423583984, 597.1486206054688)",1,"(0.6077195405960083, 0.43593087792396545)","(60.78974914550781, 175.81939697265625, 57.15603256225586)",1,3.553131103515625,1,"(31.150653839111328, 46.69487762451172, 597.6302490234375)",1
1494992009,2902284386248,"(0.6030269861221313, 0.4577650725841522)","(58.18414306640625, 169.41116333007812, 54.8236198425293)",1,3.732208251953125,1,"(-30.926795959472656, 39.845787048339844, 597.0588989257812)",1,"(0.6077958941459656, 0.4392164349555969)","(60.8321418762207, 174.85508728027344, 56.80506134033203)",1,3.555694580078125,1,"(31.15504264831543, 46.69883728027344, 597.5453491210938)",1
1495008258,2902284402497,"(0.6047111749649048, 0.45920246839523315)","(59.11930847167969, 168.98928833007812, 54.67007827758789)",1,3.7286224365234375,1,"(-30.919376373291016, 39.84236145019531, 596.95361328125)",1,"(0.6089008450508118, 0.4384268522262573)","(61.44563674926758, 175.08685302734375, 56.889400482177734)",1,3.550201416015625,1,"(31.15726661682129, 46.69477462768555, 597.4485473632812)",1
1495025099,2902284419338,"(0.605071485042572, 0.45184773206710815)","(59.31936264038086, 171.1478729248047, 55.45571517944336)",1,3.705245971679688,1,"(-30.896848678588867, 39.82461929321289, 596.793701171875)",1,"(0.6073480844497681, 0.4379512369632721)","(60.58348083496094, 175.2264404296875, 56.94019317626953)",1,3.5539703369140625,1,"(31.182958602905273, 46.6658935546875, 597.268798828125)",1
1495041929,2902284436168,"(0.602872371673584, 0.459593802690506)","(58.09830856323242, 168.87442016601562, 54.62823486328125)",1,3.7252197265625,1,"(-30.850940704345703, 39.784114837646484, 596.5740966796875)",1,"(0.6054897904396057, 0.4446260333061218)","(59.551666259765625, 173.26739501953125, 56.2271614074707)",1,3.558685302734375,1,"(31.220809936523438, 46.62106704711914, 597.060302734375)",1
1495058224,2902284452463,"(0.6046767234802246, 0.5011681318283081)","(59.10016632080078, 156.6725311279297, 50.18708419799805)",1,3.7168121337890634,1,"(-30.79508399963379, 39.678863525390625, 596.4859008789062)",1,"(0.603133499622345, 0.47574886679649353)","(58.24331283569336, 164.13299560546875, 52.90249252319336)",1,3.555038452148437,1,"(31.21212387084961, 46.516109466552734, 596.9529418945312)",1
1495075015,2902284469254,"(0.604195237159729, 0.58897465467453)","(58.83287811279297, 130.9016571044922, 40.807289123535156)",1,3.7296295166015625,1,"(-30.686386108398438, 39.473419189453125, 596.5673828125)",1,"(0.6042457222938538, 0.5591206550598145)","(58.86088943481445, 139.66368103027344, 43.996376037597656)",1,3.558502197265625,1,"(31.195144653320312, 46.25067901611328, 597.0505981445312)",1
1495091849,2902284486089,"(0.603110134601593, 0.5851902365684509)","(58.23036193847656, 132.0124053955078, 41.21157455444336)",1,3.723800659179688,1,"(-30.67970848083496, 39.436092376708984, 596.758544921875)",1,"(0.6047801375389099, 0.5540089011192322)","(59.157615661621094, 141.16395568847656, 44.5424690246582)",1,3.5432586669921875,1,"(31.291860580444336, 46.236820220947266, 597.207275390625)",1
1495108190,2902284502430,"(0.6048764586448669, 0.5891850590705872)","(59.211116790771484, 130.8399200439453, 40.784820556640625)",1,3.7193603515625,1,"(-30.662683486938477, 39.41849899291992, 596.8151245117188)",1,"(0.6059209108352661, 0.5558807253837585)","(59.791011810302734, 140.61460876464844, 44.34253692626953)",1,3.540283203125,1,"(31.32483673095703, 46.22616195678711, 597.2471923828125)",1
1495124931,2902284519171,"(0.6053590178489685, 0.5886407494544983)","(59.47907638549805, 130.99964904785156, 40.84292984008789)",1,3.713577270507813,1,"(-30.643634796142578, 39.40422439575195, 596.9716186523438)",1,"(0.6039117574691772, 0.5589061379432678)","(58.67546081542969, 139.7266082763672, 44.019371032714844)",1,3.5531158447265625,1,"(31.390676498413086, 46.220726013183594, 597.4271850585938)",1
1495141764,2902284536004,"(0.6052138209342957, 0.5857304930686951)","(59.39842987060547, 131.8538055419922, 41.15385818481445)",1,3.7108154296875,1,"(-30.634809494018555, 39.40569305419922, 597.16552734375)",1,"(0.603943943977356, 0.5570189952850342)","(58.69328689575195, 140.28053283691406, 44.220924377441406)",1,3.542343139648437,1,"(31.428701400756836, 46.22292709350586, 597.5974731445312)",1
1495158058,2902284552298,"(0.6057752966880798, 0.5842858552932739)","(59.71019744873047, 132.27781677246094, 41.30816650390625)",1,3.7078857421875,1,"(-30.629505157470703, 39.409828186035156, 597.1841430664062)",1,"(0.6027045249938965, 0.5599870085716248)","(58.00510025024414, 139.40943908691406, 43.903839111328125)",1,3.5432281494140625,1,"(31.44158935546875, 46.22832107543945, 597.6201171875)",1
1495174846,2902284569086,"(0.6048773527145386, 0.5873873233795166)","(59.21159362792969, 131.36752319335938, 40.97684860229492)",1,3.71356201171875,1,"(-30.62082290649414, 39.43827438354492, 597.2789916992188)",1,"(0.6045093536376953, 0.5616316199302673)","(59.00724411010742, 138.9267120361328, 43.72816848754883)",1,3.555999755859375,1,"(31.46172332763672, 46.2501220703125, 597.7283325195312)",1
1495191684,2902284585925,"(0.6034976243972778, 0.5915855765342712)","(58.445491790771484, 130.1353759765625, 40.52838134765625)",1,3.7291107177734375,1,"(-30.619800567626953, 39.488128662109375, 597.4595336914062)",1,"(0.6037995219230652, 0.5634874105453491)","(58.6131477355957, 138.38206481933594, 43.529945373535156)",1,3.5626983642578125,1,"(31.491432189941406, 46.288658142089844, 597.8917846679688)",1
1495208024,2902284602265,"(0.6032243371009827, 0.591579020023346)","(58.29375457763672, 130.13726806640625, 40.52907943725586)",1,3.73443603515625,1,"(-30.61632537841797, 39.52638244628906, 597.6267700195312)",1,"(0.6046998500823975, 0.56107497215271)","(59.113006591796875, 139.0901336669922, 43.78763961791992)",1,3.565887451171875,1,"(31.50806999206543, 46.31578063964844, 598.0418090820312)",1
1495224762,2902284619003,"(0.605157732963562, 0.5863810777664185)","(59.367305755615234, 131.662841796875, 41.08435821533203)",1,3.736663818359375,1,"(-30.615989685058594, 39.58858108520508, 597.9612426757812)",1,"(0.6045452952384949, 0.5592687726020813)","(59.027198791503906, 139.62022399902344, 43.98056411743164)",1,3.569076538085937,1,"(31.56308364868164, 46.37770462036133, 598.423828125)",1
1495241604,2902284635845,"(0.5997087359428406, 0.5872586369514465)","(56.341670989990234, 131.4052734375, 40.99064254760742)",1,3.7561187744140634,1,"(-30.636913299560547, 39.65849685668945, 598.2637329101562)",1,"(0.6035265326499939, 0.5586864352226257)","(58.461544036865234, 139.79112243652344, 44.04280090332031)",1,3.5697174072265625,1,"(31.563438415527344, 46.42635726928711, 598.6912841796875)",1
