device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1314958434,2902104351098,"(0.45624229311943054, 0.17128247022628784)","(-23.31905174255371, 253.49267578125, 85.42677307128906)",1,3.455474853515625,1,"(-32.5720100402832, 53.60619354248047, 572.0614624023438)",1,"(0.45592960715293884, 0.1351747363805771)","(-23.492652893066406, 264.0901184082031, 89.28394317626953)",1,3.3686065673828125,1,"(29.136262893676758, 61.4649543762207, 572.9991455078125)",1
1314975070,2902104367735,"(0.4552263915538788, 0.1677396595478058)","(-23.883129119873047, 254.532470703125, 85.80522918701172)",1,3.44830322265625,1,"(-32.57793045043945, 53.604774475097656, 572.5465698242188)",1,"(0.45662736892700195, 0.13469955325126648)","(-23.105215072631836, 264.2295837402344, 89.33468627929688)",1,3.35943603515625,1,"(29.186307907104492, 61.48948669433594, 573.5092163085938)",1
1314991986,2902104384651,"(0.4551219940185547, 0.16733157634735107)","(-23.941089630126953, 254.65225219726562, 85.84880828857422)",1,3.4470367431640625,1,"(-32.56490707397461, 53.56257629394531, 572.6157836914062)",1,"(0.45747119188308716, 0.13703225553035736)","(-22.636667251586914, 263.5449523925781, 89.08551788330078)",1,3.3561553955078125,1,"(29.198450088500977, 61.4576530456543, 573.5751953125)",1
1315008304,2902104400969,"(0.45683255791664124, 0.1696348935365677)","(-22.991300582885742, 253.9762420654297, 85.6027603149414)",1,3.4489288330078125,1,"(-32.57133102416992, 53.54763412475586, 572.679931640625)",1,"(0.45588719844818115, 0.13842546939849854)","(-23.516197204589844, 263.13604736328125, 88.93669128417969)",1,3.3614959716796875,1,"(29.204496383666992, 61.440147399902344, 573.6458740234375)",1
1315024986,2902104417651,"(0.45756566524505615, 0.17133264243602753)","(-22.584232330322266, 253.4779510498047, 85.42137145996094)",1,3.448333740234375,1,"(-32.57939529418945, 53.520301818847656, 572.7014770507812)",1,"(0.45516085624694824, 0.1393871158361435)","(-23.91950225830078, 262.8538513183594, 88.83393859863281)",1,3.3590240478515625,1,"(29.209911346435547, 61.401004791259766, 573.6583251953125)",1
1315041906,2902104434571,"(0.45634520053863525, 0.1708584874868393)","(-23.261886596679688, 253.6171112060547, 85.47200012207031)",1,3.442291259765625,1,"(-32.57167053222656, 53.484066009521484, 572.5158081054688)",1,"(0.4543115794658661, 0.1363793909549713)","(-24.39107894897461, 263.7366027832031, 89.15523529052734)",1,3.364501953125,1,"(29.198368072509766, 61.35225296020508, 573.4833374023438)",1
1315058270,2902104450936,"(0.45714348554611206, 0.16919253766536713)","(-22.818666458129883, 254.1060791015625, 85.65000915527344)",1,3.433334350585937,1,"(-32.56739807128906, 53.47187042236328, 572.4100341796875)",1,"(0.455892413854599, 0.13625013828277588)","(-23.513324737548828, 263.7745361328125, 89.16905212402344)",1,3.353988647460937,1,"(29.1903133392334, 61.332183837890625, 573.3753662109375)",1
1315074901,2902104467567,"(0.45662349462509155, 0.17233549058437347)","(-23.107358932495117, 253.18360900878906, 85.31428527832031)",1,3.42999267578125,1,"(-32.56251525878906, 53.46586227416992, 572.3028564453125)",1,"(0.4555402100086212, 0.13992948830127716)","(-23.70888900756836, 262.69464111328125, 88.77603149414062)",1,3.3603515625,1,"(29.18459129333496, 61.320377349853516, 573.255615234375)",1
1315091826,2902104484492,"(0.4571050703525543, 0.1728585809469223)","(-22.8399600982666, 253.0300750732422, 85.25836181640625)",1,3.430770874023437,1,"(-32.56293869018555, 53.472843170166016, 572.2562866210938)",1,"(0.4552474915981293, 0.1414026916027069)","(-23.871395111083984, 262.26220703125, 88.61868286132812)",1,3.361602783203125,1,"(29.182239532470703, 61.33249282836914, 573.2140502929688)",1
1315108140,2902104500806,"(0.457071453332901, 0.17027521133422852)","(-22.858646392822266, 253.78831481933594, 85.53430938720703)",1,3.424301147460937,1,"(-32.566654205322266, 53.477569580078125, 572.210205078125)",1,"(0.4559882879257202, 0.13998909294605255)","(-23.460065841674805, 262.6771545410156, 88.76969146728516)",1,3.365020751953125,1,"(29.175495147705078, 61.33943176269531, 573.170654296875)",1
1315124817,2902104517483,"(0.457284152507782, 0.16944687068462372)","(-22.74052619934082, 254.0314178466797, 85.62285614013672)",1,3.4261474609375,1,"(-32.579227447509766, 53.48545837402344, 572.0755004882812)",1,"(0.4563673138618469, 0.14075298607349396)","(-23.249635696411133, 262.45294189453125, 88.68807220458984)",1,3.3667144775390625,1,"(29.14470100402832, 61.36522674560547, 573.0227661132812)",1
1315141746,2902104534412,"(0.45720788836479187, 0.16697531938552856)","(-22.782896041870117, 254.75677490234375, 85.88689422607422)",1,3.433456420898437,1,"(-32.61653518676758, 53.491886138916016, 571.9656982421875)",1,"(0.45510441064834595, 0.14244525134563446)","(-23.95085334777832, 261.9562683105469, 88.50727081298828)",1,3.372299194335937,1,"(29.103111267089844, 61.38595962524414, 572.9259643554688)",1
1315158106,2902104550772,"(0.4576658606529236, 0.16850218176841736)","(-22.528602600097656, 254.30865478515625, 85.72379302978516)",1,3.4420928955078125,1,"(-32.64811325073242, 53.500423431396484, 571.9278564453125)",1,"(0.45480313897132874, 0.14363455772399902)","(-24.11814308166504, 261.6072082519531, 88.3802490234375)",1,3.3698883056640625,1,"(29.078691482543945, 61.405433654785156, 572.8941040039062)",1
1315174731,2902104567398,"(0.45678576827049255, 0.16779842972755432)","(-23.017284393310547, 254.51522827148438, 85.79894256591797)",1,3.440887451171875,1,"(-32.69572448730469, 53.50691223144531, 571.9033203125)",1,"(0.4555574953556061, 0.14114360511302948)","(-23.699291229248047, 262.33831787109375, 88.64631652832031)",1,3.3885650634765625,1,"(29.018598556518555, 61.429378509521484, 572.8721313476562)",1
1315191666,2902104584333,"(0.4546975791454315, 0.17104846239089966)","(-24.17675018310547, 253.56134033203125, 85.45178985595703)",1,3.4546661376953125,1,"(-32.72205352783203, 53.50246810913086, 571.8485717773438)",1,"(0.4560902714729309, 0.14194457232952118)","(-23.403478622436523, 262.103271484375, 88.5607681274414)",1,3.4055633544921875,1,"(28.984041213989258, 61.42782974243164, 572.8375244140625)",1
1315207975,2902104600643,"(0.45667266845703125, 0.1697065830230713)","(-23.080045700073242, 253.95516967773438, 85.59513854980469)",1,3.45330810546875,1,"(-32.738563537597656, 53.506263732910156, 571.8805541992188)",1,"(0.456826388835907, 0.14025412499904633)","(-22.99472427368164, 262.599365234375, 88.74134826660156)",1,3.4060516357421875,1,"(28.978181838989258, 61.43251419067383, 572.86669921875)",1
1315224743,2902104617411,"(0.4554368555545807, 0.16974234580993652)","(-23.766254425048828, 253.94468688964844, 85.59131622314453)",1,3.466659545898437,1,"(-32.7484245300293, 53.518821716308594, 571.9805297851562)",1,"(0.4583631455898285, 0.14310990273952484)","(-22.141395568847656, 261.76123046875, 88.4362564086914)",1,3.4133758544921875,1,"(28.9945011138916, 61.43391418457031, 572.9762573242188)",1
1315241586,2902104634254,"(0.45688462257385254, 0.16983062028884888)","(-22.962385177612305, 253.9187774658203, 85.58187103271484)",1,3.479827880859375,1,"(-32.74617385864258, 53.51613235473633, 571.9956665039062)",1,"(0.4574165642261505, 0.14397495985031128)","(-22.6669921875, 261.5072937011719, 88.34385681152344)",1,3.422515869140625,1,"(29.010168075561523, 61.42783737182617, 572.9818115234375)",1
