device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1093623948,818644091807,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46473246812820435, 0.33715224266052246)","(-18.81924057006836, 203.67063903808594, 67.29307556152344)",1,4.140228271484375,1,"(-67.4018783569336, 5.044877052307129, 585.2080688476562)",1
1093641448,818644109308,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46377435326576233, 0.3432146906852722)","(-19.348093032836914, 201.90174865722656, 66.64920043945312)",1,4.1448822021484375,1,"(-67.35000610351562, 5.013067245483398, 585.0969848632812)",1
1093657339,818644125199,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.463188111782074, 0.3400985598564148)","(-19.671707153320312, 202.8109588623047, 66.98013305664062)",1,4.14727783203125,1,"(-67.35993194580078, 4.963321208953857, 585.2826538085938)",1
1093673923,818644141783,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46605080366134644, 0.33580660820007324)","(-18.091482162475586, 204.06324768066406, 67.43596649169922)",1,4.164459228515625,1,"(-67.41024780273438, 4.9243483543396, 585.4112548828125)",1
1093691378,818644159238,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46232032775878906, 0.33237940073013306)","(-20.150732040405273, 205.063232421875, 67.79993438720703)",1,4.171722412109375,1,"(-67.50546264648438, 4.870152950286865, 585.7658081054688)",1
1093707254,818644175115,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.46320852637290955, 0.33698925375938416)","(-19.660442352294922, 203.71817016601562, 67.31036376953125)",1,4.1715087890625,1,"(-67.67296600341797, 4.843883037567139, 586.0735473632812)",1
1093723793,818644191654,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4639914035797119, 0.3353574872016907)","(-19.228271484375, 204.19427490234375, 67.48365783691406)",1,4.1522979736328125,1,"(-67.7557601928711, 4.825100421905518, 586.0667724609375)",1
1093741298,818644209159,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4746926724910736, 0.3276057243347168)","(-13.321149826049805, 206.45606994628906, 68.306884765625)",1,4.1656341552734375,1,"(-67.85250091552734, 4.751916408538818, 586.1937866210938)",1
1093757169,818644225031,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47860345244407654, 0.32440462708473206)","(-11.162384033203125, 207.3900909423828, 68.64678955078125)",1,4.188446044921875,1,"(-67.93565368652344, 4.699510097503662, 586.4988403320312)",1
1093773759,818644241621,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4819874167442322, 0.32720452547073364)","(-9.294431686401367, 206.57315063476562, 68.34945678710938)",1,4.1824493408203125,1,"(-67.98502349853516, 4.7159743309021, 586.55419921875)",1
1093791218,818644259080,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.48258906602859497, 0.33349427580833435)","(-8.962301254272461, 204.73793029785156, 67.6814956665039)",1,4.180450439453125,1,"(-68.01496887207031, 4.791522026062012, 586.7042846679688)",1
1093807260,818644275122,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4791841208934784, 0.325888067483902)","(-10.841848373413086, 206.95724487304688, 68.48927307128906)",1,4.17669677734375,1,"(-68.03267669677734, 4.875452041625977, 586.8870239257812)",1
1093823628,818644291491,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4790020287036896, 0.3307206630706787)","(-10.942381858825684, 205.54721069335938, 67.97604370117188)",1,4.1685638427734375,1,"(-68.04393005371094, 4.9402570724487305, 586.8941650390625)",1
1093841138,818644309001,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47869423031806946, 0.3347996473312378)","(-11.112276077270508, 204.3570556640625, 67.54288482666016)",1,4.1736602783203125,1,"(-68.06501007080078, 5.039611339569092, 587.0159912109375)",1
1093857180,818644325043,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47889968752861023, 0.3319416344165802)","(-10.99885082244873, 205.19097900390625, 67.8464126586914)",1,4.1874237060546875,1,"(-68.07623291015625, 5.150327682495117, 587.0906982421875)",1
1093873594,818644341458,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4806746244430542, 0.32710185647010803)","(-10.019078254699707, 206.6030731201172, 68.36038208007812)",1,4.1787567138671875,1,"(-68.06816101074219, 5.233453750610352, 587.1519165039062)",1
1093891058,818644358922,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.47991639375686646, 0.33269885182380676)","(-10.437633514404297, 204.97003173828125, 67.76597595214844)",1,4.1878814697265625,1,"(-68.02263641357422, 5.409506797790527, 587.2965698242188)",1
1093907100,818644374964,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.4833085536956787, 0.3340158462524414)","(-8.565169334411621, 204.58575439453125, 67.62615966796875)",1,4.183074951171875,1,"(-67.9026107788086, 5.584723472595215, 587.3817138671875)",1
1093923560,818644391424,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5043506622314453, 0.32980939745903015)","(3.050154447555542, 205.81309509277344, 68.07284545898438)",1,4.1796417236328125,1,"(-67.63831329345703, 5.671081066131592, 587.127685546875)",1
1093940978,818644408843,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5623069405555725, 0.3099399209022522)","(35.042240142822266, 211.6105499267578, 70.18291473388672)",1,4.184814453125,1,"(-67.14995574951172, 5.722362995147705, 587.3748168945312)",1
1093957001,818644424866,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5745567679405212, 0.3141558766365051)","(41.80417251586914, 210.38040161132812, 69.7352523803711)",1,4.17498779296875,1,"(-67.01582336425781, 5.789093494415283, 588.3253173828125)",1
1093973526,818644441391,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5738983154296875, 0.31446969509124756)","(41.44076156616211, 210.28884887695312, 69.70187377929688)",1,4.17767333984375,1,"(-66.89116668701172, 5.801933765411377, 588.0719604492188)",1
1093990898,818644458764,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5741850733757019, 0.3148668706417084)","(41.59896469116211, 210.17295837402344, 69.65969848632812)",1,4.163665771484375,1,"(-66.71717834472656, 5.795200824737549, 587.5838623046875)",1
1094006940,818644474807,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5739052295684814, 0.3124792277812958)","(41.444522857666016, 210.86962890625, 69.91327667236328)",1,4.1603546142578125,1,"(-66.62494659423828, 5.775112152099609, 587.5910034179688)",1
1094023396,818644491263,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.5778278112411499, 0.3139493763446808)","(43.60982131958008, 210.440673828125, 69.75711822509766)",1,4.1667938232421875,1,"(-66.59239196777344, 5.763951301574707, 587.6682739257812)",1
