device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1371151973,2902160545097,"(0.49734261631965637, 0.31373879313468933)","(-0.49780693650245667, 211.68231201171875, 70.20904541015625)",1,3.5215606689453125,1,"(-31.259395599365234, 49.94618606567383, 585.094970703125)",1,"(0.4937337338924408, 0.28820183873176575)","(-2.5016520023345947, 219.17727661132812, 72.93700408935547)",1,3.488067626953125,1,"(30.764036178588867, 57.04334259033203, 585.78173828125)",1
1371168277,2902160561401,"(0.49616074562072754, 0.3134979009628296)","(-1.1540162563323975, 211.75299072265625, 70.23477935791016)",1,3.520782470703125,1,"(-31.292692184448242, 49.954166412353516, 585.041259765625)",1,"(0.49510276317596436, 0.28823739290237427)","(-1.7414737939834595, 219.1668243408203, 72.9332046508789)",1,3.484130859375,1,"(30.721555709838867, 57.054744720458984, 585.7278442382812)",1
1371185004,2902160578129,"(0.495615154504776, 0.31259647011756897)","(-1.4569872617721558, 212.01754760742188, 70.33108520507812)",1,3.5111846923828125,1,"(-31.326099395751953, 49.98439025878906, 584.9326782226562)",1,"(0.4973028004169464, 0.2874336838722229)","(-0.5199114680290222, 219.4027557373047, 73.01904296875)",1,3.484283447265625,1,"(30.651138305664062, 57.10268783569336, 585.6124267578125)",1
1371201893,2902160595018,"(0.49542436003685, 0.3112594783306122)","(-1.5629334449768066, 212.40997314453125, 70.4738998413086)",1,3.51007080078125,1,"(-31.338340759277344, 50.01521301269531, 584.8515014648438)",1,"(0.49622058868408203, 0.28537946939468384)","(-1.1208157539367676, 220.0056610107422, 73.23851776123047)",1,3.4959716796875,1,"(30.6319580078125, 57.133758544921875, 585.5446166992188)",1
1371218243,2902160611368,"(0.4956686198711395, 0.3084694743156433)","(-1.4272832870483398, 213.2288055419922, 70.77193450927734)",1,3.5123748779296875,1,"(-31.348941802978516, 50.023223876953125, 584.8681030273438)",1,"(0.4953973889350891, 0.28959861397743225)","(-1.577933430671692, 218.76734924316406, 72.78779602050781)",1,3.49896240234375,1,"(30.626436233520508, 57.14590835571289, 585.5424194335938)",1
1371234920,2902160628045,"(0.4952523112297058, 0.31436973810195923)","(-1.6584429740905762, 211.49710083007812, 70.14166259765625)",1,3.5111083984375,1,"(-31.35772705078125, 50.01841354370117, 584.8411254882812)",1,"(0.49619463086128235, 0.2836436629295349)","(-1.1352194547653198, 220.5150909423828, 73.4239273071289)",1,3.496566772460937,1,"(30.610872268676758, 57.10833740234375, 585.5169067382812)",1
1371251813,2902160644938,"(0.49526247382164, 0.31583404541015625)","(-1.652821660041809, 211.06736755371094, 69.9852066040039)",1,3.515380859375,1,"(-31.367538452148438, 49.98332977294922, 584.8665771484375)",1,"(0.4960516691207886, 0.28238117694854736)","(-1.2146269083023071, 220.8856201171875, 73.55878448486328)",1,3.5040283203125,1,"(30.603885650634766, 57.06216812133789, 585.5424194335938)",1
1371268112,2902160661237,"(0.494659423828125, 0.31626760959625244)","(-1.987656831741333, 210.94009399414062, 69.93891143798828)",1,3.507293701171875,1,"(-31.375690460205078, 49.95892333984375, 584.8870849609375)",1,"(0.4950157403945923, 0.288392573595047)","(-1.789784550666809, 219.1212921142578, 72.91661071777344)",1,3.505950927734375,1,"(30.604936599731445, 57.040122985839844, 585.5671997070312)",1
1371284834,2902160677959,"(0.4952724277973175, 0.3153770864009857)","(-1.6472883224487305, 211.20144653320312, 70.03404998779297)",1,3.5,1,"(-31.397512435913086, 49.92550277709961, 584.9256591796875)",1,"(0.4932750463485718, 0.29021549224853516)","(-2.7563583850860596, 218.58627319335938, 72.7219009399414)",1,3.497283935546875,1,"(30.59701919555664, 57.017059326171875, 585.6118774414062)",1
1371301733,2902160694858,"(0.4954204261302948, 0.3197687566280365)","(-1.5650819540023804, 209.91253662109375, 69.56491088867188)",1,3.51019287109375,1,"(-31.410043716430664, 49.906944274902344, 584.8789672851562)",1,"(0.492743581533432, 0.290189266204834)","(-3.051445484161377, 218.59397888183594, 72.7247314453125)",1,3.5033111572265625,1,"(30.58405303955078, 57.00871658325195, 585.5715942382812)",1
1371318078,2902160711204,"(0.5148441195487976, 0.3247154653072357)","(9.220051765441895, 208.46066284179688, 69.03648376464844)",1,3.5283355712890625,1,"(-31.29520606994629, 49.882232666015625, 584.62890625)",1,"(0.5112726092338562, 0.29176899790763855)","(7.236929893493652, 218.13034057617188, 72.55594635009766)",1,3.5194091796875,1,"(30.6429386138916, 56.973358154296875, 585.3924560546875)",1
1371334750,2902160727876,"(0.6172062158584595, 0.3218938410282135)","(66.05733489990234, 209.288818359375, 69.3378677368164)",1,3.554534912109375,1,"(-30.80809783935547, 49.93659591674805, 585.6083374023438)",1,"(0.6334518194198608, 0.2888641059398651)","(75.07776641845703, 218.98289489746094, 72.86625671386719)",1,3.521209716796875,1,"(31.267868041992188, 57.029563903808594, 586.5081787109375)",1
1371351653,2902160744779,"(0.7146555185317993, 0.3395543396472931)","(120.16670227050781, 204.10552978515625, 67.45132446289062)",1,3.5748291015625,1,"(-30.249658584594727, 50.06174850463867, 586.9844970703125)",1,"(0.7123013734817505, 0.29352185130119324)","(118.8594741821289, 217.61590576171875, 72.36869812011719)",1,3.4993133544921875,1,"(31.793649673461914, 57.11009216308594, 587.5753173828125)",1
1371368044,2902160761170,"(0.7217851281166077, 0.3441760838031769)","(124.12545013427734, 202.7490692138672, 66.9576187133789)",1,3.582916259765625,1,"(-30.143888473510742, 50.05537414550781, 586.703857421875)",1,"(0.7216504812240601, 0.29707059264183044)","(124.05068969726562, 216.57435607910156, 71.98957824707031)",1,3.505035400390625,1,"(31.867557525634766, 57.07038116455078, 587.1043701171875)",1
1371384666,2902160777792,"(0.7272141575813293, 0.3403239846229553)","(127.13996887207031, 203.879638671875, 67.36911010742188)",1,3.574432373046875,1,"(-30.16431427001953, 50.13525390625, 587.2518920898438)",1,"(0.7255216240882874, 0.3010353744029999)","(126.20014190673828, 215.41070556640625, 71.56609344482422)",1,3.5137939453125,1,"(31.951847076416016, 57.174095153808594, 587.7973022460938)",1
