device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1238281278,2902027673314,"(0.577978253364563, 0.19760948419570923)","(44.27569580078125, 245.7657928466797, 82.61441040039062)",1,3.425811767578125,1,"(-24.519649505615234, 59.170196533203125, 570.5498657226562)",1,"(0.5769863724708557, 0.18022991716861725)","(43.72490692138672, 250.86660766601562, 84.47093963623047)",1,3.3303680419921875,1,"(37.74623107910156, 64.5105209350586, 570.3788452148438)",1
1238297923,2902027689960,"(0.5770455598831177, 0.19797509908676147)","(43.75777816772461, 245.6584930419922, 82.57539367675781)",1,3.4270172119140625,1,"(-24.54803466796875, 59.17292785644531, 570.5726928710938)",1,"(0.575995147228241, 0.17919272184371948)","(43.174556732177734, 251.17103576660156, 84.5817642211914)",1,3.3372344970703125,1,"(37.70808792114258, 64.54571533203125, 570.4063720703125)",1
1238314893,2902027706930,"(0.5788834691047668, 0.19767850637435913)","(44.77831268310547, 245.74551391601562, 82.60707092285156)",1,3.43267822265625,1,"(-24.622493743896484, 59.179264068603516, 570.5436401367188)",1,"(0.5737602114677429, 0.18132492899894714)","(41.933563232421875, 250.5452880859375, 84.35399627685547)",1,3.344970703125,1,"(37.63509750366211, 64.57722473144531, 570.38916015625)",1
1238331244,2902027723281,"(0.5785408020019531, 0.19100771844387054)","(44.58803939819336, 247.70338439941406, 83.31964111328125)",1,3.4351959228515625,1,"(-24.657873153686523, 59.191429138183594, 570.4305419921875)",1,"(0.5765247941017151, 0.1779164969921112)","(43.46862030029297, 251.545654296875, 84.71810150146484)",1,3.337738037109375,1,"(37.57529830932617, 64.59961700439453, 570.2987670898438)",1
1238347935,2902027739972,"(0.5802246332168579, 0.17829932272434235)","(45.52302169799805, 251.4332275390625, 84.67720794677734)",1,3.4404449462890625,1,"(-24.71193504333496, 59.24185562133789, 570.4065551757812)",1,"(0.5793985724449158, 0.16588068008422852)","(45.064361572265625, 255.07809448242188, 86.00376892089844)",1,3.344512939453125,1,"(37.48942565917969, 64.68152618408203, 570.2901611328125)",1
1238364813,2902027756850,"(0.5802542567253113, 0.17978523671627045)","(45.53946304321289, 250.99713134765625, 84.51844787597656)",1,3.4425048828125,1,"(-24.783803939819336, 59.305908203125, 570.572998046875)",1,"(0.5783664584159851, 0.16577459871768951)","(44.49123764038086, 255.10919189453125, 86.01512908935547)",1,3.351226806640625,1,"(37.44758605957031, 64.7388687133789, 570.4506225585938)",1
1238381210,2902027773247,"(0.5800261497497559, 0.18130624294281006)","(45.41279220581055, 250.5507354736328, 84.3559799194336)",1,3.45867919921875,1,"(-24.809406280517578, 59.34602355957031, 570.6427001953125)",1,"(0.5777808427810669, 0.1678316742181778)","(44.166114807128906, 254.50546264648438, 85.79537963867188)",1,3.352081298828125,1,"(37.431583404541016, 64.77584075927734, 570.5289916992188)",1
1238397850,2902027789887,"(0.5814770460128784, 0.1819913685321808)","(46.21840286254883, 250.3496551513672, 84.28280639648438)",1,3.4701385498046875,1,"(-24.834501266479492, 59.40455627441406, 570.6783447265625)",1,"(0.5780056715011597, 0.16599363088607788)","(44.29093933105469, 255.04493713378906, 85.99171447753906)",1,3.3704071044921875,1,"(37.41012954711914, 64.83009338378906, 570.5728759765625)",1
1238414733,2902027806771,"(0.581219494342804, 0.18145808577537537)","(46.07545471191406, 250.5061798095703, 84.33975982666016)",1,3.478424072265625,1,"(-24.837753295898438, 59.44342803955078, 570.670654296875)",1,"(0.5786204934120178, 0.16738805174827576)","(44.63230514526367, 254.63565063476562, 85.84276580810547)",1,3.383575439453125,1,"(37.40806198120117, 64.87579345703125, 570.5779418945312)",1
1238431080,2902027823118,"(0.5799233317375183, 0.17979489266872406)","(45.355735778808594, 250.9943084716797, 84.51741027832031)",1,3.474349975585937,1,"(-24.838031768798828, 59.4525260925293, 570.6392822265625)",1,"(0.5795950889587402, 0.17001312971115112)","(45.17341995239258, 253.86521911621094, 85.56236267089844)",1,3.3852081298828125,1,"(37.40743637084961, 64.88178253173828, 570.5484619140625)",1
1238447766,2902027839804,"(0.5800396800041199, 0.18145504593849182)","(45.42027282714844, 250.50706481933594, 84.34008026123047)",1,3.47930908203125,1,"(-24.837873458862305, 59.44188690185547, 570.5715942382812)",1,"(0.5778722167015076, 0.1702500432729721)","(44.216819763183594, 253.7957000732422, 85.53705596923828)",1,3.392196655273437,1,"(37.39986801147461, 64.86339569091797, 570.47119140625)",1
1238464653,2902027856691,"(0.5804991722106934, 0.18353724479675293)","(45.67543029785156, 249.89596557617188, 84.1176528930664)",1,3.49041748046875,1,"(-24.831682205200195, 59.405879974365234, 570.370849609375)",1,"(0.5783928036689758, 0.16948075592517853)","(44.50591278076172, 254.02145385742188, 85.6192398071289)",1,3.4015350341796875,1,"(37.383697509765625, 64.80459594726562, 570.2713623046875)",1
1238481046,2902027873084,"(0.5805500745773315, 0.18402865529060364)","(45.70372772216797, 249.751708984375, 84.0651626586914)",1,3.4946441650390625,1,"(-24.8188533782959, 59.37731170654297, 570.238525390625)",1,"(0.578549861907959, 0.1699753999710083)","(44.593101501464844, 253.8762969970703, 85.56639099121094)",1,3.3994598388671875,1,"(37.378047943115234, 64.77824401855469, 570.1480712890625)",1
1238497680,2902027889718,"(0.580415666103363, 0.1863524168729782)","(45.62908172607422, 249.06968688964844, 83.81695556640625)",1,3.5092010498046875,1,"(-24.79088592529297, 59.35660934448242, 570.1968994140625)",1,"(0.5779913067817688, 0.16966111958026886)","(44.28293228149414, 253.96856689453125, 85.59994506835938)",1,3.4160614013671875,1,"(37.410152435302734, 64.7412109375, 570.101806640625)",1
1238514573,2902027906612,"(0.5805521607398987, 0.1857994794845581)","(45.704856872558594, 249.2320098876953, 83.8759765625)",1,3.5137939453125,1,"(-24.723726272583008, 59.35707092285156, 570.2745971679688)",1,"(0.5785391926765442, 0.169984370470047)","(44.58713912963867, 253.87364196777344, 85.56546783447266)",1,3.4254913330078125,1,"(37.480262756347656, 64.73381042480469, 570.1785278320312)",1
1238530914,2902027922953,"(0.5801813006401062, 0.1851058304309845)","(45.498966217041016, 249.43556213378906, 83.95008850097656)",1,3.50970458984375,1,"(-24.667177200317383, 59.369354248046875, 570.4098510742188)",1,"(0.5806326866149902, 0.16878658533096313)","(45.749576568603516, 254.22518920898438, 85.69340515136719)",1,3.443511962890625,1,"(37.530540466308594, 64.7281494140625, 570.2819213867188)",1
1238547596,2902027939635,"(0.5811845064163208, 0.187349334359169)","(46.0560188293457, 248.77711486816406, 83.71044921875)",1,3.5240631103515625,1,"(-24.56989288330078, 59.40697479248047, 570.7284545898438)",1,"(0.57939213514328, 0.16848042607307434)","(45.06074905395508, 254.3150634765625, 85.72611236572266)",1,3.448593139648437,1,"(37.689640045166016, 64.77181243896484, 570.6275634765625)",1
1238564493,2902027956532,"(0.5814273953437805, 0.18436670303344727)","(46.19087600708008, 249.65249633789062, 84.0290756225586)",1,3.53436279296875,1,"(-24.460166931152344, 59.450836181640625, 571.1375122070312)",1,"(0.5789757370948792, 0.16942493617534637)","(44.82958221435547, 254.03785705566406, 85.62518310546875)",1,3.46246337890625,1,"(37.83616256713867, 64.80767059326172, 570.990234375)",1
1238580880,2902027972919,"(0.5806139707565308, 0.18664787709712982)","(45.739219665527344, 248.98297119140625, 83.78540802001953)",1,3.549179077148437,1,"(-24.408971786499023, 59.46695327758789, 571.2947998046875)",1,"(0.5772004723548889, 0.17001056671142578)","(43.84383010864258, 253.865966796875, 85.5626220703125)",1,3.4779205322265625,1,"(37.913795471191406, 64.8177490234375, 571.1240844726562)",1
1238597512,2902027989551,"(0.5802721381187439, 0.1834162473678589)","(45.54934310913086, 249.9314422607422, 84.13059997558594)",1,3.549468994140625,1,"(-24.34794044494629, 59.45758056640625, 571.19140625)",1,"(0.5778642296791077, 0.16934692859649658)","(44.212371826171875, 254.06077575683594, 85.63352966308594)",1,3.4770050048828125,1,"(37.951202392578125, 64.79434204101562, 570.9912719726562)",1
1238614413,2902028006452,"(0.5809179544448853, 0.1839539259672165)","(45.90800094604492, 249.77362060546875, 84.07318115234375)",1,3.5491485595703125,1,"(-24.355327606201172, 59.441871643066406, 571.0285034179688)",1,"(0.5771725177764893, 0.16849473118782043)","(43.82829284667969, 254.3108367919922, 85.7245864868164)",1,3.49114990234375,1,"(37.92656326293945, 64.7717514038086, 570.8370361328125)",1
1238630750,2902028022790,"(0.5813278555870056, 0.18417944014072418)","(46.13561248779297, 249.7074432373047, 84.04908752441406)",1,3.5595245361328125,1,"(-24.39379119873047, 59.42909240722656, 570.9888305664062)",1,"(0.5768876671791077, 0.1706392616033554)","(43.67013168334961, 253.68141174316406, 85.49549102783203)",1,3.5067291259765625,1,"(37.89810562133789, 64.76272583007812, 570.806884765625)",1
1238647427,2902028039467,"(0.5808409452438354, 0.18485741317272186)","(45.86525344848633, 249.5084686279297, 83.97664642333984)",1,3.5631103515625,1,"(-24.478036880493164, 59.42229461669922, 570.9655151367188)",1,"(0.577886164188385, 0.17240306735038757)","(44.22453689575195, 253.16378784179688, 85.30707550048828)",1,3.5165557861328125,1,"(37.79433822631836, 64.76547241210938, 570.787109375)",1
1238664333,2902028056373,"(0.5834912657737732, 0.21688927710056305)","(47.336830139160156, 240.10726928710938, 80.55486297607422)",1,3.5689849853515625,1,"(-24.522584915161133, 59.350433349609375, 570.8838500976562)",1,"(0.5814565420150757, 0.20406268537044525)","(46.20702362060547, 243.87181091308594, 81.925048828125)",1,3.526214599609375,1,"(37.696617126464844, 64.70191192626953, 570.7342529296875)",1
1238680716,2902028072756,"(0.5902441143989563, 0.25114303827285767)","(51.08638381958008, 230.05389404296875, 76.895751953125)",1,3.56597900390625,1,"(-24.541826248168945, 59.28511047363281, 570.9634399414062)",1,"(0.5849157571792603, 0.23698824644088745)","(48.12779998779297, 234.20828247070312, 78.40776824951172)",1,3.540283203125,1,"(37.65873336791992, 64.64591979980469, 570.8129272460938)",1
1238697343,2902028089383,"(0.5907605886459351, 0.26410049200057983)","(51.37319564819336, 226.25094604492188, 75.5115737915039)",1,3.585723876953125,1,"(-24.60567855834961, 59.268409729003906, 571.0635986328125)",1,"(0.5858549475669861, 0.2557843029499054)","(48.64929962158203, 228.6917266845703, 76.39997100830078)",1,3.54473876953125,1,"(37.63737487792969, 64.64714813232422, 570.9262084960938)",1
1238714253,2902028106293,"(0.5921699404716492, 0.26578062772750854)","(52.155757904052734, 225.75784301757812, 75.33210754394531)",1,3.598861694335937,1,"(-24.64274787902832, 59.2752685546875, 571.1256713867188)",1,"(0.5849620699882507, 0.2584611475467682)","(48.153526306152344, 227.90606689453125, 76.11402130126953)",1,3.5531158447265625,1,"(37.628299713134766, 64.66649627685547, 570.9810180664062)",1
1238730586,2902028122627,"(0.5922914743423462, 0.2676331698894501)","(52.223236083984375, 225.21412658691406, 75.13422393798828)",1,3.5902099609375,1,"(-24.65111541748047, 59.27854537963867, 571.2093505859375)",1,"(0.5855953693389893, 0.25722551345825195)","(48.50510025024414, 228.2687530517578, 76.24602508544922)",1,3.568115234375,1,"(37.63236999511719, 64.67202758789062, 571.0637817382812)",1
1238747257,2902028139298,"(0.5920746922492981, 0.2694249451160431)","(52.10280990600586, 224.68824768066406, 74.94278717041016)",1,3.5953826904296875,1,"(-24.654829025268555, 59.264278411865234, 571.2564697265625)",1,"(0.5860165953636169, 0.25671061873435974)","(48.73903274536133, 228.4198455810547, 76.30098724365234)",1,3.567047119140625,1,"(37.634857177734375, 64.65436553955078, 571.114013671875)",1
1238764173,2902028156214,"(0.5931519865989685, 0.2698787748813629)","(52.70103454589844, 224.55503845214844, 74.89433288574219)",1,3.5959930419921875,1,"(-24.671342849731445, 59.225337982177734, 571.3184814453125)",1,"(0.5882161855697632, 0.2565816044807434)","(49.960411071777344, 228.4577178955078, 76.3147964477539)",1,3.56622314453125,1,"(37.62845230102539, 64.6103515625, 571.17041015625)",1
1238780552,2902028172593,"(0.5912247896194458, 0.2672403156757355)","(51.63093185424805, 225.32943725585938, 75.17619323730469)",1,3.607376098632813,1,"(-24.681324005126953, 59.18977355957031, 571.3318481445312)",1,"(0.5876759886741638, 0.2552470862865448)","(49.660430908203125, 228.84938049316406, 76.45735931396484)",1,3.5656890869140625,1,"(37.62013244628906, 64.57463073730469, 571.1925048828125)",1
1238797173,2902028189214,"(0.5920328497886658, 0.2651025056838989)","(52.0796012878418, 225.9568634033203, 75.40455627441406)",1,3.604202270507813,1,"(-24.71398162841797, 59.16017532348633, 571.41162109375)",1,"(0.586848258972168, 0.2592930197715759)","(49.200836181640625, 227.66192626953125, 76.02513122558594)",1,3.5564727783203125,1,"(37.604366302490234, 64.54891204833984, 571.2797241210938)",1
1238814093,2902028206134,"(0.5903863906860352, 0.26766204833984375)","(51.165374755859375, 225.20565795898438, 75.13114166259766)",1,3.6020660400390625,1,"(-24.742918014526367, 59.14850616455078, 571.4093627929688)",1,"(0.5868140459060669, 0.26162806153297424)","(49.18185806274414, 226.97659301757812, 75.77571105957031)",1,3.5439453125,1,"(37.587608337402344, 64.53675079345703, 571.2796020507812)",1
1238830421,2902028222462,"(0.5751700401306152, 0.27549803256988525)","(42.716426849365234, 222.90579223632812, 74.2940673828125)",1,3.595733642578125,1,"(-24.840959548950195, 59.1552734375, 571.5615234375)",1,"(0.5790390372276306, 0.2627899944782257)","(44.864742279052734, 226.6355743408203, 75.651611328125)",1,3.5435791015625,1,"(37.529972076416016, 64.54149627685547, 571.3878173828125)",1
1238847089,2902028239131,"(0.4753008782863617, 0.2873227596282959)","(-12.736623764038086, 219.435302734375, 73.0308837890625)",1,3.602325439453125,1,"(-25.25010871887207, 59.034263610839844, 570.747314453125)",1,"(0.4765082597732544, 0.27233004570007324)","(-12.066219329833984, 223.83560180664062, 74.63247680664062)",1,3.550048828125,1,"(36.9462776184082, 64.42564392089844, 570.4628295898438)",1
1238864013,2902028256055,"(0.3797852396965027, 0.26449546217918396)","(-65.7723617553711, 226.13502502441406, 75.46939849853516)",1,3.57232666015625,1,"(-25.68353843688965, 58.93372344970703, 569.8142700195312)",1,"(0.38393065333366394, 0.2642824947834015)","(-63.470577239990234, 226.19754028320312, 75.49214935302734)",1,3.546112060546875,1,"(36.41645050048828, 64.38763427734375, 569.7671508789062)",1
1238880387,2902028272429,"(0.3674895465373993, 0.2662607729434967)","(-72.59963989257812, 225.61692810058594, 75.28085327148438)",1,3.575927734375,1,"(-25.70323371887207, 58.888614654541016, 569.074462890625)",1,"(0.36324071884155273, 0.2715182900428772)","(-74.95880889892578, 224.0738525390625, 74.71920776367188)",1,3.53826904296875,1,"(36.28593444824219, 64.3492202758789, 569.1698608398438)",1
1238897004,2902028289046,"(0.36673957109451294, 0.27037283778190613)","(-73.01605224609375, 224.41001892089844, 74.84156799316406)",1,3.571685791015625,1,"(-25.622053146362305, 58.8955192565918, 568.7144775390625)",1,"(0.36454737186431885, 0.2666133940219879)","(-74.23326873779297, 225.513427734375, 75.24311828613281)",1,3.5242156982421875,1,"(36.36511993408203, 64.33740997314453, 568.832763671875)",1
1238913929,2902028305971,"(0.3655697703361511, 0.27085986733436584)","(-73.66558837890625, 224.26708984375, 74.78949737548828)",1,3.5713653564453125,1,"(-25.64029884338379, 58.97410202026367, 569.21923828125)",1,"(0.362678200006485, 0.26731154322624207)","(-75.27112579345703, 225.30850219726562, 75.1686019897461)",1,3.5306854248046875,1,"(36.412742614746094, 64.40896606445312, 569.1954956054688)",1
1238930257,2902028322299,"(0.367007851600647, 0.2731436491012573)","(-72.86708068847656, 223.59681701660156, 74.54554748535156)",1,3.57574462890625,1,"(-25.660442352294922, 58.9820671081543, 569.26611328125)",1,"(0.3627406358718872, 0.26572394371032715)","(-75.2364730834961, 225.7744598388672, 75.33819580078125)",1,3.527328491210937,1,"(36.41432571411133, 64.42498016357422, 569.254638671875)",1
1238946920,2902028338963,"(0.36652708053588867, 0.2719985246658325)","(-73.134033203125, 223.93289184570312, 74.66789245605469)",1,3.58001708984375,1,"(-25.727317810058594, 58.97993850708008, 569.3753051757812)",1,"(0.36646872758865356, 0.26446694135665894)","(-73.16641998291016, 226.1433868408203, 75.47247314453125)",1,3.528182983398437,1,"(36.36471939086914, 64.41007232666016, 569.3875732421875)",1
1238963849,2902028355892,"(0.3643553555011749, 0.27038827538490295)","(-74.33988189697266, 224.40550231933594, 74.83992004394531)",1,3.5922088623046875,1,"(-25.823591232299805, 58.95939636230469, 569.6409912109375)",1,"(0.36527058482170105, 0.26623600721359253)","(-73.83171844482422, 225.62417602539062, 75.28348541259766)",1,3.54083251953125,1,"(36.316402435302734, 64.4032974243164, 569.6439819335938)",1
1238980223,2902028372266,"(0.3652631342411041, 0.27211955189704895)","(-73.8358383178711, 223.8973846435547, 74.65499114990234)",1,3.596710205078125,1,"(-25.878080368041992, 58.94434356689453, 569.7572631835938)",1,"(0.36301273107528687, 0.2677491009235382)","(-75.08539581298828, 225.18008422851562, 75.12185668945312)",1,3.538192749023437,1,"(36.29533767700195, 64.3927230834961, 569.7614135742188)",1
1238996834,2902028388877,"(0.36356213688850403, 0.27421167492866516)","(-74.78033447265625, 223.2833709716797, 74.43151092529297)",1,3.607574462890625,1,"(-25.936838150024414, 58.92163848876953, 569.943603515625)",1,"(0.3624398112297058, 0.2652503252029419)","(-75.40351867675781, 225.91346740722656, 75.3887710571289)",1,3.5511474609375,1,"(36.262481689453125, 64.36750030517578, 569.9676513671875)",1
1239013769,2902028405812,"(0.3630111515522003, 0.2756233215332031)","(-75.08627319335938, 222.86904907226562, 74.28070068359375)",1,3.612747192382813,1,"(-25.963489532470703, 58.89011764526367, 569.9405517578125)",1,"(0.3624265789985657, 0.26361528038978577)","(-75.41087341308594, 226.39334106445312, 75.56339263916016)",1,3.5570526123046875,1,"(36.24394226074219, 64.34058380126953, 569.962158203125)",1
1239030189,2902028422232,"(0.3622283339500427, 0.2729858160018921)","(-75.52092742919922, 223.64312744140625, 74.56245422363281)",1,3.626617431640625,1,"(-25.964380264282227, 58.8714599609375, 569.8948974609375)",1,"(0.3637431263923645, 0.262649804353714)","(-74.67984771728516, 226.67672729492188, 75.6665267944336)",1,3.559295654296875,1,"(36.23744201660156, 64.32394409179688, 569.9200439453125)",1
1239046750,2902028438793,"(0.3619305491447449, 0.2740596830844879)","(-75.68627166748047, 223.3279571533203, 74.44772338867188)",1,3.64178466796875,1,"(-25.96273422241211, 58.862064361572266, 569.81103515625)",1,"(0.3640111982822418, 0.26146310567855835)","(-74.53099822998047, 227.02503967285156, 75.79331970214844)",1,3.5671844482421875,1,"(36.22626876831055, 64.3306655883789, 569.8280639648438)",1
1239063689,2902028455733,"(0.3333636522293091, 0.2447371929883957)","(-91.54825592041016, 231.93399047851562, 77.58006286621094)",1,3.642730712890625,1,"(-26.03644561767578, 58.892303466796875, 569.6548461914062)",1,"(0.33929672837257385, 0.2330215573310852)","(-88.25386047363281, 235.3724822998047, 78.83155059814453)",1,3.5786895751953125,1,"(36.08180236816406, 64.37684631347656, 569.6693115234375)",1
1239080057,2902028472101,"(0.32745251059532166, 0.24119514226913452)","(-94.8304443359375, 232.9735565185547, 77.95843505859375)",1,3.651077270507813,1,"(-26.069290161132812, 58.89475631713867, 569.50732421875)",1,"(0.33120661973953247, 0.22769135236740112)","(-92.7459487915039, 236.93690490722656, 79.40095520019531)",1,3.5801544189453125,1,"(36.01443099975586, 64.38478088378906, 569.542236328125)",1
1239096666,2902028488710,"(0.3305167257785797, 0.2465178370475769)","(-93.12904357910156, 231.41139221191406, 77.38984680175781)",1,3.668548583984375,1,"(-26.11235237121582, 58.92061233520508, 569.8142700195312)",1,"(0.33390483260154724, 0.2340291440486908)","(-91.24773406982422, 235.07675170898438, 78.72393035888672)",1,3.603851318359375,1,"(36.03860092163086, 64.42229461669922, 569.885498046875)",1
1239113609,2902028505653,"(0.32916688919067383, 0.246364563703537)","(-93.8785400390625, 231.4563751220703, 77.40620422363281)",1,3.6849517822265625,1,"(-26.154409408569336, 58.922672271728516, 569.8818359375)",1,"(0.3326641917228699, 0.23513337969779968)","(-91.93660736083984, 234.75265502929688, 78.60594940185547)",1,3.611404418945313,1,"(36.013702392578125, 64.43313598632812, 569.91845703125)",1
1239130023,2902028522067,"(0.32778462767601013, 0.24654679000377655)","(-94.64603424072266, 231.40289306640625, 77.38677215576172)",1,3.685348510742188,1,"(-26.174800872802734, 58.91726303100586, 569.8670654296875)",1,"(0.3332231938838959, 0.23551248013973236)","(-91.62623596191406, 234.6414337158203, 78.56546783447266)",1,3.629928588867188,1,"(35.994407653808594, 64.43284606933594, 569.9091186523438)",1
1239146581,2902028538625,"(0.3267653286457062, 0.24604187905788422)","(-95.21199798583984, 231.55108642578125, 77.4406967163086)",1,3.6891937255859375,1,"(-26.203886032104492, 58.9239501953125, 569.9427490234375)",1,"(0.33272019028663635, 0.23479193449020386)","(-91.9055404663086, 234.8529052734375, 78.64240264892578)",1,3.6263275146484375,1,"(35.969017028808594, 64.44453430175781, 569.9987182617188)",1
