device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1296321956,2902085714469,"(0.6683810949325562, 0.2536884546279907)","(94.47247314453125, 229.3068389892578, 76.62385559082031)",1,3.4666290283203125,1,"(-26.79056739807129, 60.26207733154297, 582.924072265625)",1,"(0.6672096848487854, 0.22046494483947754)","(93.82203674316406, 239.0578155517578, 80.17288970947266)",1,3.374114990234375,1,"(35.56071472167969, 67.24488830566406, 583.2133178710938)",1
1296338312,2902085730825,"(0.6680421829223633, 0.2502124011516571)","(94.28430938720703, 230.3270263671875, 76.99518585205078)",1,3.468246459960937,1,"(-26.75984764099121, 60.244998931884766, 583.181884765625)",1,"(0.6660868525505066, 0.2204025238752365)","(93.19855499267578, 239.07614135742188, 80.17955017089844)",1,3.3786773681640625,1,"(35.621803283691406, 67.2324447631836, 583.4530029296875)",1
1296354983,2902085747496,"(0.6692367792129517, 0.24557329714298248)","(94.94761657714844, 231.68858337402344, 77.49076080322266)",1,3.4703826904296875,1,"(-26.703536987304688, 60.23171615600586, 583.3425903320312)",1,"(0.6682013869285583, 0.21676886081695557)","(94.37268829345703, 240.14259338378906, 80.56774139404297)",1,3.382293701171875,1,"(35.71011734008789, 67.21235656738281, 583.6159057617188)",1
1296371876,2902085764389,"(0.6678028106689453, 0.2474086433649063)","(94.15138244628906, 231.14993286132812, 77.29468536376953)",1,3.4835968017578125,1,"(-26.625051498413086, 60.26618957519531, 583.5767822265625)",1,"(0.6665363311767578, 0.21672961115837097)","(93.44817352294922, 240.15408325195312, 80.57192993164062)",1,3.385467529296875,1,"(35.799949645996094, 67.23966979980469, 583.8370971679688)",1
1296388181,2902085780694,"(0.6676914095878601, 0.2505239248275757)","(94.08953094482422, 230.23562622070312, 76.96187591552734)",1,3.477142333984375,1,"(-26.586849212646484, 60.3173713684082, 583.8320922851562)",1,"(0.6647148132324219, 0.2178991585969925)","(92.43673706054688, 239.8108367919922, 80.44702911376953)",1,3.3896636962890625,1,"(35.87382507324219, 67.28083801269531, 584.079345703125)",1
1296404899,2902085797412,"(0.6689316034317017, 0.24956196546554565)","(94.77813720703125, 230.51795959472656, 77.06462860107422)",1,3.471954345703125,1,"(-26.506441116333008, 60.361934661865234, 583.8980712890625)",1,"(0.6665940284729004, 0.21114130318164825)","(93.4802017211914, 241.7942657470703, 81.16888427734375)",1,3.388412475585937,1,"(35.962398529052734, 67.30924987792969, 584.134033203125)",1
1296421796,2902085814310,"(0.6706165075302124, 0.24977906048297882)","(95.71371459960938, 230.45423889160156, 77.04145812988281)",1,3.476776123046875,1,"(-26.42449188232422, 60.40283966064453, 583.906005859375)",1,"(0.6662735342979431, 0.21370829641819)","(93.30220031738281, 241.04087829589844, 80.89469146728516)",1,3.3819732666015625,1,"(36.0399169921875, 67.34439849853516, 584.1423950195312)",1
1296438147,2902085830661,"(0.6703366041183472, 0.24544177949428558)","(95.55831909179688, 231.72718811035156, 77.50481414794922)",1,3.488555908203125,1,"(-26.38204574584961, 60.4370231628418, 584.0243530273438)",1,"(0.6643108129501343, 0.21755146980285645)","(92.2124252319336, 239.9129180908203, 80.48413848876953)",1,3.39739990234375,1,"(36.096073150634766, 67.38570404052734, 584.2509765625)",1
1296454815,2902085847329,"(0.6697612404823303, 0.24684682488441467)","(95.23881530761719, 231.3148193359375, 77.35472106933594)",1,3.497177124023437,1,"(-26.322084426879883, 60.51036071777344, 584.0062866210938)",1,"(0.6664905548095703, 0.21741145849227905)","(93.42272186279297, 239.95399475097656, 80.49909973144531)",1,3.4023895263671875,1,"(36.14527893066406, 67.45795440673828, 584.2151489257812)",1
1296471722,2902085864236,"(0.6701486110687256, 0.25163403153419495)","(95.45389556884766, 229.90980529785156, 76.84332275390625)",1,3.507919311523437,1,"(-26.287073135375977, 60.61293029785156, 584.0414428710938)",1,"(0.6655217409133911, 0.21697235107421875)","(92.88480377197266, 240.0828399658203, 80.54600524902344)",1,3.415756225585937,1,"(36.181880950927734, 67.5634765625, 584.254638671875)",1
1296488017,2902085880531,"(0.6695220470428467, 0.2489713728427887)","(95.10601043701172, 230.69126892089844, 77.12776184082031)",1,3.509552001953125,1,"(-26.284536361694336, 60.68926239013672, 584.2608642578125)",1,"(0.6677307486534119, 0.2146817445755005)","(94.11134338378906, 240.75515747070312, 80.79070281982422)",1,3.4248504638671875,1,"(36.19801330566406, 67.65554809570312, 584.4402465820312)",1
1296504730,2902085897244,"(0.6692912578582764, 0.25052985548973083)","(94.97785186767578, 230.23385620117188, 76.96125030517578)",1,3.5100555419921875,1,"(-26.30141830444336, 60.8562126159668, 584.7883911132812)",1,"(0.6672948002815247, 0.2149377465248108)","(93.86931610107422, 240.6800079345703, 80.76334381103516)",1,3.450439453125,1,"(36.250823974609375, 67.87043762207031, 585.0416870117188)",1
1296521642,2902085914156,"(0.6709771156311035, 0.24721060693264008)","(95.9139175415039, 231.20806884765625, 77.31583404541016)",1,3.526458740234375,1,"(-26.344589233398438, 61.033050537109375, 585.442138671875)",1,"(0.6662103533744812, 0.2115049809217453)","(93.26716613769531, 241.68753051757812, 81.13003540039062)",1,3.45458984375,1,"(36.28614044189453, 68.05533599853516, 585.650146484375)",1
1296537983,2902085930497,"(0.6714596748352051, 0.25002798438072205)","(96.18184661865234, 230.3811492919922, 77.01486206054688)",1,3.5350341796875,1,"(-26.374679565429688, 61.119102478027344, 585.7520141601562)",1,"(0.6647921800613403, 0.21070817112922668)","(92.4797134399414, 241.92138671875, 81.21512603759766)",1,3.456146240234375,1,"(36.30535125732422, 68.15186309814453, 585.9520263671875)",1
1296554646,2902085947160,"(0.6713706851005554, 0.24885988235473633)","(96.1324462890625, 230.72401428222656, 77.1396484375)",1,3.541732788085937,1,"(-26.422361373901367, 61.186683654785156, 585.9390258789062)",1,"(0.6673315763473511, 0.2132033258676529)","(93.88972473144531, 241.18905639648438, 80.94862365722656)",1,3.470321655273437,1,"(36.28575897216797, 68.26087188720703, 586.1612548828125)",1
1296571566,2902085964080,"(0.6718209385871887, 0.24850140511989594)","(96.3824462890625, 230.8292236328125, 77.1779556274414)",1,3.553466796875,1,"(-26.476102828979492, 61.20151901245117, 585.873779296875)",1,"(0.6654825806617737, 0.21255742013454437)","(92.86309814453125, 241.37863159179688, 81.01759338378906)",1,3.486724853515625,1,"(36.25386047363281, 68.28569030761719, 586.1099243164062)",1
1296587949,2902085980463,"(0.6725565195083618, 0.24894538521766663)","(96.79093933105469, 230.6988983154297, 77.1305160522461)",1,3.5633544921875,1,"(-26.510549545288086, 61.183841705322266, 585.8301391601562)",1,"(0.6649715304374695, 0.2092639058828354)","(92.57933044433594, 242.34527587890625, 81.36942291259766)",1,3.4967803955078125,1,"(36.238380432128906, 68.28951263427734, 586.0811767578125)",1
1296604560,2902085997074,"(0.6707029938697815, 0.24801723659038544)","(95.76173400878906, 230.97132873535156, 77.22966766357422)",1,3.5688934326171875,1,"(-26.544710159301758, 61.11024856567383, 585.6888427734375)",1,"(0.6644298434257507, 0.21098054945468903)","(92.278564453125, 241.8414306640625, 81.18606567382812)",1,3.504379272460937,1,"(36.198307037353516, 68.2342300415039, 585.9227905273438)",1
1296621486,2902086014000,"(0.6712788939476013, 0.24687393009662628)","(96.08152770996094, 231.306884765625, 77.35181427001953)",1,3.579376220703125,1,"(-26.555753707885742, 60.954002380371094, 585.39013671875)",1,"(0.6634079813957214, 0.2112046778202057)","(91.71114349365234, 241.77565002441406, 81.1621322631836)",1,3.5154266357421875,1,"(36.182525634765625, 68.10134887695312, 585.6437377929688)",1
1296637817,2902086030331,"(0.6718590259552002, 0.245882049202919)","(96.40361785888672, 231.59799194335938, 77.457763671875)",1,3.580230712890625,1,"(-26.543813705444336, 60.84264373779297, 585.1891479492188)",1,"(0.6630315780639648, 0.21247009932994843)","(91.5021743774414, 241.40426635742188, 81.0269546508789)",1,3.512420654296875,1,"(36.18701934814453, 68.0103530883789, 585.4638061523438)",1
1296654476,2902086046990,"(0.6640428900718689, 0.25134772062301636)","(92.0636978149414, 229.99380493164062, 76.87389373779297)",1,3.590423583984375,1,"(-26.560544967651367, 60.6526985168457, 584.856689453125)",1,"(0.6557917594909668, 0.21308934688568115)","(87.48213958740234, 241.2225341796875, 80.96078491210938)",1,3.53045654296875,1,"(36.12508773803711, 67.81206512451172, 585.085205078125)",1
1296671406,2902086063921,"(0.6021504998207092, 0.27201026678085327)","(57.69755935668945, 223.92945861816406, 74.66664123535156)",1,3.60150146484375,1,"(-26.873249053955078, 60.51588821411133, 585.2407836914062)",1,"(0.598329484462738, 0.23204487562179565)","(55.575870513916016, 235.6591339111328, 78.93590545654297)",1,3.555328369140625,1,"(35.851375579833984, 67.7022476196289, 585.4361572265625)",1
1296687783,2902086080298,"(0.5893357992172241, 0.2751719355583191)","(50.582027435302734, 223.0015411376953, 74.32892608642578)",1,3.59808349609375,1,"(-26.95882797241211, 60.365299224853516, 584.821044921875)",1,"(0.5809590816497803, 0.24249602854251862)","(45.93080139160156, 232.5917510986328, 77.81948852539062)",1,3.5587158203125,1,"(35.734619140625, 67.6031723022461, 585.2457885742188)",1
1296704392,2902086096907,"(0.5932208895683289, 0.27379119396209717)","(52.739261627197266, 223.4067840576172, 74.47638702392578)",1,3.60162353515625,1,"(-26.99042510986328, 60.182743072509766, 584.3439331054688)",1,"(0.5847389101982117, 0.24340297281742096)","(48.029571533203125, 232.32559204101562, 77.72257995605469)",1,3.5618133544921875,1,"(35.66341781616211, 67.4211654663086, 584.7063598632812)",1
1296721322,2902086113837,"(0.5891522765159607, 0.2818586826324463)","(50.48013687133789, 221.0389862060547, 73.61459350585938)",1,3.624588012695313,1,"(-27.066577911376953, 60.01579284667969, 584.1605834960938)",1,"(0.5819317698478699, 0.24604421854019165)","(46.47090148925781, 231.55039978027344, 77.44043731689453)",1,3.5741119384765625,1,"(35.57024002075195, 67.28050994873047, 584.4646606445312)",1
1296737653,2902086130168,"(0.5899840593338013, 0.28087571263313293)","(50.94196701049805, 221.32749938964844, 73.71959686279297)",1,3.622894287109375,1,"(-27.11787986755371, 59.89848327636719, 583.8096923828125)",1,"(0.5822452902793884, 0.2464849203824997)","(46.64498519897461, 231.42103576660156, 77.39335632324219)",1,3.5775146484375,1,"(35.492431640625, 67.18081665039062, 584.1508178710938)",1
1296754307,2902086146821,"(0.5901982188224792, 0.28316473960876465)","(51.06086730957031, 220.65570068359375, 73.47506713867188)",1,3.6151123046875,1,"(-27.22985076904297, 59.768760681152344, 583.2572021484375)",1,"(0.5802090764045715, 0.24834994971752167)","(45.51438522338867, 230.8736572265625, 77.19412994384766)",1,3.564422607421875,1,"(35.30516052246094, 67.02313232421875, 583.54248046875)",1
1296771236,2902086163750,"(0.589889645576477, 0.2872249484062195)","(50.88957595825195, 219.46401977539062, 73.0413589477539)",1,3.6107025146484375,1,"(-27.39404296875, 59.683197021484375, 582.6082763671875)",1,"(0.5807097554206848, 0.24917452037334442)","(45.79238510131836, 230.63165283203125, 77.10604858398438)",1,3.566192626953125,1,"(35.07880783081055, 66.94442749023438, 582.9584350585938)",1
1296787619,2902086180134,"(0.5902097225189209, 0.28434517979621887)","(51.067291259765625, 220.3092041015625, 73.3489761352539)",1,3.606399536132813,1,"(-27.52522850036621, 59.655914306640625, 582.2562866210938)",1,"(0.5818902254104614, 0.24623329937458038)","(46.44782638549805, 231.49488830566406, 77.42021942138672)",1,3.5761871337890625,1,"(34.91843795776367, 66.91423797607422, 582.6376953125)",1
1296804223,2902086196738,"(0.5906678438186646, 0.2849409878253937)","(51.321678161621094, 220.13433837890625, 73.28533172607422)",1,3.609207153320313,1,"(-27.76725959777832, 59.65507125854492, 581.8145141601562)",1,"(0.580220639705658, 0.25279608368873596)","(45.52079772949219, 229.56874084472656, 76.71918487548828)",1,3.5822296142578125,1,"(34.59777069091797, 66.92176055908203, 582.1724853515625)",1
1296821156,2902086213671,"(0.5340197086334229, 0.24701909720897675)","(19.867385864257812, 231.26426696777344, 77.33629608154297)",1,3.637939453125,1,"(-28.289928436279297, 59.71990203857422, 581.2066650390625)",1,"(0.5349696278572083, 0.20900623500347137)","(20.394859313964844, 242.4208984375, 81.39697265625)",1,3.59521484375,1,"(34.00074768066406, 67.0087890625, 581.6286010742188)",1
1296837489,2902086230004,"(0.45731282234191895, 0.18514956533908844)","(-22.7246150970459, 249.4227294921875, 83.94541931152344)",1,3.6279144287109375,1,"(-28.777347564697266, 59.85356140136719, 580.6255493164062)",1,"(0.47742217779159546, 0.14432767033576965)","(-11.558757781982422, 261.4037780761719, 88.3061752319336)",1,3.61737060546875,1,"(33.40839385986328, 67.13115692138672, 581.0950927734375)",1
