device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1423351459,2902212745039,"(0.4666184186935425, 0.41271600127220154)","(-17.557613372802734, 182.63287353515625, 59.63587188720703)",1,3.4412078857421875,1,"(-29.864513397216797, 41.724281311035156, 588.9767456054688)",1,"(0.46835675835609436, 0.41383984684944153)","(-16.592395782470703, 182.30303955078125, 59.515865325927734)",1,3.296600341796875,1,"(32.235355377197266, 48.27332305908203, 589.297119140625)",1
1423368247,2902212761827,"(0.46979016065597534, 0.42910435795783997)","(-15.796485900878906, 177.82293701171875, 57.885250091552734)",1,3.4107818603515625,1,"(-29.80006980895996, 41.727996826171875, 588.5884399414062)",1,"(0.4657091200351715, 0.4199542701244354)","(-18.062536239624023, 180.5084686279297, 58.862701416015625)",1,3.2919158935546875,1,"(32.26271057128906, 48.29888153076172, 588.9322509765625)",1
1423384605,2902212778185,"(0.4706270694732666, 0.4297395646572113)","(-15.331802368164062, 177.63653564453125, 57.817378997802734)",1,3.412826538085937,1,"(-29.771032333374023, 41.73596954345703, 588.4521484375)",1,"(0.4659571349620819, 0.4189145267009735)","(-17.924808502197266, 180.81365966796875, 58.97378158569336)",1,3.27886962890625,1,"(32.28522491455078, 48.30915069580078, 588.8046875)",1
1423401278,2902212794859,"(0.47310057282447815, 0.4271165430545807)","(-13.958357810974121, 178.4063720703125, 58.09758758544922)",1,3.4110565185546875,1,"(-29.736608505249023, 41.716583251953125, 588.2767333984375)",1,"(0.46631404757499695, 0.4181777536869049)","(-17.72661781311035, 181.0298614501953, 59.0524787902832)",1,3.281463623046875,1,"(32.3112907409668, 48.2917366027832, 588.6040649414062)",1
1423418162,2902212811743,"(0.4678665101528168, 0.4291762411594391)","(-16.86460304260254, 177.80184936523438, 57.87755584716797)",1,3.40362548828125,1,"(-29.65494728088379, 41.66592788696289, 588.04931640625)",1,"(0.46640461683273315, 0.41962265968322754)","(-17.676355361938477, 180.6058349609375, 58.89810562133789)",1,3.280426025390625,1,"(32.3382453918457, 48.229679107666016, 588.406982421875)",1
1423434475,2902212828056,"(0.4662981331348419, 0.43102607131004333)","(-17.735469818115234, 177.25894165039062, 57.67994689941406)",1,3.4095458984375,1,"(-29.624353408813477, 41.62644958496094, 588.0449829101562)",1,"(0.46937263011932373, 0.4137455224990845)","(-16.028324127197266, 182.3307342529297, 59.52592849731445)",1,3.2692413330078125,1,"(32.35098648071289, 48.16848373413086, 588.3688354492188)",1
1423451194,2902212844776,"(0.4655914902687073, 0.4304926097393036)","(-18.1278133392334, 177.41552734375, 57.7369384765625)",1,3.397064208984375,1,"(-29.56207847595215, 41.553611755371094, 587.9765014648438)",1,"(0.4665085971355438, 0.42229318618774414)","(-17.618589401245117, 179.82200622558594, 58.61286163330078)",1,3.25732421875,1,"(32.42866516113281, 48.07154083251953, 588.270263671875)",1
1423468082,2902212861664,"(0.46836230158805847, 0.4310203194618225)","(-16.589319229125977, 177.2606201171875, 57.68058776855469)",1,3.4027862548828125,1,"(-29.480195999145508, 41.44518280029297, 587.6083374023438)",1,"(0.46766823530197144, 0.41895797848701477)","(-16.974685668945312, 180.80088806152344, 58.96915054321289)",1,3.2619171142578125,1,"(32.48080825805664, 47.9412841796875, 587.9166870117188)",1
1423484441,2902212878023,"(0.46871498227119446, 0.4298263192176819)","(-16.39349365234375, 177.61106872558594, 57.80814743041992)",1,3.4159698486328125,1,"(-29.407705307006836, 41.38518524169922, 587.34765625)",1,"(0.46907028555870056, 0.4171586334705353)","(-16.19620132446289, 181.32896423339844, 59.16132736206055)",1,3.262451171875,1,"(32.510581970214844, 47.85799026489258, 587.6713256835938)",1
1423501206,2902212894788,"(0.4696322977542877, 0.43182167410850525)","(-15.884145736694336, 177.02545166015625, 57.59502410888672)",1,3.4223785400390625,1,"(-29.31229019165039, 41.31520462036133, 587.10400390625)",1,"(0.46890532970428467, 0.4239553213119507)","(-16.28782081604004, 179.3341827392578, 58.43526840209961)",1,3.2674560546875,1,"(32.6030158996582, 47.74993896484375, 587.3917236328125)",1
1423518002,2902212911585,"(0.47047504782676697, 0.43119922280311584)","(-15.416190147399902, 177.20811462402344, 57.661502838134766)",1,3.414581298828125,1,"(-29.230113983154297, 41.250816345214844, 587.01513671875)",1,"(0.4687826931476593, 0.4201132357120514)","(-16.35589599609375, 180.46182250976562, 58.84572982788086)",1,3.2747344970703125,1,"(32.659515380859375, 47.667259216308594, 587.2977905273438)",1
1423534311,2902212927894,"(0.46861788630485535, 0.4303756654262543)","(-16.447412490844727, 177.44981384277344, 57.74946594238281)",1,3.41729736328125,1,"(-29.18585968017578, 41.208580017089844, 586.9537963867188)",1,"(0.4690801203250885, 0.41990068554878235)","(-16.190725326538086, 180.52418518066406, 58.86845016479492)",1,3.265487670898437,1,"(32.67795181274414, 47.63054275512695, 587.2317504882812)",1
