device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1288001718,2902077394177,"(0.40950772166252136, 0.46599680185317993)","(-49.268714904785156, 166.99514770507812, 53.94427490234375)",1,3.664093017578125,1,"(-39.57820510864258, 58.82592010498047, 586.2615966796875)",1,"(0.39720410108566284, 0.4454733729362488)","(-56.100406646728516, 173.01870727539062, 56.13667297363281)",1,3.616775512695313,1,"(21.83980369567871, 71.684814453125, 588.6571044921875)",1
1288018339,2902077410798,"(0.4102707505226135, 0.4633241593837738)","(-48.84504318237305, 167.77957153320312, 54.22977066040039)",1,3.675613403320313,1,"(-39.778995513916016, 58.84257125854492, 586.1591796875)",1,"(0.3992781341075897, 0.44602301716804504)","(-54.94877624511719, 172.85740661621094, 56.07792282104492)",1,3.6231536865234375,1,"(21.652332305908203, 71.65825653076172, 588.546875)",1
1288035259,2902077427719,"(0.4119594097137451, 0.4637239873409271)","(-47.90740966796875, 167.66221618652344, 54.18704605102539)",1,3.6776275634765625,1,"(-40.02376937866211, 58.88883590698242, 585.925537109375)",1,"(0.3989962637424469, 0.4481373429298401)","(-55.105289459228516, 172.2368621826172, 55.8520622253418)",1,3.6312255859375,1,"(21.44582748413086, 71.67971801757812, 588.341552734375)",1
1288051587,2902077444047,"(0.41242516040802, 0.4658028781414032)","(-47.64878463745117, 167.05209350585938, 53.9649658203125)",1,3.6834564208984375,1,"(-40.168453216552734, 58.92292785644531, 585.7275390625)",1,"(0.3963707983493805, 0.44840240478515625)","(-56.563079833984375, 172.1590118408203, 55.82378005981445)",1,3.621856689453125,1,"(21.31550407409668, 71.72161102294922, 588.1570434570312)",1
1288068255,2902077460715,"(0.4115440249443054, 0.4629879295825958)","(-48.1380500793457, 167.8782501220703, 54.265655517578125)",1,3.6751556396484375,1,"(-40.428504943847656, 58.98455810546875, 585.4259643554688)",1,"(0.39698487520217896, 0.44916531443595886)","(-56.22212600708008, 171.93511962890625, 55.74229431152344)",1,3.615921020507813,1,"(21.014829635620117, 71.80923461914062, 587.863525390625)",1
1288085179,2902077477639,"(0.41105762124061584, 0.4651657044887543)","(-48.408138275146484, 167.23910522460938, 54.03303146362305)",1,3.6751861572265625,1,"(-40.76065444946289, 59.017494201660156, 585.2297973632812)",1,"(0.3971625864505768, 0.4451179802417755)","(-56.12344741821289, 173.12301635742188, 56.174583435058594)",1,3.61358642578125,1,"(20.682018280029297, 71.86701202392578, 587.7156372070312)",1
1288101553,2902077494013,"(0.410551518201828, 0.46649059653282166)","(-48.68914794921875, 166.8502197265625, 53.89152145385742)",1,3.6868743896484375,1,"(-40.972007751464844, 58.99620819091797, 585.1343383789062)",1,"(0.3976806104183197, 0.44423162937164307)","(-55.8358268737793, 173.38319396972656, 56.269290924072266)",1,3.614959716796875,1,"(20.44318389892578, 71.8758316040039, 587.64013671875)",1
1288118267,2902077510727,"(0.4121335744857788, 0.46550557017326355)","(-47.810691833496094, 167.1393585205078, 53.996742248535156)",1,3.6872406005859375,1,"(-41.358585357666016, 58.927730560302734, 584.967041015625)",1,"(0.39713534712791443, 0.44497355818748474)","(-56.13857650756836, 173.16542053222656, 56.190040588378906)",1,3.624923706054688,1,"(19.990009307861328, 71.85242462158203, 587.5029296875)",1
1288135105,2902077527565,"(0.40949925780296326, 0.4641950726509094)","(-49.27344512939453, 167.5239715576172, 54.136722564697266)",1,3.66461181640625,1,"(-41.7977409362793, 58.85948944091797, 584.8978271484375)",1,"(0.398684024810791, 0.445497065782547)","(-55.278663635253906, 173.01177978515625, 56.13410186767578)",1,3.6236572265625,1,"(19.554115295410156, 71.82852935791016, 587.4927978515625)",1
1288151519,2902077543980,"(0.4089277684688568, 0.4647548496723175)","(-49.59073257446289, 167.3596649169922, 54.07691192626953)",1,3.6550445556640634,1,"(-42.06755065917969, 58.799224853515625, 584.853271484375)",1,"(0.3981277644634247, 0.4475858509540558)","(-55.587520599365234, 172.39869689941406, 55.910953521728516)",1,3.62567138671875,1,"(19.258663177490234, 71.80702209472656, 587.480224609375)",1
