device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1343113274,2902132506192,"(0.6604958772659302, 0.3237147629261017)","(90.09414672851562, 208.75440979003906, 69.14337921142578)",1,3.598861694335937,1,"(-32.31208419799805, 50.89874267578125, 585.6792602539062)",1,"(0.6526005864143372, 0.2834339737892151)","(85.71025848388672, 220.57662963867188, 73.44633483886719)",1,3.534332275390625,1,"(29.884557723999023, 58.6436653137207, 586.5037231445312)",1
1343129950,2902132522868,"(0.6582474708557129, 0.3921029567718506)","(88.84571075439453, 188.6827392578125, 61.83789825439453)",1,3.580169677734375,1,"(-32.30069351196289, 50.634681701660156, 585.80224609375)",1,"(0.6458548307418823, 0.35903820395469666)","(81.96465301513672, 198.38710021972656, 65.3699722290039)",1,3.526824951171875,1,"(29.85203742980957, 58.33943557739258, 586.6295776367188)",1
1343146857,2902132539775,"(0.6568858027458191, 0.4361295700073242)","(88.08960723876953, 175.76107788085938, 57.13479995727539)",1,3.5823974609375,1,"(-32.35439682006836, 50.359046936035156, 585.8088989257812)",1,"(0.6469767093658447, 0.4026428759098053)","(82.58755493164062, 185.58932495117188, 60.71192169189453)",1,3.5454559326171875,1,"(29.799848556518555, 58.12518310546875, 586.62744140625)",1
1343163142,2902132556060,"(0.6580774188041687, 0.4350355565547943)","(88.75130462646484, 176.0821533203125, 57.25166320800781)",1,3.580963134765625,1,"(-32.41310119628906, 50.297515869140625, 585.755126953125)",1,"(0.6448622941970825, 0.4051009714603424)","(81.4135513305664, 184.86785888671875, 60.44936752319336)",1,3.548736572265625,1,"(29.794179916381836, 58.083656311035156, 586.6093139648438)",1
1343179866,2902132572784,"(0.6589290499687195, 0.44228020310401917)","(89.22418975830078, 173.95591735839844, 56.477787017822266)",1,3.580062866210937,1,"(-32.482139587402344, 50.230995178222656, 585.4772338867188)",1,"(0.6480823755264282, 0.4087234437465668)","(83.20146179199219, 183.8046875, 60.06241989135742)",1,3.537750244140625,1,"(29.696523666381836, 58.03987121582031, 586.2908325195312)",1
1343196773,2902132589691,"(0.6587167382240295, 0.4450656473636627)","(89.10626983642578, 173.1383514404297, 56.18024444580078)",1,3.5778961181640625,1,"(-32.52922439575195, 50.2282600402832, 585.1983032226562)",1,"(0.6470471024513245, 0.4114319384098053)","(82.62661743164062, 183.00973510742188, 59.77309036254883)",1,3.535507202148437,1,"(29.658279418945312, 58.07847595214844, 586.0595703125)",1
1343213108,2902132606026,"(0.6584699749946594, 0.4442775845527649)","(88.96925354003906, 173.36965942382812, 56.264427185058594)",1,3.580780029296875,1,"(-32.54613494873047, 50.263275146484375, 585.310302734375)",1,"(0.6461563110351562, 0.41431814432144165)","(82.13199615478516, 182.16265869140625, 59.46476364135742)",1,3.544342041015625,1,"(29.660985946655273, 58.14201354980469, 586.1604614257812)",1
1343229781,2902132622700,"(0.660336971282959, 0.4430863559246063)","(90.00589752197266, 173.71929931640625, 56.391624450683594)",1,3.5816802978515625,1,"(-32.52827072143555, 50.32434844970703, 585.4862670898438)",1,"(0.6445936560630798, 0.41394802927970886)","(81.2643814086914, 182.2712860107422, 59.50432205200195)",1,3.537109375,1,"(29.72920799255371, 58.25173568725586, 586.3641967773438)",1
1343246693,2902132639612,"(0.6591458916664124, 0.4468238651752472)","(89.34457397460938, 172.6223602294922, 55.992374420166016)",1,3.5828857421875,1,"(-32.399017333984375, 50.34758377075195, 585.3087158203125)",1,"(0.6455582976341248, 0.4141174852848053)","(81.79998016357422, 182.22152709960938, 59.48623275756836)",1,3.536773681640625,1,"(29.834259033203125, 58.26790237426758, 586.1873168945312)",1
1343262978,2902132655897,"(0.6580707430839539, 0.45046940445899963)","(88.74760437011719, 171.55242919921875, 55.60295104980469)",1,3.5732879638671875,1,"(-32.29399490356445, 50.33561325073242, 585.0325317382812)",1,"(0.6442455649375916, 0.41567668318748474)","(81.07107543945312, 181.76390075683594, 59.31965255737305)",1,3.5406036376953125,1,"(29.912561416625977, 58.23891067504883, 585.9136962890625)",1
