device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1455433172,2902244827069,"(0.44983047246932983, 0.2507324814796448)","(-26.879222869873047, 230.17437744140625, 76.93964385986328)",1,3.538558959960937,1,"(-27.275197982788086, 38.13203430175781, 593.8944702148438)",1,"(0.45678889751434326, 0.2155752331018448)","(-23.015520095825195, 240.4928741455078, 80.69529724121094)",1,3.5226593017578125,1,"(34.81428146362305, 45.49409866333008, 594.019775390625)",1
1455449996,2902244843894,"(0.44941937923431396, 0.2511499524116516)","(-27.10750389099121, 230.0518798828125, 76.89503479003906)",1,3.550888061523437,1,"(-27.245569229125977, 38.079532623291016, 593.6992797851562)",1,"(0.45572763681411743, 0.2132052630186081)","(-23.604806900024414, 241.18849182128906, 80.9483871459961)",1,3.5314483642578125,1,"(34.82218933105469, 45.43681335449219, 593.794921875)",1
1455466797,2902244860695,"(0.4487278461456299, 0.25105395913124084)","(-27.491487503051758, 230.0800323486328, 76.90528106689453)",1,3.555633544921875,1,"(-27.23027801513672, 38.030303955078125, 593.5322875976562)",1,"(0.4551505744457245, 0.21665823459625244)","(-23.925199508666992, 240.17506408691406, 80.5795669555664)",1,3.5341033935546875,1,"(34.81655502319336, 45.4050407409668, 593.6442260742188)",1
1455483138,2902244877036,"(0.44999954104423523, 0.25072211027145386)","(-26.785367965698242, 230.17742919921875, 76.94072723388672)",1,3.555572509765625,1,"(-27.218231201171875, 38.00271224975586, 593.4032592773438)",1,"(0.45454487204551697, 0.21756532788276672)","(-24.261520385742188, 239.90882873535156, 80.482666015625)",1,3.5443115234375,1,"(34.81932067871094, 45.38665771484375, 593.5300903320312)",1
1455499912,2902244893810,"(0.45063331723213196, 0.254593163728714)","(-26.433462142944336, 229.0413055419922, 76.5271987915039)",1,3.5643768310546875,1,"(-27.195446014404297, 37.969757080078125, 593.2752075195312)",1,"(0.4537878632545471, 0.2222893387079239)","(-24.681880950927734, 238.52235412597656, 79.97803497314453)",1,3.5474395751953125,1,"(34.83564376831055, 45.337318420410156, 593.38623046875)",1
1455516717,2902244910615,"(0.44890230894088745, 0.25403526425361633)","(-27.394588470458984, 229.2050323486328, 76.58679962158203)",1,3.5707244873046875,1,"(-27.152868270874023, 37.94169235229492, 593.1795043945312)",1,"(0.4527512788772583, 0.22356384992599487)","(-25.25745391845703, 238.14828491210938, 79.8418960571289)",1,3.55242919921875,1,"(34.86735916137695, 45.28704833984375, 593.3027954101562)",1
1455533008,2902244926906,"(0.4494873285293579, 0.25293853878974915)","(-27.069772720336914, 229.5269012451172, 76.70396423339844)",1,3.578399658203125,1,"(-27.13737678527832, 37.9476432800293, 593.242431640625)",1,"(0.45203307271003723, 0.22141298651695251)","(-25.656217575073242, 238.779541015625, 80.07164001464844)",1,3.55682373046875,1,"(34.89742660522461, 45.26934051513672, 593.35546875)",1
1455549827,2902244943725,"(0.4488973319530487, 0.2511759400367737)","(-27.397380828857422, 230.04421997070312, 76.89224243164062)",1,3.5880889892578125,1,"(-27.124250411987305, 37.97812271118164, 593.3451538085938)",1,"(0.4518292248249054, 0.22234655916690826)","(-25.769407272338867, 238.5055389404297, 79.9719009399414)",1,3.5623321533203125,1,"(34.91556930541992, 45.290985107421875, 593.465576171875)",1
1455566637,2902244960536,"(0.45046818256378174, 0.2540641725063324)","(-26.52515411376953, 229.19656372070312, 76.58370208740234)",1,3.5912628173828125,1,"(-27.159812927246094, 38.02789306640625, 593.33203125)",1,"(0.4523875117301941, 0.22394128143787384)","(-25.459426879882812, 238.0375213623047, 79.80155181884766)",1,3.5657196044921875,1,"(34.884708404541016, 45.33492660522461, 593.44384765625)",1
1455582974,2902244976873,"(0.45168066024780273, 0.2544965147972107)","(-25.85190773010254, 229.06968688964844, 76.53752136230469)",1,3.593475341796875,1,"(-27.21183967590332, 38.0565071105957, 593.38671875)",1,"(0.4529321491718292, 0.22384221851825714)","(-25.157018661499023, 238.0666046142578, 79.81212615966797)",1,3.5742340087890625,1,"(34.835838317871094, 45.36436462402344, 593.4937744140625)",1
