device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1387725403,2902177118688,"(0.5112783908843994, 0.5603508949279785)","(7.240098476409912, 139.30264282226562, 43.86497116088867)",1,3.1277618408203125,1,"(-33.62548828125, 47.82132339477539, 590.1550903320312)",1,"(0.5059597492218018, 0.5472851991653442)","(4.286924362182617, 143.1373291015625, 45.260738372802734)",1,3.071319580078125,1,"(28.397294998168945, 54.899330139160156, 591.0151977539062)",1
1387741725,2902177135010,"(0.5116379857063293, 0.5623542666435242)","(7.439806938171387, 138.7146453857422, 43.65095138549805)",1,3.1331787109375,1,"(-33.658477783203125, 47.79142379760742, 590.2218627929688)",1,"(0.5053967833518982, 0.5423445105552673)","(3.974336624145508, 144.58741760253906, 45.78849792480469)",1,3.0715484619140625,1,"(28.371505737304688, 54.87209701538086, 591.1066284179688)",1
1387758449,2902177151734,"(0.5116961002349854, 0.5662882328033447)","(7.472088813781738, 137.5600128173828, 43.23075866699219)",1,3.1409454345703125,1,"(-33.72499084472656, 47.770511627197266, 590.376708984375)",1,"(0.5039399266242981, 0.5406602621078491)","(3.16538667678833, 145.0817413330078, 45.968448638916016)",1,3.0800933837890625,1,"(28.324779510498047, 54.85330581665039, 591.282470703125)",1
1387775323,2902177168608,"(0.5128045678138733, 0.5619691014289856)","(8.087546348571777, 138.82769775390625, 43.6921272277832)",1,3.1387481689453125,1,"(-33.77819061279297, 47.74177932739258, 590.4121704101562)",1,"(0.5035457611083984, 0.5444996356964111)","(2.9465434551239014, 143.9549102783203, 45.55827713012695)",1,3.09033203125,1,"(28.288951873779297, 54.845191955566406, 591.3240356445312)",1
1387791691,2902177184976,"(0.5129021406173706, 0.5624544620513916)","(8.141721725463867, 138.68524169921875, 43.640262603759766)",1,3.1468048095703125,1,"(-33.790470123291016, 47.733253479003906, 590.3662109375)",1,"(0.5036773085594177, 0.5425634384155273)","(3.01956844329834, 144.52317810058594, 45.76509094238281)",1,3.1041717529296875,1,"(28.273292541503906, 54.83710861206055, 591.2791137695312)",1
1387808364,2902177201649,"(0.5123828649520874, 0.5644153952598572)","(7.853417873382568, 138.10972595214844, 43.4307861328125)",1,3.1542510986328125,1,"(-33.77968978881836, 47.7362174987793, 590.2681274414062)",1,"(0.5045313239097595, 0.5461216568946838)","(3.493762731552124, 143.4788818359375, 45.384979248046875)",1,3.10882568359375,1,"(28.282310485839844, 54.84859848022461, 591.1726684570312)",1
1387825243,2902177218528,"(0.512795627117157, 0.5572156310081482)","(8.082610130310059, 140.22279357910156, 44.19990921020508)",1,3.14520263671875,1,"(-33.73015213012695, 47.76185989379883, 590.1533203125)",1,"(0.503582775592804, 0.5450245141983032)","(2.967106342315674, 143.8008575439453, 45.502201080322266)",1,3.10308837890625,1,"(28.32654571533203, 54.855831146240234, 591.0697021484375)",1
1387841561,2902177234847,"(0.5127257108688354, 0.5525423884391785)","(8.04377269744873, 141.59437561035156, 44.699134826660156)",1,3.1467437744140625,1,"(-33.6856689453125, 47.76774215698242, 590.1163330078125)",1,"(0.5055122971534729, 0.5449392795562744)","(4.038495063781738, 143.8258819580078, 45.51132583618164)",1,3.1049041748046875,1,"(28.35831642150879, 54.85075378417969, 591.0159301757812)",1
1387858280,2902177251566,"(0.5353696942329407, 0.5551613569259644)","(20.61700439453125, 140.82571411132812, 44.41933822631836)",1,3.1609649658203125,1,"(-33.52204132080078, 47.75999069213867, 590.0503540039062)",1,"(0.5309021472930908, 0.5500879883766174)","(18.136363983154297, 142.3147430419922, 44.9613037109375)",1,3.1184539794921875,1,"(28.54953956604004, 54.80214309692383, 590.888427734375)",1
1387875163,2902177268449,"(0.5539583563804626, 0.5609850883483887)","(30.938514709472656, 139.11647033691406, 43.79724884033203)",1,3.1853790283203125,1,"(-33.31206130981445, 47.660926818847656, 589.3666381835938)",1,"(0.5442253947257996, 0.5451802015304565)","(25.534189224243164, 143.755126953125, 45.485618591308594)",1,3.1069488525390625,1,"(28.66706657409668, 54.67072296142578, 590.2286987304688)",1
1387891527,2902177284813,"(0.5534065961837769, 0.5615425705909729)","(30.63213539123535, 138.95286560058594, 43.73770523071289)",1,3.1762847900390625,1,"(-33.264583587646484, 47.60337448120117, 589.0882568359375)",1,"(0.5459086894989014, 0.5464343428611755)","(26.468854904174805, 143.38705444335938, 45.35166549682617)",1,3.115875244140625,1,"(28.685382843017578, 54.59706115722656, 589.9124145507812)",1
1387908194,2902177301480,"(0.5534336566925049, 0.5641375780105591)","(30.647157669067383, 138.19126892089844, 43.460472106933594)",1,3.17352294921875,1,"(-33.25532531738281, 47.5606689453125, 589.0408935546875)",1,"(0.548026978969574, 0.541867196559906)","(27.645034790039062, 144.7274932861328, 45.839500427246094)",1,3.1141510009765625,1,"(28.701265335083008, 54.523040771484375, 589.886474609375)",1
1387925083,2902177318369,"(0.5550419688224792, 0.5685316920280457)","(31.54017448425293, 136.90159606933594, 42.99108123779297)",1,3.190780639648437,1,"(-33.286930084228516, 47.532161712646484, 589.1510009765625)",1,"(0.5477796792984009, 0.5428926348686218)","(27.507688522338867, 144.4265594482422, 45.72993087768555)",1,3.12725830078125,1,"(28.68130111694336, 54.50536346435547, 589.9869384765625)",1
1387941397,2902177334683,"(0.5556448101997375, 0.5692629218101501)","(31.874910354614258, 136.68698120117188, 42.9129638671875)",1,3.193710327148437,1,"(-33.323585510253906, 47.520755767822266, 589.2049560546875)",1,"(0.5457943081855774, 0.5449038147926331)","(26.405323028564453, 143.83628845214844, 45.51507568359375)",1,3.1277618408203125,1,"(28.662927627563477, 54.51311492919922, 590.0441284179688)",1
