device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
698894089,818249355248,"(0.5100474953651428, 0.5342873930931091)","(6.194827556610107, 146.15126037597656, 46.357688903808594)",1,4.2114105224609375,1,"(-57.21918869018555, -20.72681427001953, 720.9973754882812)",1,"(0.5305384397506714, 0.5147101283073425)","(17.505908966064453, 151.8634033203125, 48.43674850463867)",1,4.22406005859375,1,"(7.25724983215332, -22.94266128540039, 723.2932739257812)",1
698911139,818249372298,"(0.5093859434127808, 0.5293666124343872)","(5.829647064208984, 147.58700561523438, 46.88023376464844)",1,4.203887939453125,1,"(-57.24258041381836, -20.746700286865234, 720.7842407226562)",1,"(0.5258195400238037, 0.517645001411438)","(14.901036262512207, 151.00711059570312, 48.1251220703125)",1,4.2340087890625,1,"(7.2103986740112305, -22.961467742919922, 723.0918579101562)",1
698927043,818249388203,"(0.5143786072731018, 0.5232478380203247)","(8.585620880126953, 149.37234497070312, 47.53002166748047)",1,4.186737060546875,1,"(-57.30817794799805, -20.788196563720703, 720.7462768554688)",1,"(0.5258814096450806, 0.518184244632721)","(14.935193061828613, 150.8497772216797, 48.06782531738281)",1,4.2299346923828125,1,"(7.149444580078125, -22.980276107788086, 723.0601806640625)",1
698944055,818249405215,"(0.5122995972633362, 0.5231620073318481)","(7.437972545623779, 149.3973846435547, 47.539154052734375)",1,4.1886749267578125,1,"(-57.339778900146484, -20.8186092376709, 720.7396850585938)",1,"(0.5275523066520691, 0.5146384239196777)","(15.857535362243652, 151.8843994140625, 48.44438171386719)",1,4.2191925048828125,1,"(7.1097331047058105, -22.99472427368164, 723.0597534179688)",1
698961054,818249422215,"(0.5069600343704224, 0.5242219567298889)","(4.490545272827148, 149.08807373046875, 47.426631927490234)",1,4.2185516357421875,1,"(-57.403499603271484, -20.866588592529297, 720.7279052734375)",1,"(0.5267386436462402, 0.5179898738861084)","(15.408411026000977, 150.90650939941406, 48.08848571777344)",1,4.217376708984375,1,"(7.042895793914795, -23.009424209594727, 723.055419921875)",1
698976963,818249438124,"(0.5063384175300598, 0.5263816714286804)","(4.147408962249756, 148.4579620361328, 47.19728469848633)",1,4.2188873291015625,1,"(-57.482730865478516, -20.919296264648438, 720.7561645507812)",1,"(0.5273289084434509, 0.5164697766304016)","(15.734230995178223, 151.3500213623047, 48.249881744384766)",1,4.22283935546875,1,"(6.965909957885742, -23.033615112304688, 723.0892333984375)",1
698994021,818249455182,"(0.5035862922668457, 0.5352308750152588)","(2.628242015838623, 145.8759765625, 46.25748825073242)",1,4.2221527099609375,1,"(-57.52402877807617, -20.940942764282227, 720.7150268554688)",1,"(0.528922975063324, 0.5145233869552612)","(16.614173889160156, 151.9178924560547, 48.456581115722656)",1,4.22259521484375,1,"(6.899795055389404, -23.062358856201172, 723.0475463867188)",1
699010969,818249472130,"(0.507149875164032, 0.536329984664917)","(4.59531831741333, 145.55528259277344, 46.140750885009766)",1,4.214202880859375,1,"(-57.631561279296875, -21.00840950012207, 720.5808715820312)",1,"(0.5338179469108582, 0.5137871503829956)","(19.31621742248535, 152.1326904296875, 48.534793853759766)",1,4.2047271728515625,1,"(6.785231590270996, -23.107097625732422, 722.9304809570312)",1
699026883,818249488045,"(0.5098194479942322, 0.5266790390014648)","(6.068923473358154, 148.37115478515625, 47.165687561035156)",1,4.2076873779296875,1,"(-57.77629852294922, -21.110280990600586, 720.6759643554688)",1,"(0.5307031869888306, 0.5140921473503113)","(17.596824645996094, 152.04373168945312, 48.50239181518555)",1,4.214324951171875,1,"(6.664960861206055, -23.16490364074707, 723.03076171875)",1
699043891,818249505053,"(0.5087054371833801, 0.5298001170158386)","(5.45399808883667, 147.46054077148438, 46.834228515625)",1,4.2024688720703125,1,"(-57.852569580078125, -21.149463653564453, 720.6986694335938)",1,"(0.5276036858558655, 0.5217126607894897)","(15.885886192321777, 149.82025146484375, 47.693092346191406)",1,4.2202301025390625,1,"(6.58258581161499, -23.18730354309082, 723.0647583007812)",1
699060885,818249522047,"(0.504977285861969, 0.5354881286621094)","(3.396078586578369, 145.80091857910156, 46.23018264770508)",1,4.203094482421875,1,"(-57.95560836791992, -21.200536727905273, 720.516357421875)",1,"(0.527442455291748, 0.5203196406364441)","(15.796913146972656, 150.2267608642578, 47.84101867675781)",1,4.20379638671875,1,"(6.447525501251221, -23.21766471862793, 722.88671875)",1
699076803,818249537966,"(0.504461944103241, 0.5401555895805359)","(3.1115782260894775, 144.43907165527344, 45.73456573486328)",1,4.2124176025390625,1,"(-58.05194091796875, -21.210552215576172, 720.34326171875)",1,"(0.5291566848754883, 0.5200441479682922)","(16.743146896362305, 150.30711364746094, 47.87030029296875)",1,4.2093658447265625,1,"(6.326131820678711, -23.2091064453125, 722.7265014648438)",1
699093857,818249555020,"(0.5086559653282166, 0.5337229371070862)","(5.426694393157959, 146.31594848632812, 46.41767883300781)",1,4.2045745849609375,1,"(-58.113929748535156, -21.20714569091797, 720.3115844726562)",1,"(0.528322696685791, 0.5177422761917114)","(16.282793045043945, 150.978759765625, 48.11475372314453)",1,4.212554931640625,1,"(6.263947010040283, -23.186901092529297, 722.69921875)",1
699110888,818249572051,"(0.49821582436561584, 0.5323037505149841)","(-0.33629655838012695, 146.7300567626953, 46.5683479309082)",1,4.1738739013671875,1,"(-58.1728630065918, -21.1806640625, 720.3659057617188)",1,"(0.5263127684593201, 0.5190148949623108)","(15.173293113708496, 150.607421875, 47.9796257019043)",1,4.2144927978515625,1,"(6.189033031463623, -23.130260467529297, 722.7565307617188)",1
