device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
769996086,818320458414,"(0.19887378811836243, 1.9060916900634766)","(-165.57412719726562, -254.10874938964844, -99.32503509521484)",1,3.3157806396484375,1,"(-81.18904876708984, -111.35417938232422, 852.1339111328125)",1,"(0.11486458778381348, 1.679153323173523)","(-211.94749450683594, -187.89346313476562, -75.22464752197266)",1,3.637603759765625,1,"(-17.60299301147461, -107.0934066772461, 855.2984008789062)",1
770012128,818320474456,"(0.19356079399585724, 1.8862602710723877)","(-168.5068817138672, -248.3224334716797, -97.21900177001953)",1,3.3239593505859375,1,"(-81.1019058227539, -111.33793640136719, 851.96337890625)",1,"(0.11929953098297119, 1.677377462387085)","(-209.49937438964844, -187.37535095214844, -75.03608703613281)",1,3.6324462890625,1,"(-17.529874801635742, -107.08016967773438, 855.1226806640625)",1
770029366,818320491694,"(0.18842045962810516, 1.8752115964889526)","(-171.34437561035156, -245.0986785888672, -96.04564666748047)",1,3.344329833984375,1,"(-81.05542755126953, -111.30422973632812, 851.73974609375)",1,"(0.11374136060476303, 1.6738200187683105)","(-212.56752014160156, -186.3373565673828, -74.65828704833984)",1,3.6378326416015625,1,"(-17.49639320373535, -107.05260467529297, 854.8923950195312)",1
770046006,818320508335,"(0.19821305572986603, 1.8712571859359741)","(-165.9388427734375, -243.94488525390625, -95.6257095336914)",1,3.287994384765625,1,"(-80.96080017089844, -111.2238998413086, 851.0657958984375)",1,"(0.12023615837097168, 1.6690073013305664)","(-208.98236083984375, -184.9331512451172, -74.14720916748047)",1,3.6198272705078125,1,"(-17.4624080657959, -107.0018081665039, 854.2110595703125)",1
770062048,818320524377,"(0.20251858234405518, 1.8518788814544678)","(-163.56214904785156, -238.2906951904297, -93.56774139404297)",1,3.3447723388671875,1,"(-80.93846130371094, -111.25032043457031, 850.8651123046875)",1,"(0.11666568368673325, 1.658286213874817)","(-210.95326232910156, -181.804931640625, -73.00860595703125)",1,3.621795654296875,1,"(-17.435646057128906, -107.06330871582031, 854.0104370117188)",1
770079286,818320541615,"(0.20517635345458984, 1.8850736618041992)","(-162.0950927734375, -247.97616577148438, -97.09297943115234)",1,3.3123626708984375,1,"(-80.9308853149414, -111.26649475097656, 850.9137573242188)",1,"(0.12175946682691574, 1.6677027940750122)","(-208.1414794921875, -184.55250549316406, -74.00863647460938)",1,3.6060791015625,1,"(-17.419326782226562, -107.09591674804688, 854.0587158203125)",1
770095926,818320558255,"(0.22995944321155548, 1.8760452270507812)","(-148.4147186279297, -245.3418731689453, -96.13416290283203)",1,3.2906036376953125,1,"(-80.92694854736328, -111.3602294921875, 851.4929809570312)",1,"(0.14692281186580658, 1.667360782623291)","(-194.25123596191406, -184.4527587890625, -73.97233581542969)",1,3.5739593505859375,1,"(-17.365083694458008, -107.19206237792969, 854.6298828125)",1
770111968,818320574298,"(0.2318539172410965, 1.835013747215271)","(-147.36895751953125, -233.36990356445312, -91.77667999267578)",1,3.3664703369140625,1,"(-80.99423217773438, -111.45887756347656, 852.3370971679688)",1,"(0.1540193259716034, 1.6501535177230835)","(-190.33392333984375, -179.4320831298828, -72.14493560791016)",1,3.5751800537109375,1,"(-17.386255264282227, -107.2962875366211, 855.4794921875)",1
770129206,818320591536,"(0.23400218784809113, 1.847610354423523)","(-146.18309020996094, -237.0452880859375, -93.11443328857422)",1,3.3308868408203125,1,"(-81.01156616210938, -111.47801208496094, 852.5341186523438)",1,"(0.16225473582744598, 1.6280032396316528)","(-185.78793334960938, -172.96914672851562, -69.79261016845703)",1,3.58709716796875,1,"(-17.38421058654785, -107.32006072998047, 855.6900024414062)",1
770145846,818320608176,"(0.22910122573375702, 1.8731813430786133)","(-148.88845825195312, -244.5063018798828, -95.83007049560547)",1,3.2783660888671875,1,"(-81.04857635498047, -111.49946594238281, 852.9254150390625)",1,"(0.1609690934419632, 1.6282752752304077)","(-186.4976043701172, -173.04856872558594, -69.82157135009766)",1,3.58978271484375,1,"(-17.384693145751953, -107.33360290527344, 856.0750732421875)",1
