device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1228181129,2902017573086,"(0.744694173336029, 0.7288600206375122)","(136.84584045410156, 89.84584045410156, 25.864229202270508)",1,3.80633544921875,1,"(-24.476425170898438, 59.40888214111328, 574.3548583984375)",1,"(0.7293278574943542, 0.7181041836738586)","(128.31358337402344, 93.00267791748047, 27.013185501098633)",1,3.755706787109375,1,"(38.17940902709961, 64.95448303222656, 574.1722412109375)",1
1228197420,2902017589377,"(0.7465631365776062, 0.7320302128791809)","(137.88352966308594, 88.9154052734375, 25.52557945251465)",1,3.79180908203125,1,"(-24.52279281616211, 59.31859588623047, 574.1190795898438)",1,"(0.7300480604171753, 0.7171054482460022)","(128.71348571777344, 93.2957992553711, 27.119890213012695)",1,3.7600250244140634,1,"(38.12440490722656, 64.87552642822266, 573.955078125)",1
1228214143,2902017606099,"(0.7463462352752686, 0.7362031936645508)","(137.76316833496094, 87.69068145751953, 25.079755783081055)",1,3.787567138671875,1,"(-24.648344039916992, 59.20125198364258, 573.8603515625)",1,"(0.7278358936309814, 0.7187833189964294)","(127.48516845703125, 92.8033218383789, 26.940645217895508)",1,3.73797607421875,1,"(37.9668083190918, 64.77890014648438, 573.6748657226562)",1
1228231049,2902017623005,"(0.7437630295753479, 0.7313205599784851)","(136.32884216308594, 89.12370300292969, 25.60135841369629)",1,3.7866058349609375,1,"(-24.791719436645508, 59.109928131103516, 573.60205078125)",1,"(0.7288537621498108, 0.7156301140785217)","(128.05032348632812, 93.72879028320312, 27.27750015258789)",1,3.723541259765625,1,"(37.81191635131836, 64.732177734375, 573.4624633789062)",1
1228247386,2902017639342,"(0.7462161183357239, 0.728818953037262)","(137.69094848632812, 89.85789489746094, 25.868560791015625)",1,3.78350830078125,1,"(-24.867124557495117, 59.0931282043457, 573.5228271484375)",1,"(0.7276308536529541, 0.7152288556098938)","(127.3713150024414, 93.84654235839844, 27.320337295532227)",1,3.716644287109375,1,"(37.733055114746094, 64.7267837524414, 573.4102172851562)",1
1228264057,2902017656012,"(0.7444985508918762, 0.7309643030166626)","(136.73724365234375, 89.22824096679688, 25.639432907104492)",1,3.7777099609375,1,"(-24.941612243652344, 59.107322692871094, 573.4754638671875)",1,"(0.7284263968467712, 0.7192397713661194)","(127.81302642822266, 92.6693115234375, 26.89191436767578)",1,3.716705322265625,1,"(37.650386810302734, 64.74840545654297, 573.3759155273438)",1
1228280965,2902017672920,"(0.741598904132843, 0.7323679327964783)","(135.1271514892578, 88.8163070678711, 25.489492416381836)",1,3.778244018554688,1,"(-24.935895919799805, 59.14584732055664, 573.2869873046875)",1,"(0.7277400493621826, 0.7203475832939148)","(127.4319839477539, 92.34422302246094, 26.773571014404297)",1,3.724853515625,1,"(37.64280700683594, 64.7774429321289, 573.2012939453125)",1
1228297255,2902017689209,"(0.7237492203712463, 0.7376464605331421)","(125.21601867675781, 87.26705932617188, 24.92559814453125)",1,3.7705230712890634,1,"(-24.995738983154297, 59.1981315612793, 573.20263671875)",1,"(0.719334602355957, 0.7152850031852722)","(122.76476287841797, 93.83006286621094, 27.31437110900879)",1,3.7209320068359375,1,"(37.60594177246094, 64.79561614990234, 573.08544921875)",1
1228313973,2902017705927,"(0.6066296100616455, 0.6975411176681519)","(60.184532165527344, 99.03782653808594, 29.209794998168945)",1,3.729171752929688,1,"(-25.410579681396484, 59.23924255371094, 572.2322998046875)",1,"(0.6051802635192871, 0.6743894219398499)","(59.37984085083008, 105.8327407836914, 31.682987213134766)",1,3.7304840087890634,1,"(37.00138473510742, 64.81128692626953, 571.97314453125)",1
1228330885,2902017722838,"(0.47345492243766785, 0.6505467891693115)","(-13.7615966796875, 112.83045959472656, 34.22997283935547)",1,3.69366455078125,1,"(-25.99846649169922, 59.27745056152344, 571.3056640625)",1,"(0.4814155101776123, 0.6364545822143555)","(-9.341451644897461, 116.96649932861328, 35.73534393310547)",1,3.7177581787109375,1,"(36.3017692565918, 64.85887145996094, 571.2720947265625)",1
