device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1268666253,2902058058561,"(0.4258856773376465, 0.2961844503879547)","(-40.174747467041016, 216.83441162109375, 72.0842514038086)",1,3.37255859375,1,"(-30.25445556640625, 58.788299560546875, 572.1250610351562)",1,"(0.4274355471134186, 0.2807866334915161)","(-39.3141975402832, 221.35365295410156, 73.72908782958984)",1,3.3243408203125,1,"(31.79640007019043, 65.33220672607422, 572.74609375)",1
1268682650,2902058074958,"(0.42638128995895386, 0.2981410324573517)","(-39.899559020996094, 216.2601776123047, 71.87525177001953)",1,3.361358642578125,1,"(-30.24773406982422, 58.768585205078125, 572.1654663085938)",1,"(0.42786145210266113, 0.2805238664150238)","(-39.07770919799805, 221.43075561523438, 73.75718688964844)",1,3.3424072265625,1,"(31.810009002685547, 65.30661010742188, 572.7802734375)",1
1268699244,2902058091553,"(0.42694535851478577, 0.2993769645690918)","(-39.586360931396484, 215.89744567871094, 71.74322509765625)",1,3.36614990234375,1,"(-30.25149154663086, 58.740535736083984, 572.2562255859375)",1,"(0.4267295002937317, 0.28462687134742737)","(-39.70623779296875, 220.22654724121094, 73.31888580322266)",1,3.332122802734375,1,"(31.82196044921875, 65.27989196777344, 572.8744506835938)",1
1268716173,2902058108482,"(0.42727866768836975, 0.3055455684661865)","(-39.401283264160156, 214.0869598388672, 71.0842514038086)",1,3.3738250732421875,1,"(-30.221426010131836, 58.68992233276367, 572.1976928710938)",1,"(0.42752280831336975, 0.28707155585289)","(-39.26571273803711, 219.50900268554688, 73.05774688720703)",1,3.335174560546875,1,"(31.833049774169922, 65.21682739257812, 572.8234252929688)",1
1268732616,2902058124925,"(0.44998839497566223, 0.3653978109359741)","(-26.791549682617188, 196.52056884765625, 64.69062805175781)",1,3.372055053710937,1,"(-30.047639846801758, 58.5345573425293, 571.875)",1,"(0.44398871064186096, 0.3337647616863251)","(-30.122915267944336, 205.80474853515625, 68.06979370117188)",1,3.330780029296875,1,"(31.890098571777344, 65.06969451904297, 572.5684204101562)",1
1268749160,2902058141469,"(0.5143685340881348, 0.5402228832244873)","(8.95595645904541, 145.21011352539062, 46.015132904052734)",1,3.368438720703125,1,"(-29.584157943725586, 58.18083572387695, 571.9393310546875)",1,"(0.5091603398323059, 0.5290868282318115)","(6.064064979553223, 148.47848510742188, 47.20475387573242)",1,3.2824249267578125,1,"(32.1182975769043, 64.64496612548828, 572.5941772460938)",1
1268766089,2902058158398,"(0.5397502183914185, 0.6959236264228821)","(23.049287796020508, 99.5125503540039, 29.382606506347656)",1,3.39654541015625,1,"(-29.37054443359375, 57.95709991455078, 572.4052124023438)",1,"(0.5280627608299255, 0.6650221943855286)","(16.55977439880371, 108.58200073242188, 32.68364334106445)",1,3.288818359375,1,"(32.27655792236328, 64.40959167480469, 572.8889770507812)",1
1268782486,2902058174795,"(0.542281985282898, 0.710700273513794)","(24.45511245727539, 95.17566680908203, 27.80409049987793)",1,3.4063262939453125,1,"(-29.418285369873047, 57.98924255371094, 572.7820434570312)",1,"(0.5306229591369629, 0.6851586103439331)","(17.98134422302246, 102.67202758789062, 30.532583236694336)",1,3.2974853515625,1,"(32.36526107788086, 64.4364013671875, 573.2496337890625)",1
1268799074,2902058191384,"(0.5445494055747986, 0.7157183885574341)","(25.71405792236328, 93.70288848876953, 27.267990112304688)",1,3.416778564453125,1,"(-29.493331909179688, 58.09568786621094, 573.3243408203125)",1,"(0.5315752625465393, 0.7004953026771545)","(18.510120391845703, 98.17078399658203, 28.89420509338379)",1,3.308944702148437,1,"(32.45745086669922, 64.58109283447266, 573.8364868164062)",1
1268815996,2902058208306,"(0.5437930822372437, 0.7097866535186768)","(25.294130325317383, 95.44381713867188, 27.901704788208008)",1,3.423736572265625,1,"(-29.54220962524414, 58.14085006713867, 573.4295654296875)",1,"(0.5308235883712769, 0.7017827033996582)","(18.092750549316406, 97.79292297363281, 28.75670623779297)",1,3.310028076171875,1,"(32.45425033569336, 64.63214111328125, 573.9409790039062)",1
