device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1428493131,2902217886790,"(0.6704162359237671, 0.45534393191337585)","(95.60247802734375, 170.12173461914062, 55.08226776123047)",1,3.621368408203125,1,"(-29.320764541625977, 41.34775924682617, 592.6190795898438)",1,"(0.6645908951759338, 0.422181099653244)","(92.36792755126953, 179.85491943359375, 58.624794006347656)",1,3.5704345703125,1,"(32.854984283447266, 47.94770812988281, 592.9166259765625)",1
1428510007,2902217903666,"(0.6273866891860962, 0.45537281036376953)","(71.71002197265625, 170.11326599121094, 55.07917022705078)",1,3.618118286132813,1,"(-29.47224235534668, 41.334930419921875, 592.6869506835938)",1,"(0.6266601085662842, 0.42482632398605347)","(71.30663299560547, 179.07855224609375, 58.34225082397461)",1,3.570159912109375,1,"(32.71456527709961, 47.953895568847656, 592.9597778320312)",1
1428526273,2902217919932,"(0.6098538637161255, 0.45074594020843506)","(61.974849700927734, 171.4712371826172, 55.57342529296875)",1,3.600616455078125,1,"(-29.540645599365234, 41.2894401550293, 592.1646118164062)",1,"(0.6058233380317688, 0.42917510867118835)","(59.73683547973633, 177.8022003173828, 57.8776969909668)",1,3.572860717773437,1,"(32.593360900878906, 47.92152786254883, 592.5393676757812)",1
1428543047,2902217936706,"(0.6138695478439331, 0.45115506649017334)","(64.20454406738281, 171.3511505126953, 55.52972412109375)",1,3.5861358642578125,1,"(-29.560823440551758, 41.27477264404297, 592.0230102539062)",1,"(0.6074396967887878, 0.43511146306991577)","(60.634395599365234, 176.05992126464844, 57.2435417175293)",1,3.584991455078125,1,"(32.55839538574219, 47.90751266479492, 592.4483642578125)",1
1428559927,2902217953586,"(0.6090733408927917, 0.45405301451683044)","(61.54144287109375, 170.50059509277344, 55.22013473510742)",1,3.5856170654296875,1,"(-29.619295120239258, 41.347496032714844, 592.8594970703125)",1,"(0.6049861311912537, 0.4350951015949249)","(59.27202224731445, 176.06468200683594, 57.245323181152344)",1,3.588592529296875,1,"(32.593589782714844, 47.96352767944336, 593.1802368164062)",1
1428576239,2902217969899,"(0.6098223328590393, 0.4566058814525604)","(61.957332611083984, 169.75137329101562, 54.947425842285156)",1,3.5912322998046875,1,"(-29.636093139648438, 41.361080169677734, 592.9989624023438)",1,"(0.6045950055122375, 0.4319459795951843)","(59.05482482910156, 176.98895263671875, 57.58171463012695)",1,3.591461181640625,1,"(32.59974670410156, 47.976234436035156, 593.3241577148438)",1
1428593059,2902217986719,"(0.6090837121009827, 0.4548848867416382)","(61.5472412109375, 170.2564697265625, 55.13127136230469)",1,3.60113525390625,1,"(-29.650320053100586, 41.372398376464844, 593.1363525390625)",1,"(0.6049400568008423, 0.42993593215942383)","(59.246429443359375, 177.5789031982422, 57.796417236328125)",1,3.597518920898437,1,"(32.60530471801758, 47.98486328125, 593.4775390625)",1
1428609847,2902218003507,"(0.6074535250663757, 0.4523089528083801)","(60.6420783996582, 171.0124969482422, 55.40644454956055)",1,3.60150146484375,1,"(-29.645971298217773, 41.38536071777344, 593.234619140625)",1,"(0.6051815152168274, 0.4321959912776947)","(59.38050842285156, 176.9155731201172, 57.55498504638672)",1,3.61474609375,1,"(32.6251335144043, 47.992530822753906, 593.5648193359375)",1
1428626109,2902218019769,"(0.6077961325645447, 0.45194587111473083)","(60.83226776123047, 171.11904907226562, 55.445213317871094)",1,3.591537475585937,1,"(-29.639726638793945, 41.4127197265625, 593.35986328125)",1,"(0.6055583953857422, 0.43716248869895935)","(59.58977508544922, 175.4578857421875, 57.02446746826172)",1,3.609130859375,1,"(32.6449089050293, 48.015846252441406, 593.6710205078125)",1
1428642878,2902218036538,"(0.6083701848983765, 0.45422595739364624)","(61.15104293823242, 170.44985961914062, 55.20165252685547)",1,3.6013946533203125,1,"(-29.62605857849121, 41.459510803222656, 593.6488037109375)",1,"(0.6055702567100525, 0.4351235032081604)","(59.5963249206543, 176.0563507080078, 57.24232864379883)",1,3.60498046875,1,"(32.70485305786133, 48.06531524658203, 594.0001831054688)",1
1428659767,2902218053427,"(0.608985185623169, 0.45210355520248413)","(61.49249267578125, 171.07278442382812, 55.42839813232422)",1,3.607589721679688,1,"(-29.620288848876953, 41.490840911865234, 593.9984741210938)",1,"(0.6052888035774231, 0.4316332936286926)","(59.4400520324707, 177.0806884765625, 57.61510467529297)",1,3.6131591796875,1,"(32.754417419433594, 48.10236358642578, 594.3099975585938)",1
1428676075,2902218069736,"(0.608481228351593, 0.44954442977905273)","(61.21271514892578, 171.82386779785156, 55.701778411865234)",1,3.619110107421875,1,"(-29.614782333374023, 41.49720001220703, 594.1170043945312)",1,"(0.6036459803581238, 0.43225231766700745)","(58.52788162231445, 176.89903259277344, 57.548980712890625)",1,3.62152099609375,1,"(32.777313232421875, 48.116695404052734, 594.4254150390625)",1
1428692890,2902218086551,"(0.6085277795791626, 0.4511389136314392)","(61.238548278808594, 171.35589599609375, 55.531436920166016)",1,3.6220855712890634,1,"(-29.61294937133789, 41.50895690917969, 594.2164306640625)",1,"(0.6036061644554138, 0.436809241771698)","(58.50575256347656, 175.56161499023438, 57.06216049194336)",1,3.6338958740234375,1,"(32.809165954589844, 48.133853912353516, 594.5335693359375)",1
1428709687,2902218103348,"(0.6083394885063171, 0.45334386825561523)","(61.13399124145508, 170.70875549316406, 55.295867919921875)",1,3.6323089599609375,1,"(-29.619531631469727, 41.51643371582031, 594.24609375)",1,"(0.6046629548072815, 0.43603649735450745)","(59.09258270263672, 175.78839111328125, 57.14472198486328)",1,3.640869140625,1,"(32.819393157958984, 48.1234245300293, 594.5603637695312)",1
1428725945,2902218119606,"(0.6071147918701172, 0.45345714688301086)","(60.45394515991211, 170.67552185058594, 55.28377151489258)",1,3.6373291015625,1,"(-29.624279022216797, 41.517120361328125, 594.2398681640625)",1,"(0.6041419506072998, 0.43417006731033325)","(58.80327606201172, 176.33619689941406, 57.34410858154297)",1,3.641769409179688,1,"(32.83066940307617, 48.11267852783203, 594.5618896484375)",1
1428742806,2902218136467,"(0.6081162691116333, 0.4509628713130951)","(61.01000213623047, 171.40757751464844, 55.550209045410156)",1,3.6504974365234375,1,"(-29.63898468017578, 41.50834274291992, 594.1828002929688)",1,"(0.6035125851631165, 0.4329971373081207)","(58.45379638671875, 176.680419921875, 57.469444274902344)",1,3.638214111328125,1,"(32.836578369140625, 48.10406494140625, 594.4924926757812)",1
1428759607,2902218153268,"(0.6058003306388855, 0.45080453157424927)","(59.724063873291016, 171.45404052734375, 55.5671501159668)",1,3.650070190429688,1,"(-29.647186279296875, 41.49782943725586, 594.0584106445312)",1,"(0.6040380597114563, 0.4337277114391327)","(58.74555206298828, 176.4660186767578, 57.391361236572266)",1,3.637603759765625,1,"(32.82418441772461, 48.10411834716797, 594.3786010742188)",1
1428775911,2902218169572,"(0.6065011024475098, 0.4521317481994629)","(60.11318588256836, 171.0645294189453, 55.42536544799805)",1,3.6513671875,1,"(-29.66922378540039, 41.49045181274414, 594.0353393554688)",1,"(0.6040069460868835, 0.4333042502403259)","(58.72832107543945, 176.59031677246094, 57.43659591674805)",1,3.6389312744140634,1,"(32.81000518798828, 48.10697937011719, 594.3374633789062)",1
1428792720,2902218186382,"(0.6025382280349731, 0.4510744512081146)","(57.912776947021484, 171.37481689453125, 55.538330078125)",1,3.6767425537109375,1,"(-29.7545223236084, 41.484928131103516, 594.0787353515625)",1,"(0.599919319152832, 0.4288461208343506)","(56.458648681640625, 177.89877319335938, 57.912818908691406)",1,3.646652221679688,1,"(32.72232437133789, 48.1297721862793, 594.3966064453125)",1
