device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1306438764,2902095831353,"(0.3578178584575653, 0.5278041958808899)","(-77.96986389160156, 148.85496520996094, 47.34171676635742)",1,3.5765533447265625,1,"(-32.633323669433594, 54.868255615234375, 574.3101806640625)",1,"(0.35512495040893555, 0.5082494616508484)","(-79.46513366699219, 154.5941925048828, 49.4306755065918)",1,3.5559234619140625,1,"(29.274866104125977, 62.3995361328125, 575.2171020507812)",1
1306455666,2902095848255,"(0.35878661274909973, 0.5315289497375488)","(-77.43197631835938, 147.7617645263672, 46.94385528564453)",1,3.579818725585937,1,"(-32.63855743408203, 54.81598663330078, 573.8113403320312)",1,"(0.3580787181854248, 0.5069639086723328)","(-77.82502746582031, 154.9715118408203, 49.56797790527344)",1,3.545867919921875,1,"(29.23112678527832, 62.339656829833984, 574.764404296875)",1
1306472040,2902095864630,"(0.3612632751464844, 0.5356112122535706)","(-76.0567855834961, 146.56361389160156, 46.50776290893555)",1,3.5810089111328125,1,"(-32.656410217285156, 54.80217742919922, 573.647216796875)",1,"(0.3565850257873535, 0.5073990821838379)","(-78.6544189453125, 154.84378051757812, 49.521484375)",1,3.532318115234375,1,"(29.21234893798828, 62.326629638671875, 574.5990600585938)",1
1306488680,2902095881270,"(0.3592674732208252, 0.5322651863098145)","(-77.16498565673828, 147.54566955566406, 46.86527633666992)",1,3.560791015625,1,"(-32.69312286376953, 54.80206298828125, 573.5813598632812)",1,"(0.3562141954898834, 0.5081460475921631)","(-78.8603286743164, 154.6245574951172, 49.441734313964844)",1,3.5206298828125,1,"(29.16618537902832, 62.34457015991211, 574.5325317382812)",1
1306505586,2902095898176,"(0.35873857140541077, 0.5335918664932251)","(-77.45866394042969, 147.15631103515625, 46.723533630371094)",1,3.549545288085937,1,"(-32.75215530395508, 54.83126449584961, 573.55322265625)",1,"(0.3551664352416992, 0.5109711289405823)","(-79.4421157836914, 153.79539489746094, 49.139923095703125)",1,3.52520751953125,1,"(29.119285583496094, 62.385986328125, 574.51416015625)",1
1306522006,2902095914596,"(0.35894718766212463, 0.5319842100143433)","(-77.3427963256836, 147.6281280517578, 46.8952522277832)",1,3.5479888916015625,1,"(-32.774078369140625, 54.853599548339844, 573.5173950195312)",1,"(0.3569832444190979, 0.5106573104858398)","(-78.43331146240234, 153.88748168945312, 49.17343521118164)",1,3.520126342773437,1,"(29.081541061401367, 62.41969680786133, 574.484619140625)",1
1306538594,2902095931184,"(0.3607182800769806, 0.5304893255233765)","(-76.35939025878906, 148.06687927246094, 47.05491638183594)",1,3.5455322265625,1,"(-32.801002502441406, 54.9010009765625, 573.5092163085938)",1,"(0.35866037011146545, 0.5119398832321167)","(-77.5020751953125, 153.51104736328125, 49.03644943237305)",1,3.53106689453125,1,"(29.04855728149414, 62.49911880493164, 574.475341796875)",1
1306555506,2902095948096,"(0.36455971002578735, 0.5326297879219055)","(-74.22640228271484, 147.43861389160156, 46.8263053894043)",1,3.532745361328125,1,"(-32.777503967285156, 54.98773193359375, 573.4334106445312)",1,"(0.36181771755218506, 0.5117804408073425)","(-75.74891662597656, 153.55787658691406, 49.053470611572266)",1,3.517974853515625,1,"(29.066614151000977, 62.56343460083008, 574.409423828125)",1
1306571874,2902095964464,"(0.39148572087287903, 0.534770667552948)","(-59.27556228637695, 146.81028747558594, 46.597599029541016)",1,3.5306854248046875,1,"(-32.615501403808594, 54.99224853515625, 573.0586547851562)",1,"(0.38563522696495056, 0.511837899684906)","(-62.52409362792969, 153.541015625, 49.04734420776367)",1,3.5210113525390625,1,"(29.167438507080078, 62.56182861328125, 574.0703125)",1
1306588510,2902095981100,"(0.44845086336135864, 0.532921314239502)","(-27.645294189453125, 147.3531036376953, 46.795108795166016)",1,3.537628173828125,1,"(-32.296905517578125, 55.04713821411133, 573.2405395507812)",1,"(0.44550368189811707, 0.5037006139755249)","(-29.281736373901367, 155.9292755126953, 49.91655731201172)",1,3.4965972900390625,1,"(29.524112701416016, 62.61042785644531, 574.2821044921875)",1
