device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1377524840,2902166918037,"(0.5595778822898865, 0.21439731121063232)","(34.058746337890625, 240.83860778808594, 80.82105255126953)",1,3.197479248046875,1,"(-30.874631881713867, 49.84528732299805, 587.5758056640625)",1,"(0.5640349984169006, 0.17906571924686432)","(36.533546447753906, 251.20831298828125, 84.59534454345703)",1,3.0785369873046875,1,"(31.17343521118164, 56.996604919433594, 588.3864135742188)",1
1377541737,2902166934935,"(0.5725507140159607, 0.2140374630689621)","(41.262027740478516, 240.94424438476562, 80.8595199584961)",1,3.21734619140625,1,"(-30.823863983154297, 49.95813751220703, 589.2009887695312)",1,"(0.5675622224807739, 0.17696496844291687)","(38.4920768737793, 251.82489013671875, 84.8197250366211)",1,3.10125732421875,1,"(31.327699661254883, 57.087249755859375, 589.6815185546875)",1
1377558032,2902166951230,"(0.5752434730529785, 0.21333737671375275)","(42.7571907043457, 241.14971923828125, 80.93429565429688)",1,3.204742431640625,1,"(-30.818878173828125, 49.88003158569336, 588.4801025390625)",1,"(0.5709133744239807, 0.17887923121452332)","(40.352840423583984, 251.26304626464844, 84.6152572631836)",1,3.1004180908203125,1,"(31.274658203125, 57.02862548828125, 589.1337890625)",1
1377574754,2902166967952,"(0.5776061415672302, 0.2191265970468521)","(44.069053649902344, 239.4506072998047, 80.31586456298828)",1,3.1898651123046875,1,"(-30.85053825378418, 49.82592010498047, 587.9134521484375)",1,"(0.572849452495575, 0.18074050545692444)","(41.427860260009766, 250.71676635742188, 84.41643524169922)",1,3.0973358154296875,1,"(31.178264617919922, 56.991668701171875, 588.5406494140625)",1
1377591657,2902166984855,"(0.5764060020446777, 0.21771477162837982)","(43.402671813964844, 239.86497497558594, 80.46668243408203)",1,3.1854705810546875,1,"(-30.935935974121094, 49.82529067993164, 587.950927734375)",1,"(0.5727984309196472, 0.18388095498085022)","(41.399574279785156, 249.7950439453125, 84.0809326171875)",1,3.0924530029296875,1,"(31.108863830566406, 57.026458740234375, 588.5662231445312)",1
1377607998,2902167001196,"(0.5768988132476807, 0.21824975311756134)","(43.67633056640625, 239.7079620361328, 80.40953063964844)",1,3.187591552734375,1,"(-30.98923110961914, 49.83734893798828, 588.01123046875)",1,"(0.5699024200439453, 0.1857830137014389)","(39.791500091552734, 249.23684692382812, 83.87775421142578)",1,3.099090576171875,1,"(31.081796646118164, 57.05805587768555, 588.6433715820312)",1
1377624670,2902167017869,"(0.5776571035385132, 0.21998730301856995)","(44.09735107421875, 239.197998046875, 80.22394561767578)",1,3.1753082275390625,1,"(-31.069095611572266, 49.85780334472656, 588.0330810546875)",1,"(0.5692672729492188, 0.1878361701965332)","(39.43886947631836, 248.63424682617188, 83.65840911865234)",1,3.10040283203125,1,"(31.004838943481445, 57.10605239868164, 588.6690673828125)",1
1377641577,2902167034776,"(0.5764287710189819, 0.21516267955303192)","(43.41535186767578, 240.61399841308594, 80.73931121826172)",1,3.1732635498046875,1,"(-31.142295837402344, 49.882484436035156, 587.9486083984375)",1,"(0.5710151791572571, 0.1884707361459732)","(40.40941619873047, 248.44798278808594, 83.59061431884766)",1,3.1075439453125,1,"(30.92547607421875, 57.12760543823242, 588.6060180664062)",1
1377657868,2902167051067,"(0.5774163603782654, 0.21755796670913696)","(43.96371078491211, 239.91099548339844, 80.4834213256836)",1,3.1781005859375,1,"(-31.178348541259766, 49.88776779174805, 587.919677734375)",1,"(0.5706719160079956, 0.18956167995929718)","(40.21879196166992, 248.12779235839844, 83.47407531738281)",1,3.114974975585937,1,"(30.89710235595703, 57.13726806640625, 588.5943603515625)",1
1377674586,2902167067785,"(0.5775992274284363, 0.21879202127456665)","(44.06522750854492, 239.54881286621094, 80.35159301757812)",1,3.1734771728515625,1,"(-31.230405807495117, 49.86393356323242, 587.8280639648438)",1,"(0.5712868571281433, 0.1947489231824875)","(40.5602912902832, 246.6053466796875, 82.91995239257812)",1,3.1167449951171875,1,"(30.832767486572266, 57.097084045410156, 588.4910888671875)",1
1377691497,2902167084696,"(0.5767912268638611, 0.21906058490276337)","(43.6165771484375, 239.469970703125, 80.32291412353516)",1,3.184295654296875,1,"(-31.252853393554688, 49.78929138183594, 587.595458984375)",1,"(0.5713270306587219, 0.1968671977519989)","(40.58259582519531, 245.98362731933594, 82.69371795654297)",1,3.1191864013671875,1,"(30.799654006958008, 57.01780700683594, 588.2860107421875)",1
1377707834,2902167101033,"(0.5782497525215149, 0.2159281224012375)","(44.426475524902344, 240.38934326171875, 80.65753173828125)",1,3.1762237548828125,1,"(-31.257265090942383, 49.74365997314453, 587.5616455078125)",1,"(0.5734370350837708, 0.19165877997875214)","(41.754173278808594, 247.5122833251953, 83.2500991821289)",1,3.127838134765625,1,"(30.789710998535156, 56.970001220703125, 588.2437133789062)",1
1377724501,2902167117700,"(0.5786881446838379, 0.21466390788555145)","(44.66984558105469, 240.76039123535156, 80.79261779785156)",1,3.1836090087890625,1,"(-31.246562957763672, 49.695823669433594, 587.5821533203125)",1,"(0.5708878040313721, 0.19351793825626373)","(40.33869171142578, 246.96665954589844, 83.0514907836914)",1,3.1210479736328125,1,"(30.811670303344727, 56.93104553222656, 588.2682495117188)",1
1377741417,2902167134617,"(0.5791292190551758, 0.214530810713768)","(44.91474533081055, 240.79946899414062, 80.80680084228516)",1,3.18731689453125,1,"(-31.22199058532715, 49.671051025390625, 587.60888671875)",1,"(0.5700544714927673, 0.19350914657115936)","(39.87600326538086, 246.9691925048828, 83.05247497558594)",1,3.1324615478515625,1,"(30.82708168029785, 56.92155456542969, 588.2825927734375)",1
1377757702,2902167150902,"(0.5782802104949951, 0.2167888879776001)","(44.44336700439453, 240.13671875, 80.56559753417969)",1,3.179473876953125,1,"(-31.208173751831055, 49.65610122680664, 587.5084228515625)",1,"(0.5697975754737854, 0.1927565187215805)","(39.73334884643555, 247.19012451171875, 83.13285827636719)",1,3.135223388671875,1,"(30.827903747558594, 56.920440673828125, 588.1845092773438)",1
1377774417,2902167167617,"(0.577383816242218, 0.21810363233089447)","(43.94561767578125, 239.7508544921875, 80.42515563964844)",1,3.181365966796875,1,"(-31.19688606262207, 49.6406135559082, 587.3662719726562)",1,"(0.5697819590568542, 0.19576433300971985)","(39.72468185424805, 246.3073272705078, 82.81155395507812)",1,3.140777587890625,1,"(30.8052921295166, 56.941368103027344, 588.0218505859375)",1
1377791337,2902167184537,"(0.5770074129104614, 0.21803945302963257)","(43.73660659790039, 239.7696533203125, 80.43204498291016)",1,3.199249267578125,1,"(-31.2130126953125, 49.63388442993164, 587.3289184570312)",1,"(0.5711976289749146, 0.1952267438173294)","(40.5107421875, 246.465087890625, 82.86898040771484)",1,3.136444091796875,1,"(30.771936416625977, 56.97545623779297, 588.0040283203125)",1
