device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1125747175,818676215610,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1125764160,818676232596,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.334445595741272, 0.8862754702568054)","(-90.73799896240234, 43.449466705322266, 8.977294921875)",1,3.47967529296875,1,"(-29.950620651245117, 9.78632640838623, 647.5025024414062)",1
1125780442,818676248878,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.33477583527565, 0.8865638375282288)","(-90.55570220947266, 43.36533737182617, 8.946701049804688)",1,3.4689788818359375,1,"(-29.75162696838379, 9.779662132263184, 647.6896362304688)",1
1125797100,818676265536,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1125814075,818676282512,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.337226539850235, 0.8852552771568298)","(-89.20291900634766, 43.74716567993164, 9.085628509521484)",1,3.4701080322265625,1,"(-29.459138870239258, 9.777634620666504, 648.0513916015625)",1
1125830324,818676298761,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3314559757709503, 0.8788008093833923)","(-92.38829040527344, 45.63039779663086, 9.771063804626465)",1,3.46441650390625,1,"(-29.365188598632812, 9.776139259338379, 648.0966796875)",1
1125847020,818676315457,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1125863991,818676332428,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3365635573863983, 0.8816894292831421)","(-89.56887817382812, 44.787567138671875, 9.464348793029785)",1,3.4694061279296875,1,"(-29.28610610961914, 9.78829288482666, 648.0150146484375)",1
1125880273,818676348711,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3377501666545868, 0.8863296508789062)","(-88.91386413574219, 43.43365478515625, 8.971501350402832)",1,3.4720306396484375,1,"(-29.260190963745117, 9.792475700378418, 647.9207763671875)",1
1125896930,818676365368,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1125913898,818676382336,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.33574914932250977, 0.8855719566345215)","(-90.0184555053711, 43.654754638671875, 9.052011489868164)",1,3.4593505859375,1,"(-29.2076358795166, 9.785467147827148, 647.7214965820312)",1
1125930160,818676398599,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3369370400905609, 0.8862388134002686)","(-89.36273193359375, 43.460201263427734, 8.981154441833496)",1,3.4642486572265625,1,"(-29.147762298583984, 9.786436080932617, 647.7088623046875)",1
1125946856,818676415295,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1125963910,818676432349,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.33430013060569763, 0.8883005380630493)","(-90.81831359863281, 42.858646392822266, 8.762231826782227)",1,3.447479248046875,1,"(-28.994638442993164, 9.791325569152832, 647.8970336914062)",1
1125980084,818676448523,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.33308544754981995, 0.8852278590202332)","(-91.48883819580078, 43.75516891479492, 9.08852481842041)",1,3.4493408203125,1,"(-28.889822006225586, 9.785293579101562, 647.904052734375)",1
1125996822,818676465262,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1126013824,818676482264,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3308534622192383, 0.883906900882721)","(-92.72087097167969, 44.14057540893555, 9.228838920593262)",1,3.4579010009765625,1,"(-28.69957733154297, 9.769133567810059, 648.1240234375)",1
1126029964,818676498404,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.33282867074012756, 0.884941816329956)","(-91.63054656982422, 43.8386344909668, 9.118891716003418)",1,3.45953369140625,1,"(-28.655170440673828, 9.75712776184082, 648.16455078125)",1
1126046690,818676515131,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1126063643,818676532084,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3382548987865448, 0.8784278035163879)","(-88.63523864746094, 45.73921203613281, 9.810739517211914)",1,3.4868316650390625,1,"(-28.606769561767578, 9.795663833618164, 648.067626953125)",1
