device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1670631445,819221109809,"(0.5324877500534058, 0.8968835473060608)","(18.581924438476562, 40.35429000854492, 7.85076904296875)",1,2.968353271484375,1,"(-49.412353515625, -37.2953987121582, 631.6763916015625)",1,"(0.567049503326416, 0.8871133327484131)","(37.66011047363281, 43.20499801635742, 8.88836669921875)",1,3.1607513427734375,1,"(15.242435455322266, -38.233150482177734, 633.5438842773438)",1
1670648144,819221126509,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.45041632652282715, 0.8589677214622498)","(-26.721776962280273, 51.41722869873047, 11.877384185791016)",1,3.1005096435546875,1,"(15.129962921142578, -38.27690505981445, 633.5437622070312)",1
1670664628,819221142993,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3518332242965698, 0.7503103613853455)","(-81.13998413085938, 83.12088012695312, 23.41655158996582)",1,3.1007843017578125,1,"(14.872568130493164, -38.36115646362305, 633.2527465820312)",1
1670681411,819221159776,"(0.4904998540878296, 0.7351868748664856)","(-4.59551477432251, 87.53352355957031, 25.022592544555664)",1,3.72149658203125,1,"(-49.91545486450195, -37.651859283447266, 630.9638671875)",1,"(0.4080050587654114, 0.7223408222198486)","(-50.13294219970703, 91.28173828125, 26.38683319091797)",1,3.561004638671875,1,"(14.725296020507812, -38.392494201660156, 633.0225830078125)",1
1670698156,819221176522,"(0.48057204484939575, 0.7305411696434021)","(-10.075716018676758, 88.88903045654297, 25.51594352722168)",1,3.787017822265625,1,"(-49.98756790161133, -37.666595458984375, 630.8447875976562)",1,"(0.4668738543987274, 0.6953077912330627)","(-17.63717269897461, 99.16930389404297, 29.257680892944336)",1,4.0546875,1,"(14.55178451538086, -38.38029479980469, 632.7469482421875)",1
1670714502,819221192868,"(0.4696030020713806, 0.7016343474388123)","(-16.13066864013672, 97.3233871459961, 28.585792541503906)",1,3.9306182861328125,1,"(-50.090431213378906, -37.65827560424805, 630.7222900390625)",1,"(0.4679279625415802, 0.6606279015541077)","(-17.0552978515625, 109.28810119628906, 32.94058609008789)",1,4.16351318359375,1,"(14.43970012664795, -38.31580352783203, 632.635986328125)",1
1670731280,819221209646,"(0.46345728635787964, 0.689365565776825)","(-19.52315330505371, 100.90312194824219, 29.88873291015625)",1,3.9444427490234375,1,"(-50.11874008178711, -37.65166091918945, 630.5885009765625)",1,"(0.4654294550418854, 0.6445251107215881)","(-18.434476852416992, 113.98651885986328, 34.65068054199219)",1,4.1805877685546875,1,"(14.379364013671875, -38.27360153198242, 632.4762573242188)",1
1670748072,819221226439,"(0.463919997215271, 0.655789315700531)","(-19.26770782470703, 110.69985961914062, 33.454498291015625)",1,4.0332489013671875,1,"(-50.17277526855469, -37.64214324951172, 630.42626953125)",1,"(0.4632558524608612, 0.654566764831543)","(-19.63429832458496, 111.05657196044922, 33.58427429199219)",1,4.160247802734375,1,"(14.304426193237305, -38.20072937011719, 632.330322265625)",1
1670764422,819221242789,"(0.4639485478401184, 0.6351112723350525)","(-19.251951217651367, 116.73324584960938, 35.65040588378906)",1,4.0650482177734375,1,"(-50.25800323486328, -37.650672912597656, 630.5078735351562)",1,"(0.4633709192276001, 0.6603243350982666)","(-19.570789337158203, 109.37667083740234, 32.972801208496094)",1,4.15350341796875,1,"(14.223258018493652, -38.153038024902344, 632.4080200195312)",1
1670781149,819221259516,"(0.46271637082099915, 0.6305426955223083)","(-19.932092666625977, 118.06620788574219, 36.135562896728516)",1,4.0755615234375,1,"(-50.28641891479492, -37.64579772949219, 630.420166015625)",1,"(0.46146464347839355, 0.6649154424667358)","(-20.623090744018555, 108.03711700439453, 32.4852180480957)",1,4.1534576416015625,1,"(14.169360160827637, -38.10467529296875, 632.3212280273438)",1
1670797987,819221276355,"(0.4636661410331726, 0.6384036540985107)","(-19.407817840576172, 115.7725830078125, 35.30079650878906)",1,4.0846710205078125,1,"(-50.34966278076172, -37.647037506103516, 630.1688232421875)",1,"(0.46167686581611633, 0.6583664417266846)","(-20.50590705871582, 109.94791412353516, 33.18074417114258)",1,4.146820068359375,1,"(14.057642936706543, -38.05866622924805, 632.0702514648438)",1
1670814342,819221292710,"(0.461760550737381, 0.6396058797836304)","(-20.459739685058594, 115.42182922363281, 35.173065185546875)",1,4.0890960693359375,1,"(-50.445125579833984, -37.68815994262695, 630.2171630859375)",1,"(0.4618973731994629, 0.6593496203422546)","(-20.384197235107422, 109.66107177734375, 33.07638168334961)",1,4.147064208984375,1,"(13.955207824707031, -38.05033874511719, 632.119384765625)",1
1670831115,819221309483,"(0.464012086391449, 0.657359778881073)","(-19.216876983642578, 110.2416763305664, 33.28764343261719)",1,4.0697479248046875,1,"(-50.49957275390625, -37.711639404296875, 630.3197631835938)",1,"(0.4570542573928833, 0.6638309359550476)","(-23.05763053894043, 108.35353088378906, 32.600486755371094)",1,4.16680908203125,1,"(13.90164566040039, -38.058773040771484, 632.2410278320312)",1
1670847806,819221326174,"(0.4649412930011749, 0.6505686640739441)","(-18.70397186279297, 112.2231674194336, 34.00886917114258)",1,4.069610595703125,1,"(-50.58999252319336, -37.77127456665039, 630.4174194335938)",1,"(0.45684975385665894, 0.6652512550354004)","(-23.17048454284668, 107.9390869140625, 32.449623107910156)",1,4.1684112548828125,1,"(13.807658195495605, -38.079994201660156, 632.3399658203125)",1
1670864262,819221342631,"(0.4681333303451538, 0.652419924736023)","(-16.94194984436035, 111.68299865722656, 33.812259674072266)",1,4.07415771484375,1,"(-50.709964752197266, -37.794490814208984, 630.41845703125)",1,"(0.4563041031360626, 0.6621682047843933)","(-23.47170639038086, 108.83866882324219, 32.77702331542969)",1,4.176116943359375,1,"(13.698847770690918, -38.078025817871094, 632.3477783203125)",1
1670880985,819221359354,"(0.4671754240989685, 0.6519769430160522)","(-17.470687866210938, 111.812255859375, 33.85929489135742)",1,4.067474365234375,1,"(-50.76431655883789, -37.78426742553711, 630.3634643554688)",1,"(0.46079763770103455, 0.6585847735404968)","(-20.991241455078125, 109.88421630859375, 33.15756607055664)",1,4.165557861328125,1,"(13.607789993286133, -38.0594482421875, 632.29248046875)",1
1670897818,819221376187,"(0.46809983253479004, 0.6549946665763855)","(-16.960420608520508, 110.93170166015625, 33.53885269165039)",1,4.082366943359375,1,"(-50.878238677978516, -37.78681564331055, 630.3079833984375)",1,"(0.4597979784011841, 0.6602513790130615)","(-21.543067932128906, 109.39794158935547, 32.980587005615234)",1,4.1831817626953125,1,"(13.463179588317871, -38.03896713256836, 632.2604370117188)",1
1670914182,819221392552,"(0.4573701024055481, 0.633032500743866)","(-22.883275985717773, 117.33976745605469, 35.87116622924805)",1,4.09332275390625,1,"(-51.102813720703125, -37.74503707885742, 630.3472900390625)",1,"(0.4489644467830658, 0.6362893581390381)","(-27.523225784301758, 116.38948822021484, 35.52529525756836)",1,4.20623779296875,1,"(13.229567527770996, -37.95069885253906, 632.3165283203125)",1
1670930951,819221409321,"(0.4266197085380554, 0.48393934965133667)","(-39.85759735107422, 160.84165954589844, 51.704551696777344)",1,4.1558685302734375,1,"(-51.23759078979492, -37.511512756347656, 630.3756103515625)",1,"(0.4314124584197998, 0.5199980735778809)","(-37.21198654174805, 150.32054138183594, 47.87518310546875)",1,4.2298126220703125,1,"(12.913737297058105, -37.63433074951172, 632.3472290039062)",1
1670947733,819221426103,"(0.39820989966392517, 0.2706999182701111)","(-55.5399169921875, 223.0598602294922, 74.35014343261719)",1,4.177276611328125,1,"(-51.4254150390625, -36.980472564697266, 630.67529296875)",1,"(0.39981600642204285, 0.30957815051078796)","(-54.65332794189453, 211.71607971191406, 70.22134399414062)",1,4.2209930419921875,1,"(12.38807201385498, -36.947967529296875, 632.6978759765625)",1
1670964102,819221442473,"(0.3762972354888916, 0.12057766318321228)","(-67.63578033447266, 266.86199951171875, 90.29278564453125)",1,4.1967010498046875,1,"(-51.66348648071289, -36.58546829223633, 631.0628051757812)",1,"(0.3766711354255676, 0.1824510544538498)","(-67.42935943603516, 248.80874633789062, 83.72196197509766)",1,4.2243499755859375,1,"(12.070125579833984, -36.50895690917969, 633.0687255859375)",1
1670980820,819221459191,"(0.3771028220653534, 0.14120186865329742)","(-67.19107818603516, 260.84429931640625, 88.10254669189453)",1,4.1302337646484375,1,"(-51.828609466552734, -36.52827072143555, 631.3861083984375)",1,"(0.36965614557266235, 0.1672201007604599)","(-71.30167388916016, 253.2528076171875, 85.33946990966797)",1,4.2332916259765625,1,"(11.97339916229248, -36.383846282958984, 633.448486328125)",1
1670997649,819221476020,"(0.3797481656074524, 0.14207744598388672)","(-65.73082733154297, 260.5888366699219, 88.00957489013672)",1,4.1396942138671875,1,"(-52.023475646972656, -36.43790817260742, 631.5205688476562)",1,"(0.3741779923439026, 0.16103045642375946)","(-68.80559539794922, 255.0587921142578, 85.99679565429688)",1,4.2677459716796875,1,"(11.896289825439453, -36.247642517089844, 633.57373046875)",1
1671014013,819221492385,"(0.38003483414649963, 0.13510800898075104)","(-65.57259368896484, 262.62237548828125, 88.74972534179688)",1,4.132110595703125,1,"(-52.15584182739258, -36.35077667236328, 631.3429565429688)",1,"(0.3732598125934601, 0.1727961003780365)","(-69.31246185302734, 251.62588500976562, 84.747314453125)",1,4.2638702392578125,1,"(11.810759544372559, -36.045509338378906, 633.4205322265625)",1
