device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1397892240,2902187285610,"(0.37192103266716003, 0.3076503276824951)","(-70.13899993896484, 213.46923828125, 70.85944366455078)",1,3.6589202880859375,1,"(-29.97500228881836, 44.89469909667969, 590.658203125)",1,"(0.37922611832618713, 0.2802041471004486)","(-66.0827865600586, 221.52456665039062, 73.7913818359375)",1,3.5717926025390625,1,"(32.15353775024414, 51.43341064453125, 591.0774536132812)",1
1397909064,2902187302434,"(0.37155839800834656, 0.30728036165237427)","(-70.34034729003906, 213.5778350830078, 70.89895629882812)",1,3.66015625,1,"(-29.986845016479492, 44.892578125, 590.8046264648438)",1,"(0.3787486255168915, 0.2804771661758423)","(-66.34793853759766, 221.44444274902344, 73.76219177246094)",1,3.5735321044921875,1,"(32.17133712768555, 51.45787811279297, 591.2203979492188)",1
1397925420,2902187318790,"(0.3711167573928833, 0.3061831593513489)","(-70.58557891845703, 213.89987182617188, 71.01617431640625)",1,3.669281005859375,1,"(-29.981595993041992, 44.907691955566406, 590.9335327148438)",1,"(0.37788280844688416, 0.2828185558319092)","(-66.82868194580078, 220.7572784423828, 73.51204681396484)",1,3.580963134765625,1,"(32.20519256591797, 51.49025344848633, 591.3469848632812)",1
1397942156,2902187335526,"(0.372603178024292, 0.30669549107551575)","(-69.76022338867188, 213.7494659423828, 70.96144104003906)",1,3.681549072265625,1,"(-29.95687484741211, 44.927486419677734, 591.03369140625)",1,"(0.37831202149391174, 0.27981820702552795)","(-66.5903549194336, 221.6378631591797, 73.83255004882812)",1,3.5904083251953125,1,"(32.259796142578125, 51.53262710571289, 591.4588012695312)",1
1397958984,2902187352355,"(0.37254607677459717, 0.30789169669151306)","(-69.79193878173828, 213.39842224121094, 70.83362579345703)",1,3.681427001953125,1,"(-29.941560745239258, 44.95635223388672, 591.07080078125)",1,"(0.3790169060230255, 0.27980610728263855)","(-66.19896697998047, 221.64141845703125, 73.83384704589844)",1,3.58746337890625,1,"(32.29227828979492, 51.57000732421875, 591.48095703125)",1
1397975289,2902187368660,"(0.372757226228714, 0.3087064325809479)","(-69.6747055053711, 213.15927124023438, 70.7466049194336)",1,3.673049926757813,1,"(-29.95318031311035, 44.97917175292969, 591.1795043945312)",1,"(0.3794114291667938, 0.2783324420452118)","(-65.97991180419922, 222.07391357421875, 73.99127960205078)",1,3.5926971435546875,1,"(32.29813766479492, 51.58811950683594, 591.5792236328125)",1
1397992072,2902187385443,"(0.3709411919116974, 0.30913764238357544)","(-70.68305969238281, 213.03271484375, 70.70056915283203)",1,3.6921234130859375,1,"(-30.00244903564453, 45.01308059692383, 591.4169921875)",1,"(0.3769588768482208, 0.2792826294898987)","(-67.34169006347656, 221.79502868652344, 73.88977813720703)",1,3.605316162109375,1,"(32.29117965698242, 51.615108489990234, 591.8507690429688)",1
1398008904,2902187402275,"(0.37046676874160767, 0.3126088082790375)","(-70.94647979736328, 212.01394653320312, 70.32974243164062)",1,3.708938598632813,1,"(-30.09662628173828, 45.042354583740234, 591.62939453125)",1,"(0.3777121305465698, 0.2789404094219208)","(-66.9234390258789, 221.8955078125, 73.92633056640625)",1,3.608551025390625,1,"(32.238643646240234, 51.6207275390625, 592.0484008789062)",1
1398025255,2902187418626,"(0.37142953276634216, 0.3121330440044403)","(-70.4118881225586, 212.15357971191406, 70.38053131103516)",1,3.705764770507813,1,"(-30.15673828125, 45.048789978027344, 591.6412963867188)",1,"(0.3779960870742798, 0.2790581285953522)","(-66.76578521728516, 221.86094665527344, 73.91377258300781)",1,3.62054443359375,1,"(32.187278747558594, 51.61445617675781, 592.0765380859375)",1
1398041987,2902187435358,"(0.3703296184539795, 0.3086012601852417)","(-71.02263641357422, 213.19015502929688, 70.75782775878906)",1,3.71832275390625,1,"(-30.24411392211914, 45.046016693115234, 591.64599609375)",1,"(0.37606939673423767, 0.28151488304138184)","(-67.83560943603516, 221.139892578125, 73.65133666992188)",1,3.6312255859375,1,"(32.10774612426758, 51.627803802490234, 592.0855102539062)",1
