device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1333046074,2902122438920,"(0.326305627822876, 0.7056563496589661)","(-95.46728515625, 96.65605926513672, 28.342897415161133)",1,3.7118072509765625,1,"(-33.41250228881836, 51.241397857666016, 580.3521118164062)",1,"(0.32140082120895386, 0.653602123260498)","(-98.19065856933594, 111.9337158203125, 33.90354919433594)",1,3.734695434570313,1,"(28.318918228149414, 58.0670166015625, 581.2532348632812)",1
1333063007,2902122455853,"(0.32263708114624023, 0.704484224319458)","(-97.50423431396484, 97.00006866455078, 28.46810531616211)",1,3.690673828125,1,"(-33.47805404663086, 51.247406005859375, 580.3858032226562)",1,"(0.32181113958358765, 0.6634266376495361)","(-97.96285247802734, 109.0503158569336, 32.85403060913086)",1,3.7555999755859375,1,"(28.311195373535156, 58.10114669799805, 581.3003540039062)",1
1333079381,2902122472228,"(0.32248586416244507, 0.7026335597038269)","(-97.58819580078125, 97.54322814941406, 28.665786743164062)",1,3.693145751953125,1,"(-33.49751663208008, 51.236656188964844, 580.3497314453125)",1,"(0.32394376397132874, 0.6636172533035278)","(-96.77871704101562, 108.99436950683594, 32.83369827270508)",1,3.75848388671875,1,"(28.30709457397461, 58.0957145690918, 581.2667236328125)",1
1333095988,2902122488835,"(0.3251074552536011, 0.7076309323310852)","(-96.132568359375, 96.07653045654297, 28.1319580078125)",1,3.700958251953125,1,"(-33.50065231323242, 51.196441650390625, 580.1770629882812)",1,"(0.32382556796073914, 0.6671221852302551)","(-96.84429931640625, 107.96565246582031, 32.45924758911133)",1,3.754226684570313,1,"(28.30382537841797, 58.06574249267578, 581.0709838867188)",1
1333112927,2902122505774,"(0.32554176449775696, 0.7071850895881653)","(-95.89139556884766, 96.20735931396484, 28.179630279541016)",1,3.69720458984375,1,"(-33.48405456542969, 51.13386154174805, 579.9085083007812)",1,"(0.3245319128036499, 0.6685945987701416)","(-96.4521255493164, 107.53350830078125, 32.301963806152344)",1,3.761962890625,1,"(28.31322479248047, 58.01877975463867, 580.8278198242188)",1
1333129251,2902122522098,"(0.32538437843322754, 0.7090771794319153)","(-95.97879791259766, 95.65202331542969, 27.97751808166504)",1,3.695968627929688,1,"(-33.468902587890625, 51.10400390625, 579.7782592773438)",1,"(0.32190436124801636, 0.66783607006073)","(-97.91112518310547, 107.75616455078125, 32.383033752441406)",1,3.7650299072265625,1,"(28.32654571533203, 57.98816680908203, 580.6987915039062)",1
1333145904,2902122538751,"(0.3234538435935974, 0.7107112407684326)","(-97.0507583618164, 95.17243194580078, 27.802955627441406)",1,3.686935424804688,1,"(-33.452354431152344, 51.06421661376953, 579.6000366210938)",1,"(0.321230411529541, 0.6652010083198547)","(-98.28532409667969, 108.5295181274414, 32.66451644897461)",1,3.7567291259765625,1,"(28.345521926879883, 57.934696197509766, 580.505615234375)",1
1333162847,2902122555694,"(0.3244377672672272, 0.7010418176651001)","(-96.50440979003906, 98.01039123535156, 28.835887908935547)",1,3.684295654296875,1,"(-33.43855285644531, 51.068973541259766, 579.4548950195312)",1,"(0.32391971349716187, 0.6587204337120056)","(-96.79206085205078, 110.43154907226562, 33.35677719116211)",1,3.75775146484375,1,"(28.343185424804688, 57.94712448120117, 580.3739013671875)",1
1333179217,2902122572064,"(0.32502099871635437, 0.6651450395584106)","(-96.18057250976562, 108.54596710205078, 32.670528411865234)",1,3.69732666015625,1,"(-33.41086959838867, 51.131011962890625, 579.3441772460938)",1,"(0.3278157114982605, 0.6309776902198792)","(-94.62879943847656, 118.573974609375, 36.320350646972656)",1,3.760101318359375,1,"(28.331714630126953, 58.011131286621094, 580.267578125)",1
1333195820,2902122588668,"(0.32468512654304504, 0.647610604763031)","(-96.36705780029297, 113.69221496582031, 34.54357147216797)",1,3.702194213867188,1,"(-33.387149810791016, 51.2414665222168, 579.3069458007812)",1,"(0.3225305676460266, 0.6102608442306519)","(-97.56336212158203, 124.65425872802734, 38.533470153808594)",1,3.7508392333984375,1,"(28.327102661132812, 58.12422561645508, 580.2401123046875)",1
