device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1002209775,818552676067,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002225920,818552692212,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002242560,818552708852,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002259568,818552725861,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002275886,818552742179,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002292526,818552758819,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002309365,818552775658,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002325852,818552792146,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002342492,818552808786,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002359162,818552825456,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002375818,818552842113,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002415855,818552882150,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002432911,818552899206,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.45036813616752625, 0.698276937007904)","(-26.7484073638916, 98.30301666259766, 28.942359924316406)",1,5.8079681396484375,1,"(3.9633750915527344, -31.107999801635742, 604.173828125)",1
1002449597,818552915893,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002466026,818552932322,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002497499,818552963796,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002514058,818552980355,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002530840,818552997136,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002554675,818553020972,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002584991,818553051288,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002601348,818553067646,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002642354,818553108652,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0
1002658763,818553125062,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.34254196286201477, 0.6926822066307068)","(-86.26880645751953, 99.93539428710938, 29.536479949951172)",1,6.078369140625,1,"(3.947249174118042, -29.285930633544922, 604.2655029296875)",1
1002675591,818553141890,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.35060933232307434, 0.7249492406845093)","(-81.8155517578125, 90.52062225341797, 26.10982894897461)",1,5.7149505615234375,1,"(3.604919195175171, -28.038042068481445, 583.9699096679688)",1
1002692029,818553158328,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3749501705169678, 0.8106237053871155)","(-68.37935638427734, 65.5228500366211, 17.011343002319336)",1,4.97100830078125,1,"(3.0153605937957764, -24.099700927734375, 512.1577758789062)",1
1002708632,818553174931,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3744226396083832, 0.8198031187057495)","(-68.67054748535156, 62.844512939453125, 16.03649139404297)",1,4.934234619140625,1,"(2.9119107723236084, -23.615280151367188, 510.10906982421875)",1
1002725603,818553191903,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.37822073698043823, 0.8143796324729919)","(-66.57398223876953, 64.42694854736328, 16.612451553344727)",1,4.9213104248046875,1,"(2.8250062465667725, -22.91275978088379, 509.7178649902344)",1
1002741848,818553208148,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3805994391441345, 0.8125358819961548)","(-65.26091003417969, 64.96493530273438, 16.808279037475586)",1,4.9359588623046875,1,"(2.8363490104675293, -22.177486419677734, 510.4153137207031)",1
1002758501,818553224801,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3803468346595764, 0.8072472810745239)","(-65.4003677368164, 66.50804138183594, 17.369916915893555)",1,4.9359893798828125,1,"(2.8944718837738037, -21.731536865234375, 511.41375732421875)",1
1002775519,818553241820,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3795841336250305, 0.8049052357673645)","(-65.82139587402344, 67.19139862060547, 17.618656158447266)",1,4.9521026611328125,1,"(3.015876293182373, -21.049152374267578, 512.8092651367188)",1
1002791749,818553258050,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,"(0.3811401426792145, 0.8105427026748657)","(-64.96246337890625, 65.54650115966797, 17.019990921020508)",1,4.95361328125,1,"(3.1722779273986816, -20.346343994140625, 513.1466674804688)",1
