device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity
1346482569,818896955037,"(0.5149813294410706, 0.2983763813972473)","(8.91827392578125, 214.9844970703125, 71.4109878540039)",1,4.0939788818359375,1,"(-90.05692291259766, -8.913959503173828, 628.623046875)",1,"(0.5168827772140503, 0.3136526644229889)","(9.96793270111084, 210.52723693847656, 69.78866577148438)",1,4.3740081787109375,1,"(-26.07349395751953, -6.447031021118164, 634.5101318359375)",1
1346499632,818896972100,"(0.5172653794288635, 0.3016039729118347)","(10.179101943969727, 214.0427703857422, 71.06822204589844)",1,4.1005401611328125,1,"(-90.03909301757812, -8.887290000915527, 628.5664672851562)",1,"(0.5163145065307617, 0.31203651428222656)","(9.654229164123535, 210.99879455566406, 69.96026611328125)",1,4.373260498046875,1,"(-26.03707504272461, -6.455221176147461, 634.462646484375)",1
1346515789,818896988258,"(0.5154231786727905, 0.2975919246673584)","(9.162222862243652, 215.21337890625, 71.49427032470703)",1,4.1026153564453125,1,"(-90.00653076171875, -8.822587966918945, 628.4872436523438)",1,"(0.5150628685951233, 0.3080269396305084)","(8.963382720947266, 212.16868591308594, 70.3861083984375)",1,4.3694305419921875,1,"(-26.009416580200195, -6.389525413513184, 634.39306640625)",1
1346532535,818897005004,"(0.5135851502418518, 0.293093740940094)","(8.147631645202637, 216.52584838867188, 71.97196960449219)",1,4.1012725830078125,1,"(-89.98806762695312, -8.787437438964844, 628.4417724609375)",1,"(0.5156915187835693, 0.30545294284820557)","(9.310351371765137, 212.91970825195312, 70.65945434570312)",1,4.366546630859375,1,"(-26.007558822631836, -6.336877346038818, 634.3232421875)",1
1346549548,818897022017,"(0.5142061710357666, 0.30143383145332336)","(8.490434646606445, 214.0924072265625, 71.08625030517578)",1,4.09765625,1,"(-90.00154876708984, -8.721866607666016, 628.5570678710938)",1,"(0.5151426196098328, 0.3104652166366577)","(9.007339477539062, 211.45729064941406, 70.12712860107422)",1,4.3762359619140625,1,"(-26.013439178466797, -6.260686874389648, 634.4547119140625)",1
1346565709,818897038179,"(0.5145354866981506, 0.29489976167678833)","(8.672195434570312, 215.99884033203125, 71.78020477294922)",1,4.10308837890625,1,"(-90.00814819335938, -8.763734817504883, 628.58447265625)",1,"(0.5159485340118408, 0.31425705552101135)","(9.45226764678955, 210.35089111328125, 69.72447967529297)",1,4.3808746337890625,1,"(-26.018875122070312, -6.26564359664917, 634.480712890625)",1
1346582404,818897054874,"(0.5148941278457642, 0.29955947399139404)","(8.870221138000488, 214.63929748535156, 71.28534698486328)",1,4.112884521484375,1,"(-90.01508331298828, -8.78454875946045, 628.565673828125)",1,"(0.5148283243179321, 0.30910953879356384)","(8.833866119384766, 211.8528289794922, 70.27115631103516)",1,4.3712615966796875,1,"(-26.021320343017578, -6.282240867614746, 634.4506225585938)",1
1346599463,818897071933,"(0.5142146944999695, 0.30374306440353394)","(8.495169639587402, 213.41864013671875, 70.84104919433594)",1,4.107177734375,1,"(-90.02605438232422, -8.831302642822266, 628.4898681640625)",1,"(0.5144286155700684, 0.30537500977516174)","(8.613212585449219, 212.94247436523438, 70.6677017211914)",1,4.3790283203125,1,"(-26.040782928466797, -6.339011192321777, 634.3822021484375)",1
1346615629,818897088100,"(0.5165319442749023, 0.3012179434299469)","(9.774246215820312, 214.15541076660156, 71.10919189453125)",1,4.12530517578125,1,"(-90.07074737548828, -8.884298324584961, 628.6129760742188)",1,"(0.5158194303512573, 0.3109900653362274)","(9.38094425201416, 211.30413818359375, 70.07144165039062)",1,4.3793182373046875,1,"(-26.073511123657227, -6.3842549324035645, 634.49072265625)",1
1346632370,818897104841,"(0.5164466500282288, 0.296438068151474)","(9.727168083190918, 215.55006408691406, 71.61680603027344)",1,4.118988037109375,1,"(-90.08766174316406, -8.917899131774902, 628.718505859375)",1,"(0.518250048160553, 0.3097156286239624)","(10.722674369812012, 211.6759796142578, 70.20675659179688)",1,4.3815765380859375,1,"(-26.093591690063477, -6.425406455993652, 634.6279907226562)",1
